userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
138489466,622,51,29856,8,6,2312,9269,4552,T
609414707,321,49,30816,8,10,2890,9315,3633,F
133271028,1955,383,177905,8,11,1156,7779,4250,T
315133810,253,44,19481,8,8,2890,7412,3691,F
349746124,804,61,57084,8,6,2312,9385,4197,T
272572389,1792,352,66304,8,11,2890,5202,4623,F
879129741,1799,399,53970,8,93,1156,4678,4375,T
884999527,1897,377,110026,8,10,2312,9713,4437,F
101563697,268,41,19564,8,6,578,9677,3732,T
664026612,1819,409,49113,8,8,2312,9488,3806,F
858121795,826,101,60298,8,13,578,7051,4427,T
757467888,436,36,21800,8,48,2890,4661,4177,F
786522658,1803,397,68514,8,56,2890,5544,4476,F
736778342,265,69,8215,8,10,578,7628,3777,T
061792239,371,46,13727,8,12,1734,4825,3649,T
449140256,1815,421,56265,8,21,2890,5250,4182,F
864151631,426,50,37062,8,13,1734,7283,3737,T
483013607,343,26,9604,8,11,2890,9920,4511,F
941828046,1938,412,189924,8,17,578,5253,3968,T
810428593,1886,395,60352,8,10,2312,5396,4603,F
499584127,262,68,26200,8,12,578,7344,4240,T
560627708,1764,412,144648,8,9,2312,4794,4334,F
382357021,2010,412,102510,8,64,1734,6945,3819,T
731716380,2004,390,66132,8,11,2890,9868,3883,F
920634122,1869,388,127092,8,264,2890,10070,3707,F
051849904,2022,364,137496,8,7,578,7563,4202,T
383651649,2012,409,60360,8,12,1156,5261,3998,T
204333979,1894,353,62502,8,6,2890,7367,4627,F
910919450,736,68,47840,8,11,2890,9476,4314,T
097569249,1903,415,116083,8,7,2312,10069,4420,F
681156195,701,71,46266,8,10,2312,7639,3736,T
418667636,368,39,32016,8,7,2890,5387,4017,F
748848581,2063,366,80457,8,9,2890,10075,3935,F
117279141,682,54,64790,8,49,1156,4986,4351,T
703224665,726,80,31218,8,6,2312,9418,3947,T
960412024,1855,357,113155,8,35,2312,5058,4404,F
661928574,676,80,60164,8,23,578,9364,4621,T
708036603,1925,409,63525,8,14,2890,7846,4339,F
990338377,326,27,16626,8,49,578,9613,3806,T
948181075,280,70,12600,8,9,2890,5309,3800,F
906185576,270,32,18630,8,12,1734,7144,4574,T
506060576,2010,384,164820,8,42,2312,10223,4352,F
522358029,1999,397,107946,8,17,1156,9650,3677,T
428745748,393,47,7860,8,9,2890,4983,3726,F
723164790,656,114,53792,8,49,1734,7393,4140,T
506502594,1798,378,120466,8,8,2312,7347,3988,F
833143420,351,66,27729,8,121,1156,6964,4225,T
126153757,1881,419,135432,8,29,2890,7375,3759,F
959258937,1766,383,81236,8,35,1734,9452,3910,T
166974125,1826,418,151558,8,9,2312,7606,3663,F
472309122,2019,373,123159,8,6,2890,7053,3778,F
442390135,642,115,32742,8,16,1156,7236,3999,T
248414563,433,11,40702,8,16,2312,10082,4002,T
013607344,1887,416,162282,8,9,2890,6900,3740,F
014735698,445,13,30705,8,19,1156,5300,4475,T
695910113,1770,373,90270,8,8,2890,6912,3666,F
240302693,1914,364,114840,8,9,578,7522,4034,T
537253832,1920,372,107520,8,10,2312,7038,4025,F
724360424,308,55,15708,8,14,578,10049,4177,T
848529063,1955,383,56695,8,24,2890,4688,3730,F
076514536,642,81,46866,8,22,1734,9924,3853,T
557296565,1835,377,155975,8,9,2312,5434,3985,F
136070964,2056,380,166536,8,14,1734,5151,4621,T
735352849,251,37,11044,8,12,2890,7490,3862,F
959348536,1934,366,79294,8,7,2312,5502,4628,F
581832230,622,56,26124,8,8,2890,9508,3975,T
700769805,1786,418,48222,8,27,1156,7586,4124,T
085647861,1830,395,172020,8,10,2890,9798,4550,F
630715961,1770,371,40710,8,9,2312,5218,3798,F
996063092,836,95,53504,8,7,2890,5014,4376,T
052280029,1991,395,157289,8,11,1156,7137,4442,T
027135154,408,30,17136,8,11,2890,9689,4064,F
863051564,835,71,32565,8,10,578,10010,4263,T
056268069,1847,392,114514,8,11,2312,5078,4081,F
627170438,867,77,68493,8,11,1156,7484,4519,T
910793248,503,11,18108,8,62,2890,5255,4528,F
264020262,650,72,25350,8,211,2312,5211,4331,T
629147063,1856,381,146624,8,7,2312,9816,3920,F
634786752,2053,400,110862,8,11,2312,4973,4161,F
151784984,659,61,38222,8,13,1734,4607,3748,T
093522385,1990,404,87560,8,7,1734,4989,3840,T
446064511,1984,383,198400,8,45,2312,4918,3806,F
442338183,355,40,31950,8,99,578,9327,4109,T
790953129,243,64,16038,8,51,2890,10141,4387,F
032700007,258,59,21930,8,14,2312,4721,3879,T
194434650,1946,406,186816,8,9,2312,9911,3645,F
978178736,371,22,35616,8,24,1734,5411,3937,T
849834141,2012,389,106636,8,8,2890,6995,4122,F
211879470,500,18,33500,8,11,1156,7411,3688,T
929135244,262,15,15720,8,7,2890,4813,4410,F
262350983,1766,414,167770,8,10,1156,7760,4183,T
196814459,2004,421,124248,8,42,2312,7393,3765,F
075606292,855,57,71820,8,10,2312,4902,4190,T
319896955,1843,371,112423,8,6,2312,10241,4142,F
478537266,848,52,77168,8,34,578,9693,4406,T
228994522,1885,394,105560,8,13,2312,7150,4065,F
590579121,1892,354,175956,8,6,1734,7830,3906,T
787961646,316,36,15484,8,6,2890,5263,3785,F
193585587,2032,414,111760,8,26,578,7667,3873,T
576909338,2033,417,52858,8,16,2312,7062,4393,F
