userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
127457026,1212,200,271488,144,925,432,3449,61352,T
758653448,1641,308,374148,144,4297,2161,4680,62214,T
416227668,1278,194,71568,144,716,864,2668,61683,T
932580467,1464,332,279624,144,871,1296,3090,61587,T
644403025,322,25,62468,144,1940,1296,5173,61366,T
140669985,1654,304,259678,144,970,1296,2634,62138,T
469869807,838,88,112292,144,4627,432,3422,62249,T
233229773,1171,216,83141,144,640,2161,3007,61481,F
941670295,1414,293,305424,144,1432,1296,4368,61737,T
559299701,1358,223,133084,144,1227,864,2849,62189,T
958917341,742,96,129108,144,847,1296,3349,61870,T
041156210,253,67,61732,144,2074,432,5175,61353,T
781011948,1193,194,252916,144,2313,1729,5871,62269,T
621498601,1155,216,137445,144,824,1296,4716,61949,T
932656868,1611,343,190098,144,653,2161,3034,61429,T
050883356,1365,199,151515,144,4297,2161,6028,62166,F
829988370,1612,330,330460,144,5013,432,4558,62016,T
348488312,708,106,171336,144,10026,432,3357,61528,T
030732143,289,82,15606,144,653,864,4527,61667,T
042989508,1468,320,142396,144,1718,2161,4681,61429,T
169481749,1212,166,174528,144,925,2161,2553,62189,F
848857231,1292,214,65892,144,1432,432,3087,61309,T
224163066,1582,320,58534,144,2005,864,5788,62203,T
387495547,1351,219,189140,144,1280,1296,3167,62171,T
377566937,752,83,137616,144,1769,1729,5269,61962,T
111771028,1504,341,269216,144,699,2161,3282,62145,T
232229880,234,32,57798,144,1823,864,3914,61335,T
261464030,744,90,40920,144,1671,1729,3292,61937,T
186344096,1609,309,57924,144,640,1729,5147,61895,T
576018517,1592,299,144872,144,4627,2161,4349,61341,T
426852994,1265,170,203665,144,884,1729,4558,61486,T
896568317,1196,190,193752,144,847,2161,3889,62219,F
698949384,1424,190,307584,144,733,432,3408,61666,T
418793158,290,74,53360,144,1002,1296,3393,61389,T
254462203,1421,336,223097,144,2005,1296,2611,61465,T
887336365,502,22,96384,144,897,2161,3265,61677,F
271634398,1471,349,235360,144,847,432,5246,61311,T
221055171,262,18,13624,144,771,2161,3453,61451,F
854989962,475,50,5225,144,1019,864,4191,62115,T
537848972,1223,174,95394,144,2313,1296,4619,62137,T
711140446,1215,189,270945,144,613,1296,4447,61533,T
534146281,254,15,63246,144,2406,1729,4844,61757,F
344147832,723,72,102666,144,742,2161,4730,61646,T
067880406,1579,304,300010,144,771,2161,4296,61489,T
837866806,1478,309,158146,144,871,432,3347,62050,T
292158324,812,125,173768,144,646,432,5867,62023,T
115835248,270,19,42930,144,2228,1729,4847,62035,F
718154349,780,63,131040,144,1203,432,6149,61737,T
390832283,1413,241,206298,144,2313,1729,5813,61917,T
547004986,389,56,19450,144,3342,1296,2882,61664,T
