userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
457908913,1559,281,93540,144,221,864,5955,61347,T
640578739,239,25,5019,144,261,1729,3250,61849,F
837369015,456,56,25992,144,230,1729,4664,61538,F
146251869,1467,303,67482,144,267,1729,4020,61428,T
506137343,1359,188,118233,144,4297,1729,5844,61735,T
242978109,1224,158,46512,144,2734,2161,5817,61773,F
546604327,1531,300,50523,144,551,2161,5390,61862,T
922993380,506,44,41492,144,716,1729,4476,61561,F
959346514,436,17,34444,144,1055,1729,4190,62164,F
111607094,739,81,44340,144,142,2161,6142,61744,T
641994761,1555,331,66865,144,268,864,3922,61337,T
474991814,472,60,12272,144,578,1729,5243,61268,F
591384576,464,81,28304,144,466,1296,4394,62212,T
041955934,418,65,23408,144,223,1729,4884,62024,F
608032082,424,56,21624,144,128,864,4073,61835,T
691899200,390,36,36270,144,266,2161,3186,61402,F
853088184,1424,285,82592,144,149,2161,2658,61351,T
925927465,477,62,14787,144,1253,2161,3074,62147,F
964239727,1342,226,80520,144,289,2161,4854,62271,F
341215343,1440,199,50400,144,163,432,5405,61610,T
934714997,1632,347,83232,144,1823,2161,4721,61659,T
359231640,1236,178,108768,144,336,2161,3191,61946,F
899132331,1336,218,74816,144,142,1296,2866,61276,T
696633412,438,57,38544,144,180,2161,4148,61783,F
424941227,1365,203,136500,144,129,1729,6087,61391,T
342301836,343,49,20923,144,147,2161,5214,62032,F
639396888,1556,323,122924,144,551,864,4063,61289,T
339961407,319,18,23287,144,136,1729,4553,61316,F
416602365,289,65,14450,144,158,864,3487,61568,T
205922543,273,48,15288,144,200,1729,5975,61506,F
484252849,1518,348,51612,144,179,1296,4447,61366,T
209311041,235,20,20210,144,150,2161,4052,61805,F
173280021,1445,164,31790,144,148,864,6024,61753,T
137883841,1149,228,101112,144,1583,2161,6152,61864,F
425654336,436,18,40984,144,185,1729,5880,61369,F
802383246,1352,162,131144,144,595,864,6007,61993,T
271319095,1242,212,79488,144,177,2161,3277,61384,F
464940942,1454,341,116320,144,269,432,3227,61337,T
935326465,1617,340,45276,144,140,2161,3108,61586,T
901745348,1179,210,44802,144,124,2161,4363,61990,F
088720693,1600,339,43200,144,986,432,5714,61878,T
439088462,1175,188,89300,144,127,2161,5467,61743,F
732790570,501,37,25050,144,970,864,3287,61720,T
093459961,278,32,24742,144,1156,2161,3498,62222,F
093949901,226,33,17854,144,1542,2161,5860,62063,F
307802938,1303,193,119876,144,1280,1296,2881,61907,T
343105881,384,44,14208,144,1037,432,5623,61489,T
433948958,269,35,8339,144,171,1729,4529,62187,F
477308017,1491,308,96915,144,613,864,4329,62018,T
106989804,346,68,22490,144,640,2161,3449,61745,F
787323660,1237,187,89064,144,125,1296,4465,61887,T
737356307,252,17,15876,144,122,2161,4235,62116,F
308400244,367,31,36700,144,160,1729,6000,61554,F
643648933,315,27,19845,144,316,432,5684,61560,T
726621696,1372,200,38416,144,884,1296,4115,62189,T
978848688,459,55,20196,144,292,2161,5942,61778,F
355197393,379,44,32215,144,200,864,3908,61448,T
298213854,508,40,50292,144,258,2161,4879,61588,F
114019373,1521,307,152100,144,2313,432,5402,61464,T
840178866,1205,174,113270,144,151,2161,4653,61974,F
622359292,1566,319,84564,144,127,864,2681,61749,T
275802384,421,58,37890,144,3008,2161,5882,61406,F
283760462,290,63,12180,144,1203,2161,3171,61635,F
347121750,1558,299,79458,144,128,2161,3934,61939,T
912150977,413,71,14042,144,311,2161,5695,61815,F
247104665,1297,198,36316,144,390,1729,5255,61502,T
737543657,306,13,13770,144,180,432,5811,61547,T
968027485,460,48,22080,144,133,1729,5286,61993,F
781237938,1203,208,104661,144,313,1296,5219,61613,T
424913512,1373,209,93364,144,265,2161,2877,61686,F
709887024,1363,180,136300,144,153,1729,4033,61924,T
249301917,1194,187,53730,144,193,2161,4649,61919,F
757017618,257,65,17476,144,198,1296,5766,61982,T
712573990,228,75,22572,144,188,2161,5958,61508,F
011955051,1640,307,116440,144,207,1296,2867,61694,T
511586865,251,58,20331,144,136,2161,2830,61573,F
248951291,444,64,43068,144,243,2161,3259,62135,F
660861519,1544,307,78744,144,557,1296,5776,61278,T
388445409,245,70,23275,144,509,1729,4369,61771,F
509251169,1364,219,124124,144,125,1729,5176,61761,T
323347408,728,79,24024,144,215,432,2767,62231,T
365778903,339,26,26442,144,137,2161,4118,61556,F
783997656,503,32,14084,144,217,864,3057,61727,T
642788770,1185,171,75840,144,157,2161,6039,61367,F
208958753,1493,292,147807,144,156,1296,5305,61955,T
487039042,401,14,22456,144,179,1729,3242,61367,F
671064574,1479,344,105009,144,143,2161,5734,61336,T
487132988,241,29,13978,144,177,2161,6087,62228,F
965795632,1482,282,38532,144,420,1729,5841,62182,T
961623605,1285,221,100230,144,195,2161,2582,61589,F
052417614,293,64,26370,144,125,432,3558,61673,T
228310416,275,25,15950,144,287,1729,5977,62151,F
564765822,1420,205,72420,144,376,864,4665,61944,T
794103343,425,43,41650,144,306,1729,4380,61979,F
622108012,1184,219,31968,144,1055,864,5983,62074,T
009091171,1415,194,52355,144,183,2161,3185,61570,F
188631554,427,12,13664,144,191,864,5348,61697,T
282212344,305,19,26230,144,176,1729,3913,61292,F
305313709,1577,310,75696,144,213,1729,3308,61372,T
743187527,376,81,19928,144,146,1729,5237,61692,F
