userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
460422843,1455,170,64020,647,19363,1337,818,216797,T
823799205,1009,236,252250,647,3736,668,1818,216432,T
384105445,997,110,43868,647,35500,668,1385,215844,T
116501667,1619,153,377227,647,5605,1672,1708,216589,T
075952064,1580,222,52140,647,42600,1672,2205,216655,T
486381287,195,69,43290,647,2420,334,1796,216060,T
028439072,988,128,70148,647,12529,1672,2222,215919,T
614504434,1136,218,67024,647,5916,1672,1276,216125,F
645856412,1023,255,250635,647,4437,334,1680,216324,T
596021900,138,61,28704,647,16384,334,1891,216689,T
911700930,1218,233,298410,647,2315,1337,2155,215998,F
279960136,1581,211,245055,647,2597,1337,1023,216096,T
120045322,368,30,64032,647,3803,668,1546,216597,T
418702597,1598,165,226916,647,8875,668,1143,216640,T
879131867,1635,199,107910,647,5756,334,1617,215876,T
327226485,323,44,40698,647,7344,1337,1624,216443,T
933062655,171,19,2223,647,5195,334,897,215924,T
893688584,1411,209,156621,647,3000,1003,1133,216407,T
218773469,386,36,9264,647,3132,1003,1016,216285,T
379572304,1411,157,60673,647,9681,334,669,216781,T
531624251,376,34,40984,647,7607,1003,2306,216202,T
165990536,792,132,62568,647,4018,1672,1727,216667,T
282772677,346,65,25950,647,2730,334,1092,215792,T
479389942,132,48,1716,647,15214,1003,1069,215999,T
889892959,1492,215,20888,647,2629,668,2217,216308,T
141904995,876,118,58692,647,2130,334,1815,215968,T
089179731,159,49,23532,647,3550,334,855,216435,T
650846721,197,68,7289,647,19363,1337,1211,216435,T
674559155,1525,223,50325,647,2173,334,1861,216409,T
721549693,1506,205,129516,647,6454,668,995,215874,T
040436355,1135,249,272400,647,5071,334,2060,216072,T
665611969,178,11,8722,647,7344,334,1458,215848,T
193628778,362,70,53214,647,2173,1003,878,216719,T
221981655,1536,176,79872,647,2802,1337,1729,215920,T
630111641,1069,224,130418,647,2766,334,1015,216042,T
026954927,341,21,17050,647,5461,1672,1510,215821,F
043246853,1537,178,149089,647,3227,1003,2130,216694,T
409118727,286,28,14586,647,3000,668,1041,216243,T
770856337,1448,185,298288,647,2766,334,632,216347,T
733620713,161,64,19481,647,3872,668,1973,216666,T
797434383,1000,118,69000,647,2566,1337,1310,216185,T
442788558,173,43,9688,647,2566,1672,1293,216782,F
407214823,1668,154,313584,647,3086,668,1686,216160,T
512069993,1002,236,51102,647,2265,334,1191,216493,T
023349795,343,69,38759,647,3227,668,2235,216691,T
079181807,1412,150,214624,647,3000,334,2100,216568,T
827231943,115,21,2645,647,2662,334,2049,216001,T
318643545,1205,219,26510,647,4018,1003,1741,215993,T
797312325,850,111,19550,647,5756,334,1769,215987,T
795191867,1047,233,84807,647,2566,334,1848,216761,T
634653482,118,6,15104,647,2802,1672,1931,216108,F
947789033,1018,225,135394,647,14200,668,1824,216086,T
620518489,1577,186,93043,647,2878,334,755,216777,T
472831194,1633,211,243317,647,2958,334,1039,215953,T
665164826,179,8,3043,647,4953,668,2288,216778,T
620858788,1038,99,28026,647,2958,1337,1627,215960,T
401290629,1173,215,293250,647,9681,1672,1938,216623,F
613022062,909,111,48177,647,5605,1672,1008,216538,T
530185839,1587,213,296769,647,2840,334,1289,216238,T
645378938,1610,177,77280,647,9681,1003,1443,216056,T
947449643,1492,191,59680,647,11833,668,1612,216545,T
604492609,1559,195,106012,647,5325,1337,1320,215857,T
787295419,1054,259,142290,647,4096,334,1286,216112,T
800191795,1559,154,35857,647,2958,668,1173,216142,T
695234855,877,127,58759,647,14200,334,1454,216405,T
683529591,896,139,37632,647,6085,668,1780,216070,T
087517095,1181,207,153530,647,3276,1337,2313,216331,F
407175571,1432,190,279240,647,3435,1003,1668,216574,T
746077299,1578,161,75744,647,2696,668,1953,215835,T
214898606,332,26,20584,647,6454,1337,1529,216183,T
985092243,1554,214,310800,647,4096,334,1540,216679,T
257553635,206,67,28428,647,30428,1672,908,215959,F
900844441,857,103,51420,647,3086,1672,1811,216199,T
509325186,1105,224,36465,647,2195,1337,2289,215861,F
581637053,1043,242,235718,647,6454,1003,1327,215904,T
932808246,1532,174,45960,647,2629,1003,873,216008,T
624363130,1409,232,22544,647,23666,1337,1635,216776,T
841619484,1406,145,156066,647,4840,1003,1989,216334,T
249864840,1494,213,61254,157,1134,1207,3651,63212,T
885966418,239,25,49951,647,3491,668,1718,215791,T
850548216,253,22,50853,647,11210,334,1582,216421,T
936662264,1687,166,350896,647,5071,668,1824,216610,T
517713487,839,91,97324,647,4437,1337,1206,216387,T
503510934,1032,98,18576,647,2173,334,1411,215962,T
015396770,1158,215,99588,647,15214,1672,1735,216256,F
842449830,1228,242,293492,647,5325,334,1086,216547,T
206201190,1245,200,257715,647,10650,1672,1959,215990,F
473610574,1232,202,81312,647,2290,334,1143,216628,T
436619421,1207,217,203983,647,2448,334,1479,216791,T
548730588,206,71,18334,647,5195,1337,1358,216697,T
877124839,1532,186,62812,647,2505,1672,1083,216707,T
417108407,161,10,26887,647,8192,1003,1345,216461,T
314031267,1543,168,371863,647,7888,334,2278,216572,T
848597311,403,58,86645,647,3179,1337,1067,216162,T
015924971,1007,248,66462,647,3086,1003,1313,216002,T
469964616,834,98,108420,647,4018,1337,1456,216185,T
235989438,1488,198,364560,647,9260,1672,1645,216174,T
341611239,1221,252,69597,647,4531,334,1731,216124,T
180512653,849,96,39054,647,30428,1672,1061,215847,T
800591905,375,36,31500,647,30428,1672,1568,216333,F
929427069,119,22,26418,647,3872,334,1931,216097,T
712195511,1524,213,266700,647,3803,1337,1201,216103,T
408070143,1568,187,293216,647,2265,1672,1251,216769,T
404758343,192,56,40512,647,10650,334,1408,216384,T
610810947,1623,214,181776,647,2448,1672,2057,216110,T
601260874,305,71,15555,647,5325,1337,2176,216171,T
991428216,1656,177,145728,647,9681,334,1121,216674,T
544362069,1647,209,329400,647,23666,334,1991,215971,T
966563341,1667,209,246716,647,4260,1672,1158,215862,T
882578955,215,59,3225,647,2290,668,1529,215927,T
577414648,1072,255,118992,647,19363,1003,1939,216376,T
456765792,1479,179,34017,647,2958,334,1682,215865,T
801428167,1521,166,212940,647,7344,668,1953,216690,T
839656742,993,206,206544,647,5916,334,2111,216359,T
528405162,1192,254,65560,647,2629,668,1023,216447,T
081993103,1557,158,163485,647,5756,1337,1656,216198,T
502080518,1248,238,18720,647,3086,1003,1266,216017,T
043776912,411,68,10275,647,2151,1672,1450,216460,F
095199685,119,34,9044,647,21300,668,995,216353,T
228096885,1014,231,200772,647,16384,668,2082,216727,T
521318735,1211,240,294273,647,3672,1337,1935,215879,F
946882568,1004,248,43172,647,11833,334,1309,216356,T
150661377,924,111,102564,647,4096,1672,1692,215832,T
107425307,224,69,36960,647,2393,1003,1434,216624,T
441067039,844,102,97904,647,3132,1003,1121,216036,T
413485468,185,65,40330,647,3380,1672,2153,216577,F
067276181,369,7,45756,647,3435,1672,1833,215838,F
990361147,1034,217,255398,647,8520,668,1389,216708,T
661878438,1131,209,33930,647,4531,668,1522,216472,T
747127620,235,15,15040,647,16384,1003,1486,216016,T
800290792,1006,247,23138,647,2315,1337,1263,216355,F
251901509,1245,244,62250,647,2218,334,1938,216465,T
620448335,166,23,33698,647,2766,1672,1553,216334,F
479885777,1215,259,241785,647,4018,1003,1381,216543,T
598833992,856,134,71048,647,2802,334,1780,216360,T
234339236,1168,260,45552,647,11833,668,1654,216647,T
565078884,1629,169,211770,647,7888,1337,967,216406,T
943515230,1630,177,127140,647,2958,1003,1017,216032,T
073989390,322,10,46046,647,5605,668,2201,215986,T
199781479,166,66,13944,647,23666,668,1492,216166,T
854959576,990,200,47520,647,4176,668,1680,216370,T
055851974,1575,209,366975,647,3435,1003,1330,216430,T
665666215,353,33,18356,647,3550,668,2077,216243,T
351143314,321,63,55533,647,23666,1003,1988,216210,T
212293485,1061,220,161272,647,6870,334,1582,216456,T
230569509,316,69,73628,647,2290,334,1304,215835,T
313167564,1020,232,196860,647,2173,668,1377,215864,T
600780515,1157,215,139997,647,2766,1672,798,216436,F
431221839,1255,223,263550,647,14200,1337,1299,216026,F
756232844,1126,237,264610,647,2878,668,898,216470,T
743360348,1042,112,20840,647,4630,1672,1599,216321,T
137967947,971,126,61173,647,5325,1337,920,216359,T
435162587,1484,190,296800,647,15214,334,1146,216788,T
623883956,1255,244,30120,647,15214,1003,1647,216776,T
726325046,1155,235,287595,647,26625,668,2218,216255,T
078626716,898,102,94290,647,4953,1337,1622,215903,T
920050038,1489,198,357360,647,3042,1003,1348,216690,T
070947123,207,56,10143,647,2629,1003,1874,216545,T
821404054,1586,151,150670,647,7344,668,1825,216085,T
676185196,1687,168,84350,647,2802,1672,1650,216495,T
