userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
726555005,1473,196,35352,647,1267,334,1188,216158,T
308764764,1066,234,45838,647,1789,1672,1666,216654,F
964617033,1590,246,79500,647,578,1003,1436,216398,T
593368002,1005,262,34170,647,1121,1672,1250,216041,F
604185163,1236,259,69216,647,486,668,1176,216398,T
116307381,1258,235,101898,647,963,1672,1280,215910,F
424640123,1057,243,48622,647,438,1672,1308,216567,F
223999159,1470,160,85260,647,26625,1672,1234,216199,T
820228920,979,200,39160,647,42600,668,1894,216203,T
816282964,400,7,28000,647,848,1672,1303,216754,F
534434951,240,31,21120,647,1690,668,988,215831,T
986043245,1053,254,93717,647,3435,1337,866,216247,F
568131084,1438,170,81966,647,1448,334,1616,216299,T
857618173,1236,208,67980,647,653,1672,1486,215899,F
784936374,1654,177,84354,647,3328,1337,1149,216073,T
320736190,126,4,11340,647,1489,1672,1775,216610,F
979039499,1254,214,125400,647,626,1337,2066,215886,F
513834656,1554,184,54390,647,568,1003,1261,216263,T
666809459,280,49,8120,647,501,1003,715,215909,T
693984069,129,48,9675,647,651,1672,1818,216069,F
568179046,1663,239,58205,647,519,334,1980,216125,T
222682436,192,4,18240,647,586,1672,1343,216482,F
180877430,1656,156,132480,647,710,1672,1643,216154,T
670960364,265,25,24380,647,1613,1672,1586,216001,F
434253001,1588,164,146096,647,862,1003,1915,216231,T
822129280,310,53,13330,647,2088,1672,2211,216778,F
160400342,193,15,16984,647,5461,1672,771,216412,F
518597471,206,58,20600,647,894,668,1632,216634,T
962964103,138,10,10626,647,450,1337,1498,215844,T
679868059,1256,229,57776,647,601,1337,1332,216691,F
293204678,179,43,10919,647,448,334,1587,216556,T
015756597,1057,236,36995,647,1039,1337,1368,216480,F
607221190,282,55,25662,647,774,334,1972,216409,T
552577854,1121,260,51566,647,428,1672,1718,216198,F
875147014,151,19,3926,647,7100,1003,1323,216519,T
607531772,150,62,12150,647,467,1672,1692,216376,F
397663472,1048,102,31440,647,454,334,1350,216696,T
049081282,1106,234,51982,647,1936,1337,1819,216247,F
618171968,1593,261,33453,647,1972,1337,1417,215941,T
020016812,307,64,6447,647,454,1672,665,215843,F
637207214,1040,253,46800,647,1049,334,1842,215989,T
601032422,1242,205,40986,647,1103,1337,625,215874,F
135865407,984,196,68880,647,5605,668,1898,215892,T
358599748,1171,193,59721,647,512,1337,1943,216074,F
353106536,1027,210,74971,647,9260,1003,1743,216463,T
016953215,1112,243,26688,647,1918,1672,1722,216208,F
536808491,874,151,66424,647,1972,1337,1402,215951,T
728615617,971,238,55347,647,4531,1337,1693,216528,F
107272297,221,38,4641,647,986,1672,1191,216525,F
159776933,997,114,64805,647,1210,1003,1347,216534,T
706516555,1686,198,85986,647,942,334,1973,216315,T
090940911,1177,237,40018,647,16384,1672,1833,216249,F
202170660,1203,257,56541,647,13312,668,1688,216059,T
770078874,1170,217,115830,647,1760,1672,702,216751,F
350059293,317,21,24726,647,2629,1337,1140,216291,T
403186713,1213,249,30325,647,739,1337,903,215973,F
979555389,373,28,27602,647,1170,668,1425,216440,T
258683514,989,197,36593,647,977,1337,1461,215905,F
726860348,1472,176,82432,647,698,1672,1375,216637,T
837939283,1130,212,40680,647,11210,1672,1437,216333,F
885744033,358,29,13604,647,825,1337,1727,216596,T
875548992,1057,203,63420,647,1314,1337,1356,216263,F
163831010,977,139,21494,647,471,1672,1342,216434,T
213108176,150,25,13050,647,470,1672,2042,215850,F
444602397,1681,253,35301,647,1103,668,1778,216380,T
998423996,1039,252,97666,647,2366,1337,1178,216676,F
019544045,820,100,68880,647,657,1672,1337,216163,T
402209080,1184,257,73408,647,2108,1672,1126,216432,F
231795676,894,104,78672,647,485,1003,1373,216017,T
255319662,1240,248,62000,647,682,1672,1984,215994,F
237564294,275,48,14850,647,744,1337,1528,216158,T
815291323,346,28,29064,647,955,1672,1958,216351,F
787985076,1436,156,74672,647,696,668,1519,216553,T
968549445,970,222,81480,647,580,1672,803,216718,F
894559928,1172,258,90244,647,771,668,638,216309,T
447698161,385,12,37730,647,606,1672,1024,216206,F
135660184,1004,102,59236,647,731,1337,1710,216361,T
973207554,995,196,42785,647,468,1337,2147,216457,F
341214252,1433,225,51588,647,1458,1003,2001,215885,T
895732234,986,215,41412,647,1690,1672,1407,216600,F
843573930,1108,238,110800,647,468,668,1527,216551,T
112263599,1062,235,54162,647,780,1337,2132,216152,F
764360836,1031,257,76294,647,3872,1672,1073,216735,F
205651436,330,34,8580,647,1139,1337,1605,216615,T
457223859,974,247,39934,647,7344,668,1235,216108,T
306857298,1098,200,84546,647,10142,1337,2212,216702,F
280963683,970,244,32980,647,1081,1672,2187,216690,F
915176887,940,126,31960,647,554,334,1151,216695,T
262955788,252,9,11088,647,456,668,1574,215864,T
676384595,1040,194,42640,647,5325,1672,1408,216382,F
131598418,382,56,22920,647,556,334,2078,215991,T
614067301,1200,208,27600,647,428,1672,1086,215980,F
371625670,1553,190,60567,647,505,668,1424,216523,T
241278770,1082,220,22722,647,536,1337,1189,216678,F
946434846,1539,190,40014,647,1238,1003,1930,216423,T
570244490,1134,204,98658,647,1252,1337,1562,216548,F
956303427,1146,218,71052,647,689,668,975,216499,T
817994478,147,23,13671,647,19363,1672,1105,216068,F
654693106,1600,156,99200,647,440,1337,1467,215821,T
668927894,354,40,26904,647,482,1672,996,216225,F
