userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
629188598,1812,283,244620,1022,7660,1785,3652,364857,T
592185689,2042,242,57176,1022,9231,357,2121,365229,T
832498382,1071,127,163863,1022,22502,714,3752,365075,T
802156478,1684,213,58940,1022,12858,714,2178,364976,T
719296927,1026,112,132354,1022,7500,1785,4575,364902,F
291969058,304,40,40736,1022,27695,714,3607,365232,T
564054648,1102,115,146566,1022,9474,1785,4150,365193,F
429396653,1969,252,317009,1022,5373,1428,3432,365028,T
506527234,897,128,87906,1022,7347,1071,2862,365363,T
079680275,263,21,32875,1022,4091,714,4149,365138,T
832380606,1607,177,53031,1022,8572,1785,3503,364728,T
094476611,2097,226,180342,1022,4932,357,4323,365098,T
185768879,1939,259,366471,1022,4138,1071,5086,364766,T
685452795,999,145,31968,1022,4091,1785,2936,365170,F
961834642,1006,85,17102,1022,8781,1785,2933,365522,F
778402130,1045,126,61655,1022,6102,357,3645,365186,T
487063133,213,49,23430,1022,5455,714,2685,364775,T
452424720,418,62,13376,1022,5807,1785,4829,364895,T
483672018,2153,206,127027,1022,4138,1071,2619,365114,T
590482594,986,111,135082,1022,8572,714,3017,365264,T
918511264,1060,123,41340,1022,21179,714,3575,365291,T
559789220,244,31,15128,1022,36004,1428,4947,365588,T
100484217,1872,294,387504,1022,10589,1785,2482,365313,T
993311819,2118,226,63540,1022,4675,714,3080,365421,T
589076728,969,105,165699,1022,13847,714,3487,365121,T
752537629,476,54,13804,1022,16365,1785,4116,365568,T
960365377,1944,261,406296,1022,5294,1071,2753,365605,T
561425353,1996,318,117764,1022,10589,357,4133,365513,T
042833839,1081,87,223767,1022,4286,1785,4188,365354,F
895541087,1701,196,164997,1022,6102,357,3241,365259,T
275463662,959,138,127547,1022,4800,1071,5122,364856,T
369014986,1833,256,78819,1022,4000,1428,4314,365375,T
800016583,1572,203,110040,1022,40005,357,5003,364735,T
543177957,1172,134,128920,1022,4675,1071,2093,365347,T
425478544,1073,87,19314,1022,11251,1071,4591,364726,T
948854322,2078,263,284686,1022,13847,714,2332,365265,T
296532434,937,111,133991,1022,6923,357,4272,364672,T
416369837,347,21,37476,1022,18002,1428,4575,365468,T
970544011,242,13,46706,1022,13847,1785,2810,364685,T
714953535,366,49,57096,1022,5539,1428,4581,365250,T
881537568,299,78,45149,1022,7660,357,4531,365037,T
620851347,299,61,8372,1022,36004,714,2638,365459,T
736304129,1979,225,203837,1022,5625,1785,3466,365071,F
196739070,1598,237,115056,1022,51435,1071,4162,365423,T
845209917,1612,238,138632,1022,10589,1428,2284,365516,T
908159312,2090,191,267520,1022,72009,1071,2746,364868,T
838556119,322,47,9982,1022,3600,1071,4313,364915,T
531145645,1793,224,77099,1022,4615,714,2806,365059,T
384923998,1976,284,367536,1022,5807,1071,3176,365567,T
953389493,1865,304,261100,1022,5294,1071,5053,365515,T
838962166,1109,141,208492,1022,12001,357,5155,365197,T
963365786,1830,294,179340,1022,7059,1785,2261,365526,T
306931107,1123,90,229092,1022,12858,1428,3876,364967,F
766712300,1394,169,30668,1022,60007,1428,3994,364814,T
516850219,2127,223,185049,1022,6316,1785,3852,365203,F
217429391,240,57,12240,1022,7660,357,4779,365557,T
890922499,1041,109,157191,1022,3913,1785,4894,364850,F
331694627,1628,202,74888,1022,6316,714,3595,365471,T
407337971,1479,167,84303,1022,4390,1071,3619,365588,T
467941180,250,23,18750,1022,10910,1785,2991,364893,T
031622099,1151,81,17265,1022,25717,1428,4840,365453,F
138964317,431,15,29739,1022,9730,1428,2463,365172,T
068189958,1037,132,144143,1022,3789,1428,3249,364688,F
714341243,1863,304,221697,1022,4000,357,4125,365011,T
680545678,2089,177,215167,1022,13847,357,4283,364782,T
961981451,213,74,12567,1022,4235,1428,2786,365295,T
551817890,931,109,149891,1022,8781,714,3010,364944,T
939495250,1894,298,435620,1022,27695,357,4693,365032,T
454110342,2019,255,119121,1022,4675,1785,3924,365161,T
448944336,1981,285,423934,1022,21179,1071,4451,364842,T
388571730,2101,275,42020,1022,32731,357,2294,365310,T
999583989,2061,278,267930,1022,5000,1785,2399,364808,T
985005845,2079,256,143451,1022,5373,1428,4594,364968,T
745993558,1907,211,226933,1022,15654,1785,4399,364666,F
518681027,1932,275,388332,1022,13335,1428,2816,364972,T
810277820,1965,235,239730,1022,18949,1071,4436,365469,T
658640400,1073,119,160950,1022,5715,1428,4873,365400,F
655643086,1963,177,153114,1022,3913,357,3251,364922,T
741112031,1014,117,81120,1022,5218,1785,4901,365325,F
838611080,204,59,14484,1022,4932,1785,2360,365447,T
181900982,1019,83,234370,1022,10589,1071,3400,364897,T
308333172,406,34,90538,1022,6102,714,4763,365318,T
773087925,455,77,10465,1022,4091,1785,2769,364963,T
