userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
219164191,1350,147,74250,1022,6000,1428,3931,364910,T
141237737,1902,207,176886,1022,4800,1785,2137,365639,F
258149335,1684,202,38732,1022,4800,1428,4521,364802,T
761679704,980,116,41160,1022,945,1785,4009,365486,F
780457987,931,141,18620,1022,1074,1785,4774,364934,F
409940859,1151,121,70211,1022,2466,357,3907,365247,T
831137822,1167,106,26841,1022,775,357,3750,365222,T
946947770,1030,127,101970,1022,6316,1785,3913,365624,F
926903096,1580,214,150100,1022,2353,1785,4207,365598,T
169402702,1985,196,53595,1022,1290,1428,2737,365566,F
430889453,2087,269,198265,1022,3051,357,2298,365301,T
164723428,1002,146,65130,1022,791,1785,4000,364805,F
115759271,2095,281,169695,1022,2093,357,3167,365499,T
405834625,914,132,52098,1022,1374,1428,3828,364898,F
120932892,1889,187,126563,1022,1651,357,4127,365524,T
249007918,1168,83,91104,1022,727,1785,3249,364814,F
100811429,1879,296,97708,1022,746,1071,4270,365246,T
600877011,2056,182,180928,1022,986,1785,5275,365256,F
594273720,1094,120,68922,1022,12858,1785,3237,365065,F
013588027,462,71,41580,1022,800,1071,4068,365361,T
106044812,367,43,33764,1022,1062,1785,2393,364833,T
371959275,1892,199,162712,1022,22502,1428,4300,365334,F
413558071,1042,114,37512,1022,986,714,2360,365038,T
740359691,1882,199,139268,1022,9474,1428,4511,364924,F
992655576,1716,206,125268,1022,769,1785,3973,365354,T
434745440,1925,185,67375,1022,1005,1785,3957,365356,F
699517014,1735,209,157885,1022,5071,357,4635,365517,T
082910935,2063,220,158851,1022,4286,1785,5009,365071,F
027307836,2000,260,54000,1022,1353,1428,2931,364919,T
614304248,1063,146,27638,1022,1989,1428,2671,365570,F
517786148,245,59,14945,1022,1875,1785,2784,365415,T
751883535,1071,98,40698,1022,1000,1428,3376,364991,F
184412833,419,25,35196,1022,4800,1428,2515,364983,T
175813794,912,93,91200,1022,759,1428,3254,365577,F
317337492,966,145,45402,1022,720,357,4795,365642,T
005866130,1184,79,71040,1022,916,1428,3745,365179,F
469692099,1173,137,39882,1022,4500,1071,2125,365633,T
107738702,1015,106,44660,1022,2483,1428,2194,364804,F
