userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
295891039,1610,148,82110,606,33672,1013,6574,307624,T
414907426,1549,146,69705,606,4810,2026,6563,307686,T
527852144,1401,134,138699,606,6588,2532,8684,307133,T
483289564,1679,169,186369,606,27550,2532,6088,307266,T
581417228,1298,174,58410,606,4968,1013,6135,307704,T
805687106,1478,148,16258,606,5717,2026,8170,307026,T
343358096,885,114,200010,606,17826,2532,7056,307709,T
158508147,818,77,60532,606,37881,1013,6073,306951,T
693513650,1210,191,113740,606,12122,1519,4890,307671,T
439402489,1072,185,123280,606,3443,1013,4775,306995,T
172021555,1421,143,126469,606,8658,1013,6441,306954,T
415265367,1380,140,93840,606,9775,2026,8282,307451,T
578993635,1205,189,81940,606,20203,2026,8276,307214,F
904502090,1244,154,48516,606,3223,2532,8060,307596,F
150747235,1525,198,285175,606,8658,1013,4472,307026,T
482988241,853,91,175718,606,10823,2026,8655,307750,T
799976800,1570,190,268470,606,3092,1519,6117,306948,T
478361116,1600,161,372800,606,3061,1013,8192,307641,T
532335811,774,103,17028,606,15950,1519,9072,307380,T
688745905,862,118,66374,606,7047,2026,6230,307221,T
170807847,802,80,163608,606,5050,1519,5041,307811,T
574592373,1562,160,109340,606,7047,506,8850,306976,T
349978282,1573,168,336622,606,3156,2026,8931,307493,T
597018570,1115,171,118190,606,3367,506,4615,306899,T
201443311,909,80,218160,606,3223,1013,4323,307785,T
564269201,1004,152,125500,606,13176,506,4971,306931,T
104349498,1040,205,112320,606,6887,1519,6557,307277,T
611760816,924,119,70224,606,3935,1519,4529,307788,T
183196482,1255,157,38905,606,5827,1013,8652,307650,T
683513603,741,107,25194,606,3836,1519,9015,307625,T
844148969,1252,149,143980,606,3030,1013,8153,307782,T
955639396,1703,165,34060,606,7576,2532,6478,307776,T
249969174,1476,128,92988,606,3258,2532,6402,307875,T
051376094,793,102,96746,606,5411,2026,4899,307765,T
933177983,1143,107,105156,606,6061,1013,4419,307151,T
233172738,947,85,149626,606,4887,506,8347,306947,T
275293266,1594,203,58978,606,11655,1013,4449,307530,T
122417725,916,89,216176,606,3124,1013,4013,307585,T
301170215,930,89,95790,606,23311,506,8546,307015,T
678881203,839,77,113265,606,8658,506,4622,306871,T
076116946,1486,149,216956,606,3483,1013,5040,307510,T
474029364,789,66,20514,606,4209,2532,8191,307340,T
160108533,1283,155,105206,606,50508,2026,4082,307124,F
367455709,1639,143,299937,606,6061,506,8197,307388,T
606040007,1365,155,238875,606,5136,1013,6207,307146,T
431768670,1568,129,338688,606,4456,2026,8779,307088,T
971742556,1546,187,38650,606,5942,2532,6258,307416,T
097652809,1226,176,30650,606,8418,2026,8575,306882,F
145858505,1447,161,354515,606,33672,1519,6114,307373,T
914447743,1650,165,349800,606,3565,1519,8890,307723,T
359836195,1051,206,39938,606,11655,2026,8533,307402,F
171383573,1523,182,92903,606,3987,1519,6239,307381,T
782895627,1182,172,82740,606,13176,1013,7022,307053,T
848540562,1491,147,353367,606,3061,1013,4295,307747,T
675922562,733,128,137071,606,11655,1013,4617,307510,T
701626543,934,127,16812,606,27550,1519,4347,307253,T
876415753,1142,184,19414,606,4040,1013,6842,307461,T
938549864,950,68,229900,606,3523,2532,6053,307576,T
559775817,723,96,155445,606,4456,2532,7041,307052,T
870348484,771,106,82497,606,27550,506,8784,306954,T
947920738,1518,128,239844,606,8913,2026,6570,307352,T
532016265,1123,102,67380,606,8658,1013,8685,307779,T
397662104,1463,149,215061,606,4268,2532,6462,307621,T
726867865,1750,190,42000,606,12627,2532,8322,307466,T
357284731,805,131,91770,606,16836,2026,8848,307819,T
840783095,876,117,120888,606,8913,1013,4576,307648,T
430958897,1584,181,155232,606,4151,506,6545,307133,T
712850976,1086,95,65160,606,3405,2532,6112,307068,F
435784081,875,102,40250,606,27550,506,4804,307309,T
148294166,1432,184,146064,606,3156,1013,4232,307356,T
973125101,1516,144,242560,606,3156,506,4127,307132,T
208849070,1424,185,284800,606,4392,1519,6469,307664,T
893725144,1411,170,338640,606,4662,1013,8616,307306,T
009444009,842,94,122090,606,4040,1013,6321,307400,T
358719643,1156,198,159528,606,5942,1519,4868,307109,T
720639976,1365,146,105105,606,10101,2026,6600,306895,T
216347256,1690,146,239980,606,21646,2532,8223,307462,T
049463080,1509,188,105630,606,5827,2026,4443,306973,T
434160927,1470,164,192570,606,5717,1013,9072,307262,T
804311490,1156,142,57800,606,6588,1519,4008,307597,T
398334155,1684,163,127984,606,6734,1013,4861,306976,T
530202171,1180,148,17700,606,3788,2026,8257,307351,F
582039397,1368,165,279072,606,3367,1013,4751,307327,T
254503476,929,95,179297,606,11224,506,6539,307761,T
794014437,972,102,10692,606,4392,2026,6243,306881,T
504110172,1032,141,57792,606,14430,2532,4906,307505,F
883140452,921,82,218277,606,3695,2026,4968,306957,T
257519811,826,124,196588,606,3223,2026,4069,307808,T
701359153,923,66,36920,606,11655,2026,8225,307327,T
909430259,1637,200,188255,606,15950,2026,6240,307188,T
887047313,741,117,89661,606,13176,1013,6093,307537,T
130717836,1055,82,69630,606,4887,2532,8217,307570,F
200859922,983,72,214294,606,10450,1519,6196,307833,T
929838466,964,101,208224,606,7576,1013,8749,307298,T
886803600,1350,161,128250,606,10450,2532,8165,306999,T
088041331,1104,157,154560,532,2619,594,1890,158256,T
447715922,794,117,116718,606,4329,1013,8818,307659,T
219702996,1454,181,175934,606,15950,506,8348,307446,T
524829482,1065,198,27690,606,3987,1519,8641,307385,T
222886093,1359,146,116874,606,5510,2532,8428,307216,T
608509346,1126,110,83324,606,3223,2532,6220,307679,F
845585631,1644,185,253176,606,5827,1013,8213,307431,T
326798387,1590,179,104940,606,4591,2026,4113,306978,T
368638137,1354,185,186852,606,9183,2026,6671,307785,T
136629580,733,93,111416,606,3741,1519,8606,307867,T
809355547,761,98,136219,606,3483,506,8684,307721,T
305479433,864,101,86400,606,18940,2026,6679,307571,T
647096254,1375,155,105875,606,3565,506,8153,307080,T
426909995,1044,179,57420,606,4887,1519,9040,307097,T
815857506,870,83,62640,606,3483,1519,9042,307419,T
847430946,1010,199,90900,606,6184,506,8515,307131,T
764727029,1095,180,44895,606,3607,1519,6961,307164,T
742416428,907,82,75281,606,3788,506,8378,307701,T
566540621,1014,98,152100,606,6184,1013,6037,307864,T
756594656,1625,180,37375,606,4968,2532,9042,307623,T
149224365,785,106,150720,606,7576,2026,8774,307345,T
866966600,1559,174,17149,606,16836,1013,6872,307818,T
642441160,1040,190,111280,606,13176,2532,8237,307722,F
773321997,840,68,169680,606,50508,506,6671,307643,T
398204700,1365,138,219765,606,10823,2532,6510,307535,T
180277670,1147,142,151404,606,16836,1013,6377,307239,T
006370137,1095,110,66795,606,6313,2532,6270,306989,F
404481794,1016,205,193040,606,4456,1519,8176,307505,T
050948319,940,113,210560,606,13775,1519,4878,306985,T
466764925,1476,126,67896,606,50508,1013,4074,307753,T
538144704,740,89,159100,606,4735,2026,8260,307436,T
909101308,1000,101,149000,606,3523,1519,8282,307170,T
100635143,747,96,70965,606,3607,506,4119,307580,T
032686625,803,106,110011,606,3523,506,4530,307380,T
944716708,1067,144,38412,606,16836,2026,6065,307428,F
641776120,1363,158,125396,606,6734,506,6975,307189,T
717911581,1500,155,213000,606,4662,2532,6487,306916,T
668351760,1633,191,346196,606,5612,1013,4960,306875,T
437811030,1565,172,93900,606,3294,2026,4169,306976,T
421333810,1405,151,103970,606,4887,506,4585,306961,T
857833216,1137,144,69357,606,50508,506,4918,306904,T
117074084,898,77,196662,606,6313,506,6997,307874,T
576339812,1427,139,136992,606,13775,2532,8055,307724,T
841764575,982,92,93290,606,7391,1013,4941,306977,T
458350147,1158,152,52110,606,3987,1013,8408,307098,T
645417104,1434,126,67398,606,6061,1519,6961,307588,T
165989354,828,80,61272,606,7215,506,4892,307405,T
419002874,1684,184,277860,606,6588,506,4123,307181,T
697997382,1368,162,160056,606,5411,1519,4890,307721,T
500896199,1624,149,328048,606,5827,1013,4695,307045,T
143339748,1547,146,86632,606,33672,2026,6666,306934,T
438530934,1446,138,60732,606,5942,2532,6340,307023,T
916948837,766,64,45960,606,4591,2532,4735,307328,T
166474764,1015,81,104545,606,7770,2532,6926,307505,T
755327820,1586,157,201422,606,7215,1013,6624,307270,T
316996382,1109,84,77630,606,3651,1519,6494,307056,T
894750733,1052,185,199880,606,4456,1013,8720,307659,T
229063140,1470,157,139650,606,6061,2026,6528,307173,T
495789889,818,86,137424,606,10101,506,4642,307396,T
084274993,1209,160,12090,606,27550,2532,8580,307052,F
697068214,1643,146,172515,606,43292,1519,4264,307207,T
045161399,1391,151,22256,606,3258,506,8551,307834,T
212795671,1350,184,205200,606,60610,2532,4592,307784,T
561469213,916,87,171292,606,4268,1519,4757,307510,T
476243980,1221,181,136752,606,4968,1519,4195,307041,T
310602424,1506,180,120480,606,3092,2026,6286,307611,T
283875503,1255,192,89105,606,3258,506,4366,306995,T
904473644,796,131,134524,606,9775,1013,8447,307590,T
013743585,1392,151,69600,606,3061,506,5025,307311,T
700671081,1636,162,232312,606,6734,2532,8883,307381,T
571995952,1194,154,133728,606,37881,1519,6514,307089,T
348272135,1649,183,212721,606,5827,1013,6328,306942,T
504731181,717,72,53775,606,7391,2026,4376,307877,T
008352198,924,68,55440,606,33672,1013,6803,307743,T
100879883,1019,158,156926,606,3223,506,4858,306984,T
438344134,1395,143,272025,606,3294,1519,8474,306901,T
569342755,1406,181,123728,606,8658,2026,6261,307132,T
867914323,718,118,145754,606,9775,2026,4521,307857,T
007065517,1135,200,94205,606,4329,506,8798,307361,T
787816459,918,96,206550,606,6887,1013,6706,306916,T
819424853,731,110,145469,606,3030,1013,8261,307603,T
338798718,821,101,133002,606,50508,2532,4178,307167,T
436907537,1482,135,294918,606,6588,2532,8587,306885,T
190492489,750,129,34500,606,21646,2026,9024,307404,T
247458241,869,126,36498,606,6588,2026,6474,306931,T
765090573,959,104,185087,606,4887,2026,6397,307172,T
828997084,1401,138,156912,606,3987,2026,6863,307094,T
803912342,1132,184,158480,606,3124,1013,8305,307691,T
557945248,1486,180,239246,606,3836,1013,6863,307768,T
554847912,1271,173,113119,606,27550,2532,8520,307620,F
806981450,1436,128,126368,606,3651,1519,4579,307539,T
722723639,745,82,55875,606,5942,506,4523,307725,T
638415108,1022,164,125706,606,5136,2026,4913,307207,F
021390056,1130,205,157070,606,23311,2026,8889,307391,F
514860895,1146,155,34380,606,8658,2026,8793,307623,F
083562305,778,95,105808,606,3092,1519,6973,307715,T
380102920,1202,206,33656,606,8190,1013,8923,307798,T
044988584,1092,93,90636,606,4968,2026,8314,307732,T
811347511,877,108,11401,606,9183,2026,6540,307780,T
892163821,1449,136,347760,606,3061,1519,6594,307209,T
478718371,1733,139,202761,606,10101,1519,6482,307659,T
791919031,1145,168,29770,606,3523,506,8602,307788,T
689358977,1031,150,75263,606,8190,1013,4595,307527,T
864737290,1136,185,168128,606,4209,1013,6038,307477,T
191583744,979,68,188947,606,12627,1519,4934,307791,T
585863453,1536,162,242688,606,5612,2026,6634,307177,T
611382015,1471,167,326562,606,10101,2026,8938,307065,T
036645161,1175,105,86950,606,8190,1013,8110,306911,T
741895037,1221,156,163614,606,17826,2532,4279,307761,F
023770885,1580,169,192760,606,5942,2532,4807,307276,T
275438943,1228,143,112976,606,15152,1013,4706,307711,T
739435855,829,70,26528,606,5612,1013,4077,307102,T
230009237,1556,155,284748,1054,9818,562,3135,296277,F
820288247,878,121,58826,606,6887,2026,4146,307567,T
073266319,1374,175,114042,606,12122,506,8448,307275,T
698509261,1479,144,149379,606,12122,2532,8315,307034,T
244914968,1240,156,52080,606,10101,506,4095,307787,T
174763282,1414,191,253106,606,4523,506,8827,307832,T
498131119,1287,160,25740,606,8913,506,4371,307530,T
304629837,1470,125,333690,606,30305,2026,6579,307066,T
315189874,1052,176,136760,606,6061,2532,6213,307348,F
267372226,1590,152,49290,606,7975,2532,8805,307405,T
868807958,976,79,156160,606,3607,1519,6184,307690,T
522155169,1087,159,76090,606,6184,506,4305,307602,T
884613842,981,63,98100,606,17826,1519,6227,307820,T
982766656,1396,134,219172,606,11224,1519,8709,307709,T
361866659,1639,204,286825,606,15950,506,8857,307162,T
766555408,1563,145,307911,606,4810,1013,4046,307057,T
208849029,1406,191,189810,606,4151,2026,4389,307714,T
801453227,1117,138,135157,606,3651,1519,8434,307465,T
738411155,1644,137,121656,606,5827,1519,6316,307174,T
406284782,1181,178,127548,606,7770,2026,4045,307404,F
979072503,1073,198,19314,606,23311,506,4046,307538,T
426737945,905,105,50680,606,21646,506,4404,306996,T
619074031,785,116,49455,606,5225,2532,8666,307550,T
773840249,1026,142,99522,606,5942,506,4264,306879,T
596796823,733,120,67436,606,6061,506,8523,307275,T
396462443,826,131,170982,606,6447,1013,6198,307746,T
184472216,911,128,127540,606,4810,2026,8311,307520,T
746450288,1553,166,183254,606,10823,1013,6418,307245,T
325232489,1023,165,196416,606,4591,2532,8447,306880,F
317264954,1462,154,358190,606,13176,2532,7045,307864,T
493965598,1039,203,132992,606,7215,1013,6439,307251,T
832412616,1113,186,151368,606,4810,506,4335,307834,T
146534842,1516,150,103088,606,15950,1519,6212,306909,T
951032159,1450,145,303050,606,3223,2026,8874,306939,F
190636768,723,99,177135,606,6887,506,8588,307273,T
818681366,1151,177,154234,606,12122,1013,6228,307784,T
488005533,1064,184,131936,606,3443,1519,6177,307762,T
209625125,1237,161,103908,606,3092,2532,8135,307371,F
176816935,1088,189,182784,606,3836,2532,4191,307325,F
677238558,1118,147,110682,606,14430,1519,6713,307205,T
696394598,747,69,129978,606,5510,1013,6432,307679,T
509195593,876,89,201480,606,6061,506,4900,307236,T
274425412,775,119,50375,606,6588,506,6786,307777,T
972557631,1119,146,90639,606,6447,506,4991,307168,T
660852187,1116,153,131688,606,5225,1013,4335,307039,T
929686581,853,64,160364,606,3987,506,8084,307086,T
674403517,965,119,111940,606,33672,1013,8246,307154,T
469107299,1547,134,40222,606,5827,2532,6969,307157,T
815037288,1616,166,33936,606,10101,506,4118,306951,T
434445802,811,106,77045,606,3788,1013,8788,307333,T
638920400,987,108,21714,606,11224,2532,8951,307377,F
422441695,1422,125,190548,606,4968,2026,8283,307670,T
938824136,858,83,44616,606,7391,2532,4587,307546,T
681743673,1200,201,154800,606,7391,506,4776,307732,T
553098909,1357,183,308039,606,4095,506,4466,307444,T
470701147,774,126,162540,606,5827,1013,4918,307312,T
499794630,911,68,38262,606,5510,2532,6033,306925,T
774705688,763,106,153363,606,3294,2532,8513,307121,T
614691015,1506,173,100902,606,43292,506,8183,307134,T
724429402,1538,141,275302,606,3223,2026,6442,306959,T
565056194,1496,128,80784,606,3258,1519,8402,307625,T
514041666,921,126,104994,606,13176,1013,4142,307753,T
661352652,1447,148,282165,606,11224,1013,8933,306949,T
806373082,769,92,110736,606,3523,2532,4511,307288,T
790883099,1030,163,97850,606,33672,506,4860,306876,T
676228927,1140,144,128820,606,3330,2026,8888,307499,F
685148347,1199,156,93522,606,50508,1013,8972,307486,T
439310134,1397,125,150876,606,7770,506,4914,307095,T
226583456,724,94,166520,606,3836,2026,8189,307384,T
615222751,1632,148,332928,606,3092,506,8178,306980,T
931071638,1104,189,198720,606,21646,1013,6526,307203,T
509783102,1467,166,233253,606,8190,1519,8878,307068,T
157208023,1241,160,37230,606,4523,1013,4803,307160,T
576450992,1566,138,371142,606,4591,1013,6856,307381,T
714052287,1581,186,33201,606,6061,2026,6526,307743,T
612383326,785,72,155430,606,3223,2026,4997,306979,T
043231795,1597,178,30343,606,5050,506,4940,307759,T
468369582,1618,179,386702,606,3030,2026,6777,307859,T
457213712,1177,90,61204,606,5136,2532,6678,307122,F
184167372,1617,146,37191,606,7770,2532,6034,307274,T
749662122,786,103,150912,606,4591,506,4539,307297,T
730357307,1466,178,76232,606,4968,2532,4263,306962,T
139528968,741,91,104481,606,3695,1519,8599,307504,T
716123489,1073,170,107300,606,4591,2026,4993,306924,F
373338506,934,108,142902,606,7770,1013,4210,307656,T
992583016,1177,174,50611,606,7770,506,4040,307647,T
339733542,1488,186,281232,606,23311,506,5052,306921,T
187084790,1065,162,12780,606,3987,2532,4318,307677,F
945117757,1363,176,35438,606,6734,1013,8421,307739,T
747418692,1679,183,251850,606,60610,2026,6634,307745,T
297359393,1362,125,224730,606,3156,506,6134,307173,T
917176789,1192,174,113240,606,3258,506,5030,306909,T
307946205,1380,156,322920,606,60610,2026,8856,307266,T
957314563,844,89,186524,606,6184,1013,8933,307453,T
914463562,1585,157,30115,606,6184,1519,6904,307047,T
394602588,1553,133,187913,606,3405,2026,4585,307632,T
202947184,780,76,132600,606,3483,1519,6135,307296,T
868332342,1201,165,78065,606,5225,2532,8667,307246,F
779626443,1507,136,42196,606,3443,2532,8296,307731,T
137519304,857,81,122551,606,4151,506,4766,307670,T
776740763,1431,136,206064,606,15152,2026,6368,307371,T
029761138,870,77,66990,606,4268,1519,8543,307641,T
591897005,834,116,165132,606,10101,2532,8572,307033,T
493157538,1041,138,82239,606,4392,2532,8669,307475,F
855922707,861,118,146370,606,3788,2532,6678,307064,T
785430185,1218,144,125454,606,10823,2026,6915,307655,F
924877553,997,79,35892,606,11655,2026,8208,307299,T
685903774,1578,146,113616,606,3695,1013,6455,307004,T
346066385,1537,148,38425,606,8190,506,5029,307397,T
292032287,995,113,148255,606,17826,506,4917,307863,T
041634080,776,63,128040,606,30305,506,6479,307755,T
129106094,1724,185,49996,606,21646,1519,6957,306912,T
207420554,1482,195,72618,606,6588,2026,8740,307585,T
029988278,1066,163,11726,606,5050,2026,4996,307144,F
746794875,1158,191,70638,606,3695,1013,6589,307781,T
498832860,1104,110,115920,606,18940,2532,8904,307454,F
786906607,1074,98,89142,606,13176,2532,8735,307471,F
109175104,771,101,134925,606,3483,506,4570,307786,T
587153484,1081,187,174041,606,3030,1013,7038,306904,T
643726471,1185,175,79395,606,3885,2026,6789,307532,F
092973001,1509,195,276147,606,6887,2026,8491,306871,T
845067580,1695,172,267810,606,23311,1519,4925,307002,T
636458017,1583,150,96563,606,60610,1013,5030,307370,T
536621571,1132,148,36224,606,3741,1013,8348,307779,T
955754359,1539,145,275481,606,4735,2026,6208,307614,T
220725492,802,108,111478,606,10450,1519,6502,307235,T
338318486,1233,144,112203,606,4456,1519,6651,307763,T
960694891,747,128,146412,606,37881,506,4483,307105,T
714193914,1210,206,125840,606,3741,2026,4315,307573,F
936220840,1569,170,120813,606,5225,2026,6692,307480,T
988217656,1270,140,50800,606,5225,1013,4030,307792,T
849419393,871,83,32227,606,6588,506,8431,307280,T
704613331,854,118,57218,606,7975,1013,4552,307857,T
318536079,1431,169,88722,606,5612,506,6757,307372,T
479497740,938,99,89110,606,8658,2532,8081,306897,T
054974605,728,62,152152,606,8658,2532,8178,307184,T
730776315,1172,177,174628,606,3190,2026,4697,307010,F
981373445,1623,146,178530,606,4151,2026,6647,307841,T
781066120,952,106,178976,606,10450,1519,6653,307565,T
778272045,1264,171,142832,606,5050,506,6952,307094,T
531045474,944,93,62304,606,25254,2026,8906,307277,T
915814745,1063,143,155198,606,30305,2532,8300,307734,F
323384805,992,83,83328,606,5717,2532,6347,307448,F
298327406,1058,140,158700,606,33672,1519,8468,307135,T
746475914,1137,178,47754,606,3223,2026,4679,307259,F
239879512,993,90,30783,606,6588,506,6142,307447,T
