userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
444742666,1191,206,51213,606,1546,1013,6635,307119,T
441755573,1236,143,97644,606,631,2532,6387,307268,F
845624797,1119,109,55950,606,918,1519,8788,307045,T
112857746,1270,145,99060,606,655,2532,6431,307009,F
741379341,1071,86,34272,606,808,2026,6755,307355,T
239828759,984,88,78720,606,1721,2532,4631,306969,F
016811562,833,63,37485,606,716,1013,6277,307257,T
074337697,1174,202,83354,606,4209,2026,4702,306919,F
580911175,1429,155,57160,606,609,1519,6043,307706,T
134010512,1053,193,38961,606,2313,2026,8960,307198,F
655899312,1108,145,54292,606,2061,506,8643,307362,T
881773849,1144,181,78936,606,718,2026,4427,307009,F
554286599,1113,162,66780,606,1295,1519,6780,307278,T
279777622,1190,193,108290,606,1731,2026,6212,307031,F
259178341,1516,160,39416,606,1284,1013,4349,307254,T
744595542,1179,207,82530,606,1638,2026,6157,307059,F
497641786,1244,169,105740,606,627,1013,8229,307049,T
675578215,1288,145,77280,606,1078,2026,4277,307819,F
277942019,1194,198,100296,606,915,1519,4935,307693,T
748469314,1038,98,88230,606,1082,2532,5008,306996,F
642342777,730,73,53290,606,1252,2026,8366,307492,T
154798114,1060,98,80560,606,1485,2532,8098,307710,F
649718460,966,114,45402,606,1731,1519,4828,307518,T
411918637,993,124,28797,606,2313,2532,4973,307322,F
200396634,1237,155,100197,606,2090,506,9039,307004,T
617378052,1066,203,101270,606,932,2026,8203,307708,F
012797990,925,109,27750,606,667,2532,4431,307131,F
001936706,1595,130,145145,606,1358,1519,8487,307233,T
948367198,1220,143,84180,606,1538,2026,8194,307814,F
165638837,1469,151,33787,606,2858,2026,9076,307464,T
965104960,1556,190,146264,606,923,1519,8518,307848,T
903375976,1003,95,71213,606,846,2532,6602,307448,F
939831221,1035,84,81765,606,1048,2532,8355,307510,F
873534313,923,100,82147,606,744,1519,6920,307414,T
221873991,1133,171,84975,606,1371,1013,6234,307746,T
832924168,1246,138,82236,606,716,2026,4526,306933,F
546200784,1222,141,80652,606,9183,506,8756,306884,T
897266818,1296,150,117936,606,1562,2026,8594,307106,F
583089586,967,125,24175,606,1078,2026,8480,307013,T
765913949,1198,152,35940,606,15152,2532,4217,307153,F
592041680,1144,156,76648,606,873,2026,8411,306929,F
248827891,884,73,39780,606,816,2532,6730,306994,T
580598018,1071,137,94248,606,1335,1519,4831,307203,T
526292485,1147,185,25234,606,1041,2026,8239,307793,F
843149672,893,131,35720,606,1358,2026,6720,307804,T
403669027,1198,172,119800,606,1102,2532,4274,307171,F
267098585,1262,185,34074,606,639,1013,6568,307751,T
701981800,1270,157,121920,606,682,2532,6854,307694,F
961011613,1523,191,149254,606,996,506,6201,307464,T
443142060,1180,166,75520,606,1247,2026,4155,307096,F
496153488,1172,195,57428,606,1586,1013,8743,307351,T
697034315,1081,158,98371,606,977,2026,6144,307754,F
865030595,1451,161,118982,606,2780,2026,8758,307047,T
248844529,1109,165,94265,606,3788,2026,6744,306944,F
656389328,1629,169,89595,606,2504,2532,8506,307042,T
470186291,1106,166,29862,606,1037,2026,6434,307732,F
148508629,1149,206,50556,606,725,506,4533,307642,T
080115130,985,133,88650,606,3061,2532,8580,307045,F
012087972,1586,186,126880,606,8913,2026,4937,307231,T
724688341,1262,141,53004,606,1037,2026,4906,307187,F
843321422,961,94,93217,606,891,1013,6054,307267,T
811497307,1110,168,36630,606,3124,2026,6404,307243,F
794281922,1142,103,39970,606,769,1519,4732,307362,T
072942298,1087,173,63046,606,714,2532,8168,307806,F
768340295,1241,154,48399,606,1918,1013,4345,307722,T
138259294,1284,176,115560,606,821,2532,6047,307309,F
276792070,1276,143,57420,606,630,1519,6468,307198,T
702889110,1054,177,42160,606,1236,2532,8857,307232,F
134398023,1302,201,100254,606,2331,2532,4918,307635,F
751955294,948,130,46452,606,6734,506,4662,307606,T
512835925,1119,93,30213,606,1212,1519,4595,307316,T
340879513,1142,150,42254,606,716,2532,6086,307572,F
316708890,1024,103,65536,606,759,1013,4319,307051,T
671619375,953,124,30496,606,1515,2532,6122,307822,F
371325875,1172,137,103136,606,2075,2026,6604,307462,F
803429947,1516,151,57608,606,1422,2532,9061,307028,T
790835747,1188,195,98604,606,668,2026,6708,307641,F
014817424,1420,184,76680,606,624,2026,6840,307153,T
855733183,1024,91,37888,606,3124,506,6035,306915,T
980286875,1295,175,120435,606,2806,2026,6755,307657,F
814000744,1125,176,77625,606,663,2026,4509,307352,F
024178422,1281,185,112728,606,2705,506,6336,307175,T
939189026,1525,170,102175,606,12627,2026,4739,307283,T
357188657,1218,168,90132,606,618,2532,4505,307659,F
024950041,1023,156,87978,606,891,2532,6712,307200,F
541898292,1469,135,63167,606,1311,2532,4784,307678,T
749315261,1379,166,111699,606,6734,1519,6929,307433,T
352957566,1039,100,70652,606,767,2532,4419,307870,F
338895634,948,118,72048,606,3294,2532,8771,307434,F
701169737,1168,193,99280,606,888,1013,6037,307216,T
999749779,1055,157,28485,606,1955,2532,6195,307485,F
610843693,1093,166,42627,606,1317,1013,6764,307387,T
912934860,1123,194,72995,606,865,1013,6865,307517,T
610662932,1067,190,85360,606,2504,2532,8909,307515,F
504351819,1197,194,112518,606,6734,2026,6775,307699,F
907875247,1170,175,46800,606,714,506,8675,307484,T
384775102,914,121,56668,606,2463,506,6819,306895,T
873777259,1043,153,96999,606,959,2026,4919,307552,F
100878223,971,102,45637,606,3565,1519,4817,307056,T
768195818,1112,142,66720,606,3000,2532,6464,307188,F
