userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
454013537,676,132,149396,309,4743,758,4326,77828,T
843251800,1929,421,100308,309,985,505,2246,78555,T
042131735,317,87,76080,309,782,1010,2688,78329,T
139436653,15,14,3645,309,9486,252,3537,77595,T
446759520,860,96,116100,309,1614,1010,3530,77779,F
050044750,491,74,84452,309,2371,758,3503,78558,T
905454992,465,103,36270,309,1204,758,4648,77601,T
093290715,852,119,109056,309,862,505,2017,78206,T
146599673,432,66,4320,309,1286,505,2978,77900,T
687362235,1964,400,113912,309,5059,758,4349,78439,T
304803609,423,112,41454,309,6324,252,2323,77779,T
664258800,56,1,12152,309,5421,505,4315,78523,T
509762211,2031,406,446820,309,1224,252,2445,77638,T
412030314,109,47,7194,309,1517,1010,4257,77707,F
965335647,516,120,5676,309,6899,758,4683,77680,T
914698809,216,1,26136,309,824,505,3770,78500,T
711843783,2148,431,494040,309,1581,1010,2217,77788,T
125739717,433,117,103920,309,6324,505,2887,77838,T
514794204,565,80,85315,309,790,1010,2004,78339,T
312653942,752,117,163184,309,1686,1263,4062,78050,F
077816619,754,145,151554,309,2299,505,2777,78416,T
950384824,2077,380,114235,309,3614,252,3019,77642,T
834281800,2179,412,74086,309,1431,1010,2479,77637,T
346777935,465,86,92535,309,834,758,4647,78470,T
231791502,494,119,113620,309,1405,758,2587,78102,T
160403698,755,114,147980,309,1355,758,2197,77991,T
633181930,1,14,96,309,925,1010,4028,78298,F
459321359,692,129,116256,309,1649,505,4861,78565,T
752731675,2034,445,117972,309,914,252,4110,77924,T
077714704,396,113,77616,309,1068,505,3505,77821,T
407128522,625,48,51875,309,2529,505,3392,78482,T
924277663,837,117,57753,309,1149,1010,3147,77640,F
016165123,760,86,87400,309,7589,1010,2244,78365,F
811162197,1906,438,404072,309,1686,1010,4070,77629,T
983176891,659,86,69854,309,1379,505,2105,77644,T
984192122,71,1,7029,309,9486,758,4775,77590,T
197724987,470,102,81780,309,1185,1010,3578,77601,T
533542427,2111,383,196323,309,766,505,4536,78521,T
200340311,107,40,12733,309,1807,758,4030,78125,T
631623181,165,23,9405,309,1011,1010,4011,78204,F
426606213,735,115,176400,309,1099,252,4986,77672,T
424038053,742,137,115752,309,852,758,3942,78551,T
921079551,64,22,16000,309,790,505,4664,78163,T
517289729,1969,412,448932,309,1851,252,2446,77849,T
142709886,636,40,23532,309,882,252,3294,77938,T
682766668,2111,411,299762,309,852,758,4200,78261,T
595834529,136,13,11696,309,6324,252,4989,78145,T
337079216,171,11,41211,309,807,252,4616,78246,T
979277159,1951,418,419465,309,1379,505,3009,77700,T
869772515,675,107,96525,309,872,758,5012,77763,T
165422426,269,1,28245,309,9486,758,3809,78530,T
474901004,816,116,119136,309,782,758,3318,77642,T
144677695,742,129,147658,309,816,758,3421,77778,T
376598539,600,115,39600,309,1185,252,4020,77990,T
951874427,502,119,63754,309,1764,1263,2942,78287,T
227553747,768,145,35328,309,1331,505,3682,77895,T
743472105,234,1,43992,309,2299,758,2319,78186,T
200521420,48,1,9936,309,973,1263,4801,78427,T
452121030,43,12,5203,309,1997,758,4017,78534,T
824710517,242,5,45738,309,2108,505,2455,77674,T
135733363,2177,444,241647,309,1897,252,2164,77900,T
229758383,755,130,7550,309,2617,252,4203,77867,T
154636021,472,101,21240,309,1431,758,2500,77677,T
145948483,352,75,6688,309,1331,1010,2574,77889,T
973508858,15,45,510,309,1897,252,4000,77794,T
778173353,391,82,57086,309,1897,1263,2524,78143,T
070377007,483,127,6279,309,1946,252,2038,78312,T
613298113,2155,405,30170,309,1488,758,4613,77788,T
061966064,747,69,29133,309,862,758,3001,77899,T
584012322,2004,433,52104,309,834,252,3453,78568,T
191981964,706,130,14120,309,872,252,2998,77578,T
437020671,870,118,115710,309,790,252,2771,78073,T
220660293,403,79,89466,309,985,505,2169,78335,T
005290690,635,113,83820,309,5421,505,4997,78440,T
972631104,175,13,43400,309,1431,1263,2010,78379,F
937734193,343,69,81977,309,1185,505,4949,77900,T
