userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
530593392,9,25,495,309,244,252,3069,77776,T
559115915,766,139,40598,309,170,1010,2835,78058,F
078581897,536,59,25728,309,183,758,4917,77851,T
840378549,680,101,25160,309,471,1263,3647,78453,F
738960389,2163,419,112476,309,201,252,2901,77663,T
882115782,636,139,24804,309,304,1263,2997,78096,F
440803136,448,88,41216,309,417,1263,3790,77880,T
168230695,722,101,18772,309,431,1010,3773,77659,F
601591155,325,68,10725,309,202,758,4723,78147,T
036444745,797,145,18331,309,387,1263,4213,77644,F
397678686,51,5,1989,309,356,758,2995,78003,T
058586960,282,28,21432,309,2529,1263,4502,78008,F
643694129,10,37,610,309,1204,1263,4442,78238,F
216237333,107,5,9202,309,299,252,4006,77901,T
505595775,1938,379,102714,309,1548,1263,3022,78264,T
617574961,674,81,58638,309,196,1263,4805,77866,F
130774811,155,20,7130,309,162,1010,3221,78167,T
396221069,878,145,52680,309,314,1263,3149,77792,F
956627160,397,113,38906,309,196,252,2380,77801,T
819004539,757,119,75700,309,381,1010,3271,78251,F
685928228,626,41,40690,309,259,1010,4899,78043,T
436213746,602,137,41538,309,312,1263,3265,77866,F
321516626,2045,426,65440,309,1132,252,2584,78546,T
255106285,648,115,41472,309,709,1263,3550,78381,F
252353484,117,55,10413,309,164,1263,3763,77959,T
834743401,899,122,72819,309,160,1010,3519,77836,F
915714877,589,69,16492,309,204,252,2555,77880,T
240877797,855,134,67545,309,166,1010,2925,77599,F
640320033,577,116,14425,309,1405,1010,4502,78311,T
005083360,772,131,74112,309,405,1263,2171,78077,F
243659006,1998,433,95904,309,181,1263,2916,77735,T
051659859,725,109,18125,309,758,1010,2054,77743,F
736943137,1966,427,49150,309,4743,1010,4343,78147,T
729062519,847,90,32186,309,377,1010,3255,77664,F
555390441,1997,399,139790,309,2710,252,3594,78399,T
131895495,841,82,78213,309,172,1263,4449,77823,F
015171852,673,146,19517,309,154,252,4511,78051,T
947871937,731,104,71638,309,157,1010,4546,77962,F
781684036,824,108,60152,309,160,252,4634,78010,T
812676739,835,115,35070,309,465,1263,4674,77943,F
351589883,697,120,27880,309,232,252,3931,78361,T
734430641,718,88,33746,309,1149,1263,2164,78331,F
529742997,649,50,13629,309,387,252,3302,77584,T
605737372,182,17,17290,309,1099,1010,4307,77661,F
144251273,684,99,23256,309,176,505,2684,77648,T
304561780,686,90,42532,309,218,1263,3581,77906,F
584344099,142,25,9798,309,1614,758,3707,78462,T
684246369,641,116,24999,309,198,1263,3723,78326,F
286016833,329,90,18424,309,1807,758,4405,78188,T
497319505,764,109,33616,309,1459,1263,4332,77665,F
542958353,2072,423,130536,309,852,505,3181,78028,T
321322694,822,106,69870,309,166,1263,4442,77818,F
311305339,2025,424,170100,309,268,1010,3130,78449,T
238251460,883,143,52980,309,344,1263,3461,77872,F
641291192,2084,434,162552,309,477,252,2396,78451,T
504567575,825,96,77550,309,153,1010,4031,78090,F
824538819,26,16,2262,309,436,252,2388,77829,T
125930046,272,17,23664,309,263,1010,2894,78075,F
702754598,134,33,10452,309,1264,758,3205,77923,T
975900520,254,6,22606,309,446,1263,2206,78476,F
251310459,717,51,15057,309,2919,1263,1970,78225,T
563374126,746,112,40284,309,232,1010,4886,77580,F
095356948,784,124,34496,309,200,252,2711,77733,T
655647397,813,136,53658,309,2529,1263,4931,78321,F
715132131,876,83,62196,309,234,505,2207,77674,T
201438215,818,118,49080,309,671,1010,4515,78524,F
798434056,796,120,50148,309,279,1263,4658,77845,F
783115860,722,142,17328,309,180,505,3891,77639,T
006733306,469,99,27671,309,194,505,3449,78303,T
676364359,27,59,621,309,1897,1263,2801,78137,F
839557342,658,97,42112,309,195,505,2337,78574,T
119807553,808,125,37976,309,483,1010,4424,77922,F
435709769,2187,400,61236,309,231,1263,2825,78252,T
231162156,885,121,22125,309,234,1010,4048,78169,F
061370443,1902,423,184494,309,166,505,4067,77841,T
321459900,266,13,12502,309,648,1010,4176,78304,F
297315567,56,13,1568,309,1724,1263,2324,77829,F
879103230,696,118,23664,309,443,505,4282,78015,T
989059780,326,126,29014,309,465,758,3666,78150,T
932746892,267,12,10680,309,872,1263,4274,78129,F
139018940,2013,399,100650,309,393,505,4489,78522,T
072862808,716,129,55848,309,579,1263,3224,77822,F
510581195,822,148,66582,309,370,1010,4451,77936,F
449832128,111,26,7326,309,509,1263,4843,77626,T
171423028,34,41,1734,309,2371,252,3681,78219,T
818198356,796,96,78008,309,194,1010,2834,78071,F
804982084,652,93,65200,309,683,252,4299,78048,T
198405127,740,80,25160,309,244,1010,4156,78331,F
762245117,357,67,32844,309,168,252,4315,78310,T
887407472,626,100,18154,309,238,1263,2335,78477,F
170747557,2038,443,140622,309,266,758,3566,78541,T
678485774,11,32,693,309,2448,1010,3897,78049,F
515447740,364,71,34216,309,201,505,2908,77859,T
955376328,667,101,30015,309,199,1010,4756,78111,F
952466216,571,83,36544,309,243,1010,3409,78221,T
247886167,615,101,59655,309,205,1010,3014,78384,F
143070091,455,114,45500,309,1054,505,4319,77577,T
979291134,873,126,75078,309,6324,1263,4396,78511,F
406869852,423,98,24534,309,182,1263,2409,78369,T
181882696,668,133,22712,309,186,1263,2529,77619,F
