userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
463462254,234,20,29718,411,5967,2747,3980,226183,T
075513858,551,132,5510,411,2316,1099,4028,226186,T
041384677,908,87,91708,411,4189,549,3702,226077,T
350794653,114,65,11400,411,5182,1648,3170,226124,T
815878340,553,155,116683,411,7032,549,3879,225633,T
471128822,1412,133,142612,411,19692,1648,4416,226130,T
821074651,1452,118,156816,411,3646,2747,3666,225936,F
701690850,1412,141,160968,411,3125,2198,4855,226454,F
635640269,1068,183,43788,411,24615,2198,2201,225628,F
814753250,597,153,20895,411,5470,2198,4496,225465,F
662008777,1892,249,350020,411,2051,1099,4346,225607,T
800722134,1213,114,162542,411,8561,2198,2401,225579,F
711962909,477,127,94923,411,2051,2747,5395,225689,F
453948283,870,102,151380,411,4189,2198,4554,225685,T
579339450,483,106,60375,411,2163,2747,2266,225777,F
230073146,1177,199,223630,411,4579,1648,2471,225652,T
717260163,1282,181,234606,411,2072,2198,4708,226299,F
822154944,2017,258,302550,411,5049,1099,4282,226207,T
645745106,1193,94,97826,411,5049,549,4147,226244,T
056032831,1213,155,92188,411,3176,1648,3074,226167,T
987571928,571,101,90218,411,7293,2747,3190,225496,F
285281949,1135,142,15890,411,5322,2747,4477,226170,T
977698946,455,114,86450,411,15147,1648,2472,225514,T
741329807,1063,132,23386,411,3337,2747,2709,225520,T
635913990,72,39,7488,411,8950,1099,5029,225794,T
028169443,460,106,115000,411,8950,1099,4945,226249,T
937185243,557,99,15596,411,5967,2198,2387,225693,F
894063326,250,30,29250,411,2030,1099,3360,225752,T
335024691,117,3,19890,411,2263,1099,3552,225663,T
499259421,942,103,96084,411,2094,2747,3045,226012,T
624802814,102,6,17646,411,3125,549,3057,225651,T
407955020,107,40,2461,411,2557,1648,3925,225839,T
182167719,1147,117,98642,411,2461,2747,2900,226203,T
838731687,1971,278,429678,411,32820,1099,4879,225875,T
484766724,1172,189,162908,411,2372,549,5123,225536,T
024715154,740,89,49580,411,2072,549,4738,225576,T
725217517,1002,155,193386,411,4923,2198,3148,225921,F
800993912,1118,173,152048,411,5791,1648,4273,225903,T
309517707,78,48,1404,411,39384,2198,2318,226009,T
760752620,1101,153,202584,411,1969,2198,5288,226364,F
664550022,1862,286,366814,411,8205,1099,2917,226102,T
095028903,591,112,83922,411,4376,2747,3490,225465,F
868816410,1761,291,427923,411,24615,2198,5004,226333,T
091674988,292,7,24236,411,2316,549,2683,226071,T
765627302,1064,156,134064,411,4923,2198,5116,225815,T
354327226,1254,164,191862,411,5182,2747,3370,226239,F
614652790,1012,109,63756,411,5791,1099,4612,225770,T
791227152,1800,298,190800,411,2591,549,2855,226286,T
074964917,529,101,96278,411,12307,2747,5299,225852,F
417815562,65,66,4095,411,17901,1099,5241,225756,T
345217783,1221,168,203907,411,2401,549,4128,225559,T
713953049,974,96,217202,411,2401,2747,2751,225511,T
760611252,1996,294,281436,411,12307,1099,5026,226016,T
763033493,198,28,22968,411,2316,1099,2288,226010,T
508799116,242,17,29282,411,2237,549,4266,226176,T
013210258,764,92,130644,411,3646,1099,4973,225520,T
206075304,428,149,63344,411,3029,2198,4007,226459,F
626791106,1186,160,212294,411,5791,549,3872,225582,T
202629082,463,134,9723,411,2237,2198,4385,226012,F
615295303,698,97,101210,411,9377,549,2554,225721,T
680492155,1182,97,23640,411,3395,1648,4211,226451,T
769143512,703,145,71003,411,5967,1099,4936,225871,T
071915390,784,113,97216,411,4018,549,3389,226212,T
571425207,843,152,38778,411,2051,549,2610,225803,T
664092087,1026,196,212382,411,2263,2198,5075,225632,F
044626666,929,137,143066,411,2263,2747,2878,225803,T
661406774,1018,123,178150,411,3454,2198,2815,226352,T
374279130,1906,286,243968,411,3646,1648,3605,226337,T
387685432,92,25,22724,411,2401,1648,3991,225751,T
119489900,1075,144,69875,411,4802,1099,4271,226444,T
101338621,133,38,32718,411,1969,1099,3873,225465,T
873329242,1154,175,140788,411,19692,2198,5337,225983,F
172070070,236,2,32332,411,2051,549,4945,225576,T
516512407,1125,175,244125,411,11583,2747,3804,225612,F
964351498,1224,152,258264,411,9377,1099,4612,226400,T
887032768,913,99,95865,411,3125,1648,2258,225886,T
393727141,436,103,88072,411,4802,2198,4952,225692,F
935026323,1437,114,168129,411,2492,2747,4547,225456,F
267107138,463,130,50467,411,3516,2198,2841,225733,F
178917916,814,116,157916,411,3861,2747,2179,226160,T
