userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
992833895,1262,124,83292,411,1041,1099,5245,226207,T
558132077,457,143,37474,411,504,2198,3801,225860,F
160372340,227,55,7264,411,450,549,5234,225751,T
306200595,1205,146,53020,411,1015,2198,5307,225575,F
375478877,1123,141,49412,411,564,1099,2389,225506,T
429642318,475,108,33250,411,17901,2198,4767,225577,F
796382919,539,151,19404,411,686,1099,4609,225952,T
103389610,575,87,50025,411,489,2198,5107,225865,F
493621220,1890,278,156870,411,468,2198,2630,226024,T
921950634,1390,134,75060,411,1526,2747,3131,226171,F
168272633,671,113,47641,411,2316,1648,4833,226118,T
122207281,1446,127,131586,411,2188,2747,4097,226021,F
876012520,1955,292,136850,411,440,2198,3515,225779,T
223055127,615,111,46740,411,637,2198,3169,225790,F
804616065,1016,122,96520,411,604,1648,4239,226004,T
434070253,1207,164,62764,411,933,2198,3267,225491,F
713148801,1021,113,36756,411,679,1648,2902,226272,T
128843553,1446,147,128694,411,423,2198,2541,226314,F
468930723,502,127,31124,411,512,1099,5374,225985,T
331672480,1440,123,76320,411,427,2198,5300,226319,F
110174543,894,126,89400,411,1262,2747,4075,225569,T
271653890,553,125,29862,411,663,2198,4022,225932,F
278751997,980,120,81340,411,841,549,2577,226450,T
385863493,622,90,53492,411,2030,2747,3335,225806,F
367463329,229,38,10305,411,1758,1099,2721,226126,T
393001157,465,94,29295,411,589,2198,2928,226193,F
900029588,681,129,65376,411,4102,1099,3379,226314,T
508717248,1345,151,67250,411,1790,2198,3097,225884,F
031841299,1194,117,97908,411,754,1648,3951,225976,T
795900303,488,96,11712,411,698,2198,5023,226377,F
765422748,846,86,21996,411,596,2198,2990,225620,T
401142315,1344,123,40320,411,803,2747,4249,226266,F
139319435,1223,122,37913,411,3786,1648,4435,225960,T
811876838,545,138,31610,411,3228,2747,4037,225774,F
815978626,2041,247,202059,411,393,1099,3361,225701,T
461862699,1245,134,73455,411,743,2198,4666,225577,F
551233981,692,55,36676,411,435,2747,4134,225492,T
326937742,453,87,25368,411,641,2747,4964,225982,F
467413332,1106,148,102858,411,538,2747,4540,226299,T
929932023,542,101,48780,411,732,2747,3121,225801,F
778594904,82,30,5002,411,591,1648,2991,226002,T
048543549,1231,147,76322,411,488,2747,2437,225555,F
497855295,1320,121,106920,411,491,2747,2219,225876,F
864085104,1310,170,65500,411,426,549,3404,225551,T
773735899,183,63,16287,411,518,1648,3630,226046,T
255096724,570,98,27930,411,841,2198,2478,225802,F
698727052,1220,179,76860,411,28131,2747,4722,225807,F
139324549,1026,128,21546,411,471,2198,3159,226386,T
721059255,1166,111,37312,411,1262,1099,3635,226320,T
144386818,1312,151,48544,411,716,2198,4110,225891,F
198730714,1334,175,82708,411,433,2198,2190,226182,F
106720635,1202,156,45676,411,422,549,3687,225682,T
149962822,520,149,27560,411,1358,1648,3508,226018,T
854830518,1227,152,30675,411,402,2747,2428,225956,F
898085740,1210,173,33880,411,1348,2747,2685,225737,F
304938363,166,17,7138,411,441,549,3657,226433,T
968030178,601,99,30050,411,2661,2198,4860,226240,F
421480288,189,22,14175,411,1396,2198,2627,225658,T
388886059,1429,142,107175,411,695,549,3528,225480,T
841334973,1433,112,88846,411,729,2747,4917,226232,F
448081954,582,130,40740,411,823,2747,5240,225907,F
078563468,485,127,23765,411,464,549,3356,226158,T
834602013,1389,141,58338,411,1076,2747,5076,225683,F
753331758,724,102,37648,411,434,1099,4438,226452,T
475493734,599,93,43727,411,432,1648,4752,225669,T
144189568,1231,173,108328,411,1668,2747,3944,225674,F
838145264,1325,170,113950,411,734,2747,4484,226081,F
485456423,726,72,28314,411,1668,2198,2447,225710,T
442034468,982,151,34370,411,449,1099,3541,225816,T
211902170,1348,159,60660,411,813,2747,3046,225529,F
748315025,514,149,35980,411,7876,1099,3965,225535,T
577916866,496,98,32240,411,548,2747,3699,225566,F
198400654,1235,150,74100,411,1151,2747,4379,225505,F
475604559,1032,134,22704,411,1989,549,4718,225677,T
112872065,1159,127,61427,411,629,2198,3638,225941,T
172397829,1441,141,119603,411,551,2198,3715,226394,F
457726429,1375,129,63250,411,485,1099,4114,225598,T
410557586,1243,146,57178,411,596,2747,3750,225712,F
814192497,958,129,25866,411,397,2747,4690,225469,T
754798811,1376,125,105952,411,681,2747,4935,226247,F
512092200,575,92,44850,411,523,2747,3805,225861,F
702396921,1154,112,111938,411,4018,2198,3164,225476,T
278794188,1141,109,38794,411,643,1648,4190,226311,T
434109283,502,145,43674,411,1100,2747,2999,226097,F
342225015,1159,117,77653,411,2853,2747,5377,226462,T
479380201,1416,129,104784,411,1193,2198,5320,225706,F
263652675,114,47,4104,411,1036,2747,4587,225673,T
320559051,1300,133,76700,411,3715,2198,2517,225759,F
869960483,499,149,16966,411,472,549,3826,225532,T
309186255,1444,169,118408,411,1396,2198,4889,225482,F
543447867,1058,153,39146,411,1223,1099,4360,225614,T
110910433,486,94,32562,411,672,2747,4925,226034,F
287707536,1951,309,136570,411,807,1648,2299,226100,T
271691511,1392,131,65424,411,574,2747,3001,226318,F
874624838,473,112,37840,411,415,549,5185,225562,T
841932757,572,97,17160,411,463,2198,3708,225515,F
401226713,226,69,16950,411,2212,1648,5215,226339,T
588080374,427,124,27328,411,1426,2198,4912,226333,F
964668867,1141,152,69601,411,688,2747,3013,226278,T
017880435,1242,145,32292,411,570,2198,4591,226012,F
