userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
493714635,890,145,207370,1735,4097,697,3623,303012,T
040719342,887,160,91361,1735,4757,523,2211,302816,T
914125663,2018,407,504500,1735,19665,174,2842,302172,T
309725279,1970,207,104410,1735,12291,523,1387,302929,T
143413305,2083,409,358276,1735,21070,872,2368,302629,T
182456751,459,23,58752,1735,4538,872,2840,302515,T
455385052,486,35,27216,1735,3430,523,2867,302965,T
886006774,931,182,95893,1735,3881,697,2371,302602,T
283800932,2037,377,305550,1735,4835,872,2842,302806,T
649874282,884,192,113152,1735,3781,697,2297,302754,T
125896164,2002,385,100100,1735,9218,697,2710,302709,T
162324397,1993,409,273041,1735,5672,174,1651,302512,T
549151441,446,42,43262,1735,3241,523,2030,302124,T
122253564,256,82,19712,1735,3314,348,1642,302684,T
369198280,2052,411,463752,1735,8938,872,2078,302804,T
063902627,1924,424,78884,1735,32776,872,2150,302950,T
322990934,281,76,37935,1735,5085,348,1576,302920,T
435260204,356,12,50552,1735,6704,697,1532,302161,T
908134596,2098,412,413306,1735,8938,523,2881,302873,T
898612142,1051,160,52550,1735,3390,348,2125,302500,T
374564703,1264,91,183280,1735,26816,348,2226,302315,T
969127526,298,36,36654,1735,22691,174,2526,302737,T
996009835,1959,173,233121,1735,12291,523,2023,302368,T
335417526,1208,102,115968,1735,8194,872,3315,302794,T
023363463,909,147,71811,1735,4040,523,2787,302803,T
218035261,1900,384,205200,1735,5462,697,2877,302623,T
238034427,2031,377,322929,1735,3241,174,3505,302854,T
297071702,325,56,42900,1735,13408,697,2098,302570,T
512066536,874,160,84778,1735,3781,872,1716,302695,F
088630715,2021,383,189974,1735,4682,697,2545,302104,T
944548886,834,171,195990,1735,3390,348,1559,302971,T
754679689,1243,102,147917,1735,32776,523,2116,302574,T
630477511,1863,396,176985,1735,5462,872,2289,302356,T
212909723,328,54,77408,1735,8938,174,1518,302475,T
801149028,443,63,43414,1735,3986,697,3270,302601,T
274913144,324,69,16524,1735,4538,348,3375,302273,T
490790201,1027,136,113997,1735,3314,872,2651,302868,F
776550862,2063,415,249623,1735,36873,697,1457,302908,T
