userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
067415688,227,18,32007,114,602,1938,1485,54797,T
125347323,1694,274,37268,114,1827,1938,2024,54391,T
643644201,1893,274,465678,114,2120,2422,1949,55188,F
078178464,1096,152,244408,114,638,969,1954,54270,T
600536734,1820,268,402220,114,1292,969,1556,55262,T
760555508,1765,289,201210,114,2944,1938,2065,54762,T
900135716,1099,128,102207,114,828,2422,1766,54944,F
753410634,15,16,2985,114,4416,969,1830,55256,T
443497964,1806,277,440664,114,854,2422,2391,55029,F
776550862,1836,266,214812,114,576,2422,1531,55068,F
326354442,215,1,37625,114,913,2422,2686,54535,T
746671823,1031,161,249502,114,2120,1453,1378,54903,T
314142348,96,49,10944,114,4416,1453,2235,54833,T
754861055,1713,256,212412,114,646,2422,2434,54495,F
551814010,191,20,34380,114,697,1938,1162,54797,T
797026536,1689,281,325977,114,1000,484,1904,54695,T
294000580,1910,256,91680,114,3533,1938,2119,55043,T
505608995,1746,297,68094,114,588,484,1980,54883,T
578357184,1027,110,70863,114,1892,484,2274,54411,T
395219318,1188,112,125928,114,588,1453,1495,54726,T
518342522,1879,269,144683,114,726,484,1771,54559,T
005489889,217,39,10633,114,623,484,2097,55069,T
123901615,182,31,7462,114,803,1938,2792,54719,T
403237372,10,53,370,114,630,969,950,54892,T
310420663,1665,280,86580,114,557,484,2427,54505,T
825724387,25,7,6025,114,1081,1938,969,55163,T
904538729,1136,110,168128,114,4818,1938,2117,55140,F
517026015,94,39,18330,114,552,969,2083,55176,T
753442981,1147,122,183520,114,757,2422,2856,54459,F
889894708,1199,117,109109,114,1204,484,1536,54588,T
876644120,1199,119,211024,114,1152,969,2483,54939,T
723332898,1079,137,219037,114,929,1453,1894,55167,T
571880758,1827,297,42021,114,1127,1453,1512,54724,T
322070098,934,131,85928,114,1104,969,2905,54940,T
539533906,110,37,19030,114,530,1453,2212,55054,T
192902021,910,132,127400,114,4818,1453,1060,54925,T
396676041,97,1,4365,114,1261,969,2507,54603,T
767286275,1781,246,165633,114,662,969,1700,54765,T
873361100,133,1,15295,114,2120,969,1688,54845,T
738934233,1051,160,130324,114,1892,484,2347,54651,T
016695537,1137,121,75042,114,552,1453,1069,54402,T
160620237,46,13,11224,114,3312,969,1422,54399,T
801367165,1032,143,100104,114,3312,1938,2806,54741,F
558435427,1031,122,141247,114,757,2422,1628,54285,F
280480630,992,139,241056,114,540,484,2158,55019,T
218516715,207,26,41607,114,1558,1938,1656,54918,T
632528530,957,117,18183,114,828,969,1306,54443,T
430752561,1904,293,310352,114,716,2422,2798,55238,F
408897317,906,98,45300,114,4818,2422,2271,54256,F
724688572,202,39,34744,114,1656,484,2352,54916,T
699183459,1815,300,235950,114,563,2422,2024,55104,F
558385774,155,1,23250,114,791,1938,1853,54650,T
369829475,153,9,21879,114,1766,2422,2108,55051,T
170444153,1811,244,170234,114,706,969,2844,54725,T
362600890,986,158,242556,114,552,484,1926,55243,T
801776504,167,30,12191,114,582,1938,1933,55198,T
001474156,1200,102,204000,114,1514,484,2471,55044,T
085584415,1084,107,80216,114,2650,484,2303,55192,T
644152743,1765,265,229450,114,1358,969,1499,55021,T
568804442,1078,140,255486,114,7571,2422,2735,54973,F
768199200,13,11,2275,114,2650,484,1419,54852,T
372832738,1715,283,303555,114,1656,1938,2154,54814,T
911561345,1,12,18,114,2944,969,2861,55252,T
785497902,981,113,125568,114,736,1453,1819,54733,T
126215411,901,125,190111,114,3117,969,1523,54677,T
752189822,1022,142,206444,114,2120,1938,2265,55123,F
527888286,1015,143,209090,114,746,484,1120,55126,T
569849694,983,92,52099,114,576,969,1877,54441,T
854043093,133,9,29127,114,646,969,1321,54646,T
002205067,193,50,22774,114,2944,484,2055,54912,T
895755327,1858,249,287990,114,1358,1453,2517,55174,T
420250651,1165,91,192225,114,616,969,1654,54269,T
306283209,19,49,1254,114,5300,1938,2200,55013,T
817748655,178,31,19224,114,1514,1453,1408,55163,T
424803141,2,1,92,114,1656,484,2455,54662,T
859839405,1035,131,18630,114,2789,1453,1924,54724,T
873821026,19,10,855,114,595,1938,2538,54899,T
326193666,1715,269,234955,114,7571,1453,1791,54624,T
893349835,1159,123,141398,114,1472,969,1889,54748,T
286682469,1909,294,412344,114,1827,484,2313,54883,T
530369312,1109,139,48796,114,3312,484,1348,54633,T
093822803,208,25,19552,114,1292,2422,2888,54583,T
389180542,146,36,29638,114,1558,1453,1320,55196,T
399098724,1034,103,257466,114,4416,1453,1613,55160,T
850807121,1675,297,232825,114,670,484,2730,55088,T
326280900,12,1,2376,114,1204,1453,1442,54872,T
727506997,1694,298,137214,114,576,2422,953,55049,F
537725519,81,1,7047,114,779,484,2143,54472,T
135079338,965,128,157295,114,1394,1453,2440,55191,T
983908604,990,137,173250,114,1292,969,2078,55156,T
224423134,1782,260,422334,114,1472,2422,2611,54706,F
691622169,993,110,169803,114,1039,1453,1548,54507,T
202306491,1838,264,115794,114,1204,1938,1445,54890,T
644954756,1198,104,238402,114,736,484,2009,54324,T
737805540,184,3,36616,114,546,969,2644,54547,T
247445898,1673,255,276045,114,2944,484,2710,54727,T
880253818,1188,140,73656,114,726,1453,1889,54951,T
454092253,1888,297,337952,114,4416,1938,1837,55255,T
034794811,1892,274,448404,114,736,1938,2512,54643,T
697081982,980,96,103880,114,552,1453,2112,54614,T
314259664,988,134,109668,114,6625,484,1911,54841,T
445897415,999,98,81918,114,736,1453,2351,55204,T
325021797,1698,298,388842,114,1827,484,1919,54673,T
608007611,1091,159,51277,114,1019,2422,2439,54462,F
022316550,111,21,20535,114,898,2422,2342,54710,T
661915227,1142,100,60526,114,2038,969,1523,55005,T
153668178,1900,251,262200,114,2038,2422,1203,55234,F
843245018,8,51,1816,114,569,2422,2363,54427,T
222461902,1787,272,151895,114,688,484,1567,55070,T
085728504,1880,270,216200,114,1472,1453,1936,54910,T
115891443,940,154,141940,114,841,1938,1486,55225,F
373817689,8,40,1872,114,1766,1938,1438,54760,T
170814132,1802,296,414460,114,841,969,1346,55075,T
149173163,1680,279,184800,114,697,2422,1960,55106,F
123704742,190,24,15200,114,2409,1453,1745,54718,T
478371390,165,18,26895,114,1177,484,1367,54756,T
165122378,20,37,4920,114,654,2422,2037,54558,T
449710214,1053,125,44226,114,6625,1453,2646,54720,T
941122210,45,1,3825,114,1204,1938,1653,54881,T
059129654,1080,146,66960,114,716,969,1633,54290,T
239746632,932,142,19572,114,2409,969,2249,54659,T
456274309,215,45,52675,114,1232,1453,1572,54706,T
388995103,115,28,4485,114,981,1938,1386,54658,T
336779798,1074,157,93438,114,623,2422,2303,54469,F
877193281,1167,91,187887,114,2409,484,1539,54491,T
574856693,1065,117,239625,114,2523,1938,1967,55191,F
177179129,919,153,108442,114,1962,484,1135,54295,T
308620631,13,12,2886,114,688,969,2872,54267,T
654650374,104,44,21632,114,10600,1453,2198,54841,T
933254983,1879,260,234875,114,582,969,1129,55221,T
992868319,1804,282,322916,114,4416,969,2353,54456,T
182283566,1142,132,135898,114,2944,2422,1079,54422,F
989053697,1,1,200,114,963,2422,2145,54723,T
717737822,1099,121,27475,114,670,484,1766,54601,T
449368399,207,1,24219,114,1827,1938,1947,54421,T
905466937,1919,281,378043,114,646,969,2122,54883,T
459308869,1167,157,256740,114,602,484,2115,55055,T
932439620,1756,259,307300,114,1358,1938,2540,54828,T
694732574,142,1,34506,114,602,2422,935,54710,T
253353801,1052,105,258792,114,3533,1453,1234,54488,T
873668463,13,3,1755,114,803,2422,1904,54788,T
124277506,1760,250,44000,114,1709,484,2385,54756,T
014650512,969,161,178296,114,2208,1938,1053,54666,F
448718661,112,26,13664,114,10600,1938,1905,54648,T
993980408,936,106,97344,114,1127,484,1775,54754,T
134824310,1936,234,478192,114,779,1938,1656,54868,T
342557641,905,140,125795,114,1232,2422,1956,54838,F
156529847,1101,157,96888,114,913,1453,953,55158,T
411299731,1018,143,191384,114,946,2422,2331,54634,F
722619859,1046,106,201878,114,2038,1938,2328,54558,F
035229216,1846,297,119990,114,8833,1938,2138,55077,T
339885885,80,16,11600,114,2120,2422,2086,55236,T
905047060,1095,100,248565,114,609,969,1170,54833,T
555399558,225,48,24975,114,8833,1938,1186,54755,T
073220247,1844,268,208372,114,913,969,1623,54509,T
527967915,1131,92,190008,114,1081,1938,1782,54378,F
220123202,968,96,99704,114,929,969,1824,54399,T
498016850,1183,152,111202,114,546,1453,1819,55096,T
196448887,1928,283,90616,114,3533,2422,1778,54447,F
562328110,1043,116,219030,114,1152,484,2852,54365,T
687640948,921,95,206304,114,697,2422,2581,54762,F
268634463,1048,161,262000,114,616,2422,1828,54847,F
767587582,1884,278,331584,114,1558,484,2166,54850,T
098526077,1897,253,223846,114,563,484,2296,55135,T
113136772,975,121,141375,114,552,484,2027,54922,T
417519215,4,14,792,114,646,969,2048,54715,T
492307586,189,24,8127,114,803,2422,1479,54346,T
395802555,1039,126,122602,114,654,2422,2042,55077,F
511687696,1005,109,218085,114,1358,1453,2819,54821,T
967620722,1798,282,267902,114,1892,2422,1277,54556,F
143417543,14,30,140,114,609,2422,1859,54520,T
148005730,1929,256,208332,114,1060,969,1794,54951,T
818623560,185,25,10545,114,1261,484,1543,54415,T
