userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
993558560,1917,256,65178,114,552,1938,2138,55062,T
180889880,1070,97,97370,114,108,1938,1907,55208,F
677622302,1024,107,95232,114,192,1453,1570,54521,T
054188254,1105,148,89505,114,130,1938,1767,54518,F
543615629,980,149,22540,114,229,2422,2433,54849,F
280855787,1724,266,153436,114,130,969,2193,55220,T
120667783,49,1,2156,114,557,484,1766,54477,T
045614826,999,122,95904,114,2789,2422,1751,55168,F
954563561,44,19,4048,114,481,969,2121,54666,T
272284199,1072,119,66464,114,267,1938,2558,54306,F
384968312,1809,231,47034,114,2038,1938,1466,54470,T
176486208,1020,137,84660,114,242,2422,2067,54966,F
498584093,1843,300,92150,114,276,2422,1671,54984,F
629123463,1004,115,92368,114,294,1453,1622,54598,T
419873892,12,41,312,114,154,484,1451,54744,T
042066004,1936,286,193600,114,563,2422,2330,55161,F
552864686,1067,91,44814,114,1432,2422,2587,54922,F
978882090,944,119,79296,114,120,969,1492,54279,T
547983335,1892,293,168388,114,140,1938,1652,54265,T
110323430,1170,99,104130,114,321,2422,2850,54659,F
405650837,1016,135,97536,114,204,1938,2726,54947,F
217670710,1911,239,141414,114,424,969,2076,54759,T
304095122,1910,252,181450,114,348,2422,2269,55115,F
738259562,1100,128,36300,114,136,969,2553,54548,T
827006055,952,127,54264,114,299,2422,1793,54416,F
416427851,30,50,1110,114,107,1453,1568,54809,T
579570218,1123,160,92086,114,256,2422,2207,55118,F
193603366,162,41,12312,114,4076,2422,2379,54924,T
520514197,1087,120,32610,114,212,484,1208,54592,T
848590657,1177,93,71797,114,170,2422,1416,55123,F
738933848,186,1,10416,114,210,1938,1359,55181,T
820949312,1808,277,50624,114,116,2422,2273,54431,F
125078264,1775,233,81650,114,158,1453,1020,55016,T
953677272,1958,272,195800,114,117,2422,2821,54672,F
632679005,1123,140,101070,114,5300,484,1030,55062,T
531581177,975,130,41925,114,140,2422,1988,54540,F
480485848,1791,301,179100,114,981,1938,1996,54736,T
590954003,1159,152,60268,114,236,2422,1499,54481,F
165593916,6,19,540,114,868,1938,1953,54880,T
419857630,1763,233,126936,114,1292,2422,2347,54749,F
250325973,1185,135,118500,114,469,1938,2343,54684,F
327318507,1193,118,90668,114,110,969,2560,54585,T
614034191,1738,281,172062,114,321,1453,2373,54514,T
847075486,1666,235,94962,114,133,2422,2314,55084,F
516753763,1819,232,67303,114,7571,1453,1808,54422,T
651222811,1916,274,72808,114,157,2422,1911,54834,F
095229112,218,49,21146,114,1394,1453,2233,54950,T
669492736,1674,269,117180,114,169,2422,2065,55199,F
984384398,930,128,24180,114,142,1938,1702,54311,F
432871692,210,50,6930,114,2038,1938,2050,55235,T
852719332,1024,125,23552,114,121,2422,1727,54496,F
242952887,99,11,6039,114,546,484,2121,54348,T
318935783,1667,239,150030,114,134,2422,2179,55163,F
758641077,20,37,1500,114,5888,2422,1923,54815,T
409288892,1035,101,26910,114,112,969,921,54691,T
876629612,1803,275,178497,114,195,2422,2503,54732,F
391596936,958,97,93884,114,301,2422,1333,54919,F
115748633,1166,123,85118,114,208,484,1221,54267,T
475374552,1755,241,80730,114,319,1453,2340,55039,T
576594029,981,133,40221,114,427,2422,1647,55020,F
212480834,1902,274,81786,114,284,1453,1312,54855,T
680687930,931,128,29792,114,125,2422,2640,54999,F
011992591,1865,276,119360,114,114,969,1914,54631,T
977961693,1784,252,83848,114,315,2422,1356,55087,F
501464472,1917,265,122688,114,110,2422,1940,54908,F
977533923,160,11,10080,114,158,1453,2296,54466,T
899535161,1935,272,174150,114,115,484,2607,54599,T
005434340,1080,92,25920,114,106,2422,2334,54913,F
384469340,163,16,6683,114,116,484,2194,54270,T
243229575,1783,259,153338,114,172,2422,1876,54916,F
897972406,6,9,432,114,116,2422,2409,54514,T
451723011,1154,125,79626,114,106,1938,2294,54864,F
501222673,1165,102,68735,114,147,1453,1895,54683,T
391284024,1063,91,21260,114,211,1938,1393,54975,F
554367628,945,129,24570,114,244,1453,2307,54463,T
527545170,1782,283,67716,114,278,2422,2295,54589,F
370925236,153,17,6732,114,116,484,1632,54807,T
068735202,1025,134,34850,114,121,1938,1394,54425,F
760730995,4,47,372,114,117,484,1628,54635,T
634414591,1075,100,49450,114,138,1938,2360,55205,F
422237039,1171,157,66747,114,170,2422,1701,54838,F
879401405,141,32,6345,114,177,1938,2217,55038,T
710236897,1767,274,88350,114,167,484,2361,54624,T
621396787,1104,156,92736,114,242,2422,2225,54907,F
197705752,1023,110,84909,114,184,2422,1851,55116,F
457901311,1778,282,53340,114,3312,969,2860,54951,T
285693984,70,32,6230,114,1019,1453,2544,54392,T
266753154,1006,119,36216,114,7571,1938,2674,54666,F
602602132,1714,273,82272,114,108,484,2159,54775,T
167206308,1694,282,130438,114,154,2422,1668,54832,F
085071476,100,26,6300,114,509,969,1053,54825,T
967319919,1193,136,54878,114,127,1938,1777,54642,F
578891751,1871,242,159035,114,154,2422,1702,54894,F
972305475,1791,263,69849,114,1514,1453,1237,55263,T
131668110,104,1,4992,114,165,2422,1471,54572,T
822309024,1955,242,113390,114,167,2422,1083,55178,F
409143588,25,11,1800,114,286,2422,1951,54582,T
219749357,1951,280,191198,114,109,2422,2262,54725,F
637503267,187,26,13277,114,132,484,2812,55058,T
996719558,1678,297,119138,114,1558,2422,1655,55231,F
