userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
689925736,1795,206,423620,55,144,566,2528,15125,T
434129447,2016,231,262080,55,158,850,4864,15209,T
894801150,1872,227,344448,55,331,283,3546,15030,T
530441890,1530,205,290700,55,994,566,3846,14976,T
155633264,2100,427,233100,55,376,566,4355,15605,T
090954385,62,2,11098,55,289,1417,4118,15029,F
709059052,561,80,131274,55,253,850,3442,15167,T
374118953,784,125,25088,55,695,566,4679,15006,T
876902875,468,58,111384,55,579,1133,2261,14946,T
924986727,782,109,60214,55,183,283,2384,15277,T
788316023,1866,378,410520,55,152,850,4899,15717,T
314752372,816,107,42432,55,605,1417,4493,15094,F
571194197,1964,238,392800,55,231,1133,4530,15432,T
299730697,158,14,6952,55,148,850,5484,15491,T
519750966,257,19,54998,55,695,1417,3216,15552,F
619230811,1846,203,300898,55,220,1133,3816,15501,T
256789450,156,27,36972,55,142,283,3481,15096,T
560603814,902,122,16236,55,214,1417,4998,15731,F
894454407,973,108,32109,55,178,283,2230,15614,T
247153153,407,79,85470,55,1988,1417,4058,15759,T
979067630,1004,111,19076,55,773,283,3786,15301,T
763468501,889,109,213360,55,169,1133,3777,15464,F
031639771,707,134,147056,55,1546,566,5403,15806,T
952565237,34,25,4284,55,196,566,2696,15335,T
301561663,948,123,159264,55,1265,283,2473,14940,T
120431118,1996,231,461076,55,869,566,5318,14890,T
979838770,1479,258,307632,55,463,1133,5385,15389,F
968066282,39,3,4836,55,994,283,5352,15708,T
431623562,842,112,106934,55,165,1417,3836,15498,F
917636669,1489,217,284399,55,154,566,4875,15641,F
496515497,208,16,26000,55,178,283,4607,15742,T
754620751,706,113,52950,55,869,1133,2669,14951,F
828364301,1584,214,166320,55,1070,566,5152,15459,F
734994757,754,94,88972,55,193,566,2838,15499,T
490137990,1988,425,79520,55,289,1133,2564,15502,T
365620747,1655,217,253215,55,231,850,3256,15309,F
780355754,789,153,191727,55,257,1133,4037,15038,F
117441229,46,8,7268,55,289,1417,4182,15456,F
136726116,13,19,533,55,173,1133,4517,15300,T
568657912,767,140,19175,55,214,850,2738,14981,T
302273948,1955,434,263925,55,235,1417,5482,15517,T
136059204,2097,374,161469,55,201,566,4662,15443,T
312612975,54,56,2268,55,323,850,5353,15423,T
033102997,1879,400,248028,55,207,566,2432,15600,T
690082108,777,115,191919,55,183,566,5418,14938,T
088515630,1993,405,312901,55,207,850,2699,15005,T
616615094,1663,214,320959,55,204,283,2249,15837,F
171267488,957,152,180873,55,1070,1133,2778,15131,F
033599087,2070,433,372600,55,188,566,4219,14913,T
719996149,1959,420,111663,55,231,566,5310,15656,T
491646819,2106,430,277992,55,244,850,4866,14911,T
399534747,1842,420,114204,55,204,850,5487,15243,T
581627233,1715,250,258965,55,632,1133,4153,15447,F
851473381,1850,245,233100,55,818,1133,2473,15629,T
370634168,113,1,18080,55,198,566,3368,15410,T
287873001,1613,252,277436,55,2783,283,4870,14924,F
474756618,1893,401,121152,55,267,566,5002,15809,T
862353075,1977,400,257010,55,167,566,3149,15490,T
859481775,469,50,108339,55,193,566,3727,15715,T
111124712,1769,244,288347,55,2319,1417,4719,15791,F
101073541,1700,208,346800,55,323,850,5247,15798,F
307652343,385,35,87780,55,267,1133,2937,15570,T
158834149,1852,369,200016,55,152,566,4738,15592,T
528743034,770,128,104720,55,139,1133,2974,14833,F
516553039,1614,269,398658,55,556,566,4485,15097,F
730256645,1881,229,410058,55,257,1133,4143,14978,T
743457823,886,98,30124,55,386,1417,4994,14850,F
111839382,1832,194,307776,55,732,1133,5030,15306,T
252629352,938,95,60032,55,1070,566,4801,14860,T
746767243,426,76,98406,55,217,1417,4951,15119,T
581041469,2015,401,288145,55,339,566,3511,15684,T
697818047,1847,408,145913,55,154,1417,4773,15585,T
