userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
030629349,118,1,2478,55,28,566,3718,15553,T
881465742,801,94,32040,55,42,1133,4499,15506,F
686060105,138,42,8004,55,35,566,5512,15384,T
569002957,805,118,44275,55,36,1417,2751,15386,F
959544946,198,56,7326,55,49,1417,3045,15275,F
251875164,777,127,16317,55,51,283,4357,15360,T
817981741,916,162,71448,55,64,850,2660,15759,T
234500480,101,1,5656,55,75,1417,4091,15032,F
638290583,1899,430,72162,55,54,566,5038,15691,T
202503716,33,31,1155,55,109,1417,4604,15066,F
795680858,753,144,62499,55,40,1417,4327,15322,F
372169574,20,20,1480,55,74,566,4308,15648,T
007943294,2069,433,82760,55,121,1133,3533,14884,T
008135114,724,97,23892,55,40,1133,4338,14983,F
342881972,2108,404,183396,55,30,850,5476,15632,T
102997900,1001,145,91091,55,29,1133,4029,15639,F
465140453,852,129,84348,55,40,1133,2536,15298,F
983585507,2072,426,60088,55,31,1417,2714,15682,T
271569206,1886,366,67896,55,33,1133,5036,14834,T
339766042,13,1,1157,55,54,1417,3991,15002,F
347525511,861,139,83517,55,46,850,2311,15808,T
713458189,721,125,23793,55,30,1417,3547,15452,F
542502777,1590,216,154230,55,46,1133,5384,15194,F
128741574,1913,436,151127,55,152,1417,3457,15110,T
576003157,1841,378,156485,55,54,566,3443,15524,T
502818428,1567,219,156700,55,556,283,3714,15416,F
081304637,98,1,4116,55,42,850,4245,15114,T
610461953,907,109,35373,55,42,1133,4543,15151,F
179805074,981,159,78480,55,217,850,5007,15438,T
003479705,89,31,2759,55,366,1417,4078,15608,F
431161938,2127,368,55302,55,183,1417,2963,15690,T
117791449,93,19,8370,55,63,1417,2905,14937,F
516648883,1856,367,90944,55,156,283,3175,15025,T
967118071,920,133,47840,55,37,1133,2642,15532,F
387374483,134,22,10050,55,178,850,4187,15558,T
246327044,938,148,69412,55,113,1133,4359,14959,F
871352691,193,21,16791,55,41,283,4260,14832,T
250793498,899,119,45849,55,46,1133,5400,15606,F
043799037,790,135,50560,55,159,283,4654,15131,T
038157427,88,19,5456,55,78,1417,3954,15551,F
320014749,2026,395,74962,55,28,566,5424,15149,T
309908461,41,1,1640,55,72,1417,2247,15535,F
500193597,64,46,3136,55,98,1417,3948,15668,F
187246781,201,1,13668,55,82,1133,5166,15413,T
107298376,1847,401,44328,55,38,566,2731,15180,T
739466747,799,105,39950,55,43,1417,2389,14893,F
464509129,1894,402,45456,55,91,1133,2223,15226,T
558293890,242,1,23716,55,31,1417,3181,15632,F
993010009,820,101,18040,55,1739,566,2287,15795,T
422526959,918,156,61506,55,65,1133,2388,15597,F
154237994,246,25,5658,55,31,1133,4813,15720,T
696857071,878,148,79020,55,51,1417,5190,15024,F
057208116,116,1,8700,55,103,283,5522,14967,T
635858681,739,111,46557,55,52,1133,2452,15135,F
926727147,178,44,10502,55,39,283,4314,15152,T
071263290,799,94,48739,55,632,1133,4304,15634,F
072847668,772,164,17756,55,201,566,2463,14877,T
006809482,255,18,16065,55,31,1417,5267,15628,F
040533571,989,127,34615,55,76,566,5296,15588,T
630319862,760,161,76000,55,31,1417,4525,15154,F
548641570,20,45,600,55,61,1417,4294,15250,F
366685729,2082,375,204036,55,173,283,2342,15736,T
535764464,896,135,73472,55,35,1417,2874,15819,F
474206673,1913,394,122432,55,32,850,2963,15043,T
614670668,11,1,935,55,30,283,5004,14906,T
211106592,13,46,637,55,45,1417,5403,15827,F
029178747,898,105,69146,55,171,566,3977,15007,T
951190555,814,106,34188,55,66,1133,4033,14832,F
806976618,133,30,7049,55,58,850,4590,14984,T
163735200,714,108,19992,55,48,1417,5026,14870,F
158134826,217,24,14539,55,50,1417,4813,15140,F
885002200,2027,394,143917,55,37,566,5221,15403,T
733224313,1833,422,168636,55,257,1417,4266,15278,T
898995766,134,45,4556,55,463,1417,4799,15057,F
842819464,999,152,96903,55,40,566,5320,14891,T
252302280,908,128,31780,55,47,1417,4765,15198,F
874860340,764,161,44312,55,87,850,3811,15620,T
104422965,924,152,22176,55,48,1133,4719,15539,F
022710142,63,1,2961,55,35,566,2724,15547,T
218433601,205,27,7175,55,95,1417,4518,15187,F
032671717,1929,434,98379,55,43,283,5448,15480,T
617372360,898,164,39512,55,59,1133,2944,15826,F
045218001,1990,372,119400,55,55,566,3081,15813,T
177880467,259,31,16576,55,43,1417,4245,15151,F
581330134,130,32,10140,55,231,850,5094,15284,T
652832989,826,150,47082,55,42,1417,4748,15476,F
156471245,1870,412,80410,55,61,283,5221,15385,T
577786673,225,12,16200,55,31,1417,4565,15733,F
976829575,30,5,2130,55,77,850,4046,15799,T
438876492,981,129,98100,55,91,1417,4928,15811,F
675223319,96,37,9024,55,30,1417,3207,15167,F
724333497,2124,425,106200,55,75,850,4557,15682,T
583013100,1842,428,176832,55,74,566,4145,15294,T
817092563,763,106,29757,55,51,1133,2827,15410,F
912231980,1963,407,174707,55,77,1417,5204,15275,T
346327928,1583,231,158300,55,163,566,4592,14905,F
585735679,36,3,3528,55,103,850,5118,15099,T
535602623,861,126,46494,55,220,1133,3256,15334,F
857969480,857,146,43707,55,49,283,2311,14973,T
007143931,263,1,23670,55,34,1417,4861,15293,F
