userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
254378511,989,211,83076,711,11517,713,1076,252843,T
267545740,567,89,62937,711,4031,356,1860,253543,T
171663286,5,20,835,711,14227,356,735,253188,T
773374264,794,125,42082,711,5039,356,1727,252806,T
398670000,144,59,34128,711,5899,1783,1355,252753,T
923811709,1271,101,188108,711,5625,356,1839,252885,T
734324143,67,1,4891,711,4031,1426,1019,253581,T
273580521,982,128,27496,711,2468,1426,2008,253433,F
527808980,1273,220,98021,711,3268,1426,1308,253058,T
869227086,890,107,130830,711,2949,713,2053,253212,T
620266418,1014,179,55770,711,4099,356,1414,252965,T
032981260,1058,113,75118,711,2468,1069,1192,253551,T
368867134,242,47,39688,711,3406,713,707,252908,T
942497327,170,54,24650,711,6046,1426,882,252906,T
261416317,7,1,273,711,5146,1783,1440,253154,F
568574924,305,28,40260,711,3556,1783,1149,253390,T
887019391,1138,180,269706,711,3023,1426,2123,253578,T
043358761,1299,110,233820,711,9675,1426,1782,252746,T
491674046,126,33,6552,711,4319,356,2261,252790,T
410845151,538,50,48420,711,2748,1069,1972,252962,T
619298427,20,1,2640,711,5375,1069,1389,253050,T
996304064,1598,191,381922,711,24187,356,1594,253529,T
968497732,1019,139,178325,711,2546,1783,2406,253552,F
524587138,1030,169,186430,711,3721,1426,1558,252877,T
820531120,1172,124,255496,711,3406,713,1893,252968,T
907529726,263,93,28404,711,3721,356,1163,252972,T
713075796,298,53,51554,711,2657,1426,2280,253319,T
546344974,581,101,70301,711,3100,1426,1967,253374,T
888540788,82,1,5904,711,4243,1069,2031,253399,T
019616660,426,62,9798,711,10516,1783,1489,253465,T
623444526,1241,135,192355,711,4099,1069,2396,253549,T
626236777,228,39,3648,711,3100,356,1769,253043,T
320094249,1611,240,288369,711,7802,1783,998,252845,F
219011271,1517,244,259407,711,2845,1783,1647,253008,F
859407496,782,139,93058,711,8340,1069,1695,253071,T
306947440,1623,223,81150,711,3556,356,725,252837,T
295192309,982,167,19640,711,5758,1069,780,252803,T
498293160,1760,203,408320,711,2687,713,1157,252785,T
226228478,1080,222,171720,711,2748,356,1683,252732,T
565151175,1096,227,38360,711,13437,356,1676,253659,T
