userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
438491802,1216,140,54720,711,1982,356,2131,253194,T
279546777,918,137,35802,711,892,1783,2409,253660,F
709693165,846,128,18612,711,2986,1069,1711,253465,T
716722098,111,1,4884,711,782,1783,1610,252865,F
534145736,82,11,2132,711,1321,1426,1822,253027,T
657004428,57,1,2052,711,495,1783,1068,252954,F
687573996,954,141,82044,711,4397,713,2417,252979,T
403025492,541,62,34083,711,1286,1783,1091,253459,F
979355303,1218,164,57246,711,1846,713,1399,252950,T
696690872,1471,182,138274,711,1703,1783,1623,253643,F
361529025,315,57,17640,711,3901,713,684,252871,T
660487875,1649,188,133569,711,1293,1783,1585,253609,F
672372704,1262,229,54266,711,1390,356,1859,253661,T
168477044,1513,241,133144,711,544,1783,2016,253237,F
309051639,50,1,5000,711,909,713,668,253243,T
071025920,618,95,48822,711,6201,1783,2379,253384,F
622646887,1099,132,36267,711,753,1069,891,253478,T
506657168,874,137,32338,711,533,1783,1455,253248,F
820201128,1258,110,66674,711,20156,1426,1910,253175,T
320354373,1634,205,60458,711,1715,1783,1814,252813,F
069537750,1271,197,30504,711,532,356,1488,253613,T
455427673,1590,176,122430,711,3359,1783,1026,252774,F
346493748,1504,199,133856,711,870,1426,1253,253183,T
151063746,672,98,58464,711,585,1783,2035,253610,F
455338222,1025,167,96350,711,659,713,1128,253194,T
410932016,8,13,328,711,814,1783,1995,252923,F
675691748,54,19,1512,711,780,1069,997,252928,T
554833870,18,31,738,711,556,1783,820,253330,F
902551582,1552,213,38800,711,1020,1783,1382,253383,F
774722330,984,175,88560,711,1056,1426,1656,253236,T
863607330,701,111,25236,711,575,713,1871,253198,T
248676501,1527,245,152700,711,2717,1783,2096,252691,F
764530070,413,102,14042,711,1191,1426,2350,252759,T
999258533,788,64,44916,711,1109,1783,1819,252810,F
903334432,856,191,71048,711,4397,1426,1981,253475,T
473607676,12,19,816,711,521,1783,1591,253014,F
348607521,1083,223,66063,711,20156,1069,1969,253068,T
089642167,837,190,40176,711,570,1783,1320,253009,F
362191071,902,171,54120,711,1197,356,1899,252677,T
630881804,743,53,69099,711,646,1783,1216,252939,F
163453448,254,49,15494,711,933,1069,726,253151,T
847942089,939,127,53523,711,1328,1783,1971,253245,F
401316039,1268,128,98904,711,687,1783,1588,253432,T
099105962,1619,182,67998,711,1343,1783,1244,253536,F
475679034,10,1,850,711,612,713,1061,253087,T
844247902,1570,200,100480,711,643,1783,1391,252868,F
545009260,843,157,69126,711,513,1426,1167,252979,T
313083811,781,91,42174,711,1038,1783,2139,253228,F
990231761,156,35,4524,711,758,1426,1981,253056,T
130719025,1661,225,132880,711,519,1783,1733,253522,F
661435275,202,53,7878,711,2546,1783,1568,252973,T
598995255,2,31,76,711,1846,1783,1384,252848,F
839790093,11,5,726,711,1084,1426,1464,253618,T
910862794,2,1,192,711,1382,1783,861,253153,F
575886681,1625,209,118625,711,1889,713,682,253038,T
757234581,1753,191,103427,711,1075,1783,1717,252953,F
916414744,1220,219,26840,711,851,1069,1344,253319,T
721693874,549,108,48861,711,746,1783,1427,253532,F
791461924,1194,228,83580,711,499,713,2388,252890,T
293899456,748,57,34408,711,4563,1783,1357,253158,F
539257765,170,40,6800,711,817,356,1684,253018,T
200614060,980,118,43120,711,26875,1783,1740,253029,F
660561036,1741,199,36561,711,575,1069,1536,252880,T
082940674,1512,204,127008,711,1570,1783,1698,253507,F
298239271,614,56,16578,711,13437,356,1449,253304,T
658915280,586,114,15822,711,2239,1783,972,253012,F
163683528,250,89,14000,711,2281,356,924,253260,T
632524058,1604,232,141152,711,760,1783,1324,252738,F
706130176,120,1,9840,711,6910,713,1444,253446,T
819260698,1632,246,130560,711,1679,1783,1825,253338,F
860000925,731,103,59211,711,748,1783,1680,252847,F
365780496,829,131,50569,711,933,713,1725,253246,T
151296647,338,62,25350,711,670,1426,1997,252874,T
640269888,775,143,42625,711,591,1783,1908,253056,F
084417379,1763,206,121647,711,836,1426,1268,252916,T
700337687,914,144,35646,711,3182,1783,1561,253435,F
282489689,884,122,47736,711,543,713,1505,253130,T
094427603,1016,125,92456,711,1465,1426,1890,252828,F
913447497,1053,137,92664,711,623,1783,1144,252828,F
379558876,1162,135,77854,711,512,356,2306,253650,T
858664326,1643,204,32860,711,2049,1783,1044,253614,F
238059035,1257,137,72906,711,4563,713,1400,252822,T
084276325,1494,234,100098,711,662,1783,1593,253604,F
908640919,900,109,44100,711,885,713,1906,253048,T
806657696,1190,144,94010,711,1398,1069,1874,253062,T
189773749,16,1,512,711,1328,1783,1544,252916,F
653259207,553,76,32074,711,1601,1426,1901,253473,T
281872605,820,51,61500,711,902,1783,1836,253567,F
032362731,1685,176,153335,711,4936,1069,872,253187,T
884113461,1010,150,40400,711,502,1783,762,252863,F
680840136,358,52,9666,711,995,356,2146,253310,T
664287428,31,29,2077,711,916,1783,1822,253024,F
201328535,331,29,17543,711,2443,356,2115,253373,T
322029026,757,89,74186,711,1070,1783,1308,252801,F
903650581,619,62,40235,711,655,356,1880,253317,T
231481710,1654,235,109164,711,3268,1783,1744,253251,F
222354526,577,65,32312,711,625,713,1196,253309,T
011134187,1525,198,82350,711,668,1783,912,253382,F
665341759,978,125,68460,711,634,1426,2237,253128,F
591710838,1,36,25,711,18605,713,813,252661,T
