userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
117212601,2053,282,404441,132,630,1920,4449,63521,F
419402208,953,110,220143,132,724,2400,2618,63318,T
514745215,964,114,157132,132,992,480,4741,63128,T
808451413,1975,300,142200,132,974,960,2445,62733,T
866762729,1794,271,127374,132,576,1440,3026,63392,T
336615346,860,76,210700,132,1246,480,2849,63300,T
148619109,191,34,14516,132,754,480,3770,62673,T
063235483,1845,307,51660,132,7654,960,4758,62804,T
361538782,2041,263,226551,132,546,480,2830,63284,T
727387787,713,117,82708,132,3827,1440,3527,63562,T
256341971,192,64,2496,132,2329,480,2238,63179,T
188810584,194,63,14744,132,837,480,3864,63023,T
029440952,526,98,98362,132,765,480,4092,62680,T
605672367,757,71,72672,132,595,480,4364,63643,T
801500971,843,69,156798,132,630,480,3633,63122,T
965968752,596,82,110856,132,1275,1440,3230,62672,T
149975220,531,137,124254,132,864,1440,2682,63129,T
529883130,308,48,64064,132,637,960,3608,62767,T
931843866,865,124,164350,132,1093,960,2857,62863,T
306712550,194,33,39188,132,1623,960,4620,63078,T
219002283,471,46,73005,132,850,1440,2553,62726,T
597317313,648,64,22032,132,705,2400,3159,63033,T
722010050,752,55,120320,132,1071,1920,3180,62802,T
962752987,414,51,43056,132,8930,960,2187,62959,T
912589168,1921,262,284308,132,908,1920,4546,62942,F
664607895,876,134,188340,132,724,1440,2898,63228,T
366530981,797,165,126723,132,992,960,3086,63448,T
479228461,776,155,145112,132,2232,2400,2392,63235,T
270887527,317,22,43746,132,1116,480,3328,63049,T
175763410,1868,296,429640,132,1913,1440,3333,63418,T
400412021,239,85,16969,132,4871,960,3767,62747,T
721216651,314,68,18840,132,2435,1440,2707,63132,T
716425234,688,60,135536,132,623,1920,2965,63185,T
856059206,585,99,77805,132,788,960,2453,63609,T
322632625,396,83,29304,132,5953,1440,4145,63565,T
467348483,2023,247,364140,132,2143,2400,4709,63338,F
397619061,603,79,64521,132,734,480,3432,62836,T
589692934,2020,265,341380,132,824,1440,2324,63466,T
585095084,926,128,215758,132,923,480,3157,63094,T
040751378,1059,120,246747,132,595,960,2727,63107,T
899539324,1921,310,253572,132,724,2400,2195,63098,F
375358219,1913,254,443816,132,776,1440,2703,63380,T
122097816,294,59,68502,132,1190,1920,2841,63466,T
793595107,246,28,14514,132,2976,1920,1888,62812,T
538322980,488,149,119072,132,1190,1920,2146,63350,F
870036369,926,97,185200,132,541,960,3321,63273,T
664956985,279,72,18693,132,2232,960,4712,62825,T
220023239,372,61,45012,132,811,1920,4053,62946,T
396682915,703,114,163799,132,1984,2400,2934,63298,T
682900730,207,50,42228,132,864,1920,3608,63372,T
131354535,635,118,64135,132,615,2400,3545,63109,T
495198667,448,150,109760,132,1116,480,2389,63561,T
378953317,749,96,107856,132,623,1440,3821,63445,T
668713010,315,19,57645,132,3349,1920,1922,63584,T
723896471,1808,263,430304,132,570,1920,3150,63331,F
645066225,661,136,116997,132,974,480,3570,63247,T
250459663,1059,88,225567,132,1786,2400,3098,63403,T
279398199,445,57,84105,132,7654,2400,1948,63385,F
996317273,564,107,74448,132,2232,480,3684,63639,T
084457862,420,23,25620,132,724,2400,3136,62776,F
516560429,762,70,119634,132,2232,480,2854,62846,T
807384531,395,29,55695,132,754,1440,2363,62706,T
105385020,252,36,29232,132,602,960,2874,63120,T
496868212,761,87,114150,132,940,1920,2963,63214,T
257558042,661,102,32389,132,541,2400,3340,63635,T
644744357,1881,294,398772,132,1093,960,2849,63114,T
652132135,490,118,76930,132,678,960,4632,63134,T
987842515,1930,278,426530,132,588,480,4497,62716,T
478666239,793,63,91988,132,653,1920,3816,63100,T
546207742,745,117,133355,132,8930,960,4710,63341,T
961069532,1961,276,194139,132,1246,480,2715,62909,T
736401612,333,35,11988,132,570,960,2335,63427,T
152558333,831,102,93072,132,776,960,2879,63044,T
414041629,221,84,41327,132,10716,2400,3271,63636,F
555417915,513,102,103626,132,1576,1440,2705,62918,T
305737432,236,53,34928,132,1140,1440,2540,63444,T
810310180,1022,106,190092,132,1576,960,4149,63195,T
094104861,679,123,98455,132,1530,1440,3574,62943,T
315532462,381,87,57912,132,2435,2400,2933,63455,F
731585619,791,91,73563,132,1448,1440,4557,63438,T
501501755,620,113,143840,132,608,960,3783,63330,T
547491537,1992,308,165336,132,1030,2400,3182,63556,F
836824351,893,69,189316,132,2435,480,3042,62711,T
516412351,1961,296,41181,132,8930,2400,4712,62770,F
375384350,690,147,126960,132,734,1920,3453,63483,T
850994856,979,124,243771,132,686,480,3056,62713,T
947698891,1012,85,153824,132,1623,2400,2640,63644,T
308195977,1048,95,160344,132,8930,2400,3438,63378,T
960337154,1869,279,368193,132,2976,2400,4551,63036,F
538788226,726,69,141570,132,1373,960,4515,63628,T
223912555,598,101,123786,132,1306,480,2356,63028,T
304529738,694,75,114510,132,4465,1440,4814,62959,T
555231128,563,100,15201,132,1306,2400,3813,62955,T
529671977,744,164,118296,132,3572,2400,2595,63141,T
413426272,842,71,32838,132,637,960,2513,63622,T
575668732,213,53,21726,132,837,2400,4661,62946,F
951844771,515,128,107120,132,3152,960,4399,62932,T
530816222,449,69,82167,132,1140,480,2450,63632,T
600474234,1980,297,93060,132,1373,960,3035,62966,T
112961280,611,56,88595,132,811,2400,3873,62716,T
559013626,275,51,67100,132,546,1920,3670,63131,T
475751657,1988,298,357840,132,582,1440,4357,63384,T
927238739,206,70,20600,132,588,1440,4274,63600,T
115876891,1907,261,45768,132,799,480,3074,63013,T
243595770,927,131,209502,132,850,2400,3016,63117,T
308457827,559,57,114036,132,878,2400,2642,63315,T
650714798,1771,260,131054,132,602,480,3417,62951,T
355103016,667,64,127397,132,558,1920,4332,63430,T
232443406,818,158,158692,132,1674,960,4760,63563,T
312565095,1835,302,306445,132,5358,1920,4703,62720,F
590864640,999,87,182817,132,1011,960,3854,63271,T
899084366,1819,312,422008,132,1050,2400,2304,62657,F
786576714,1832,260,333424,132,2329,960,2415,62856,T
500725495,307,87,54646,132,5358,480,2841,62944,T
656452715,668,53,29392,132,595,960,3450,62947,T
082567790,1052,99,187256,132,1913,2400,3516,63205,T
607255247,2032,277,235712,132,1373,2400,3870,63506,F
882997848,1882,302,169380,132,734,480,2104,63090,T
947501203,1938,246,52326,132,615,1440,2636,63465,T
230761697,388,49,22504,132,1488,1440,4475,63465,T
949083369,357,29,27489,132,1190,1920,2004,63596,T
908465895,686,77,149548,132,630,480,2802,63168,T
352519759,565,59,69495,132,1847,1920,2641,63300,T
105990172,655,130,114625,132,992,480,3942,62914,T
292317569,270,83,8100,132,956,1920,2496,63143,T
018656974,843,175,165228,132,837,960,4048,63252,T
901228257,817,122,135622,132,678,2400,2083,62806,T
290906920,279,37,48546,132,637,2400,3035,62827,F
762461370,756,79,50652,132,1674,1440,2563,63643,T
992627182,1919,274,34542,132,1786,2400,4429,62969,F
932060763,828,80,139104,132,799,2400,4642,63386,T
758143733,825,159,157575,132,1530,480,1873,63549,T
945602726,1991,249,161271,132,4871,1920,4404,63136,F
276573813,1970,287,153660,132,1140,1440,4345,63388,T
563223664,1860,262,265980,132,1786,960,1909,63200,T
582413373,792,87,9504,132,765,2400,2213,62937,T
027883894,679,95,24444,132,724,1920,3947,63434,T
858497468,261,55,9396,132,1576,1440,3840,63300,T
640317749,2012,256,376244,132,5953,2400,3767,63011,F
191661184,275,88,46750,132,669,960,2023,63457,T
613124257,522,90,90828,132,6698,480,4260,62898,T
226145369,751,78,43558,132,4465,480,2751,62832,T
384603575,1784,261,324688,132,669,1440,3077,62990,T
655579494,789,96,190938,132,1275,1920,3021,62892,T
898906540,779,132,121524,132,1093,480,2263,62701,T
130233342,631,117,106008,132,1306,480,2910,63373,T
102406225,322,51,39928,132,3349,1920,3330,63288,T
771562253,2051,270,504546,132,2232,2400,2783,63288,F
977739179,223,21,14049,132,4465,1920,4253,63221,T
756387838,459,27,27999,132,2435,1440,3962,63168,T
442267512,1791,294,402975,132,992,960,3579,62990,T
885561546,895,135,204955,132,1116,480,4018,63166,T
286088256,1983,310,327195,132,1093,1440,2306,63630,T
674827717,672,81,127680,132,1623,1920,3552,63071,T
323378684,760,113,95760,132,1786,2400,4182,63007,T
510235950,748,89,29172,132,678,1920,2011,63489,T
944475885,1883,254,120512,132,776,960,2016,63191,T
178793337,718,94,155806,132,878,480,3856,63338,T
522973527,363,73,67518,132,4121,1440,2911,63546,T
392450444,336,81,72912,132,1674,2400,2077,63370,F
344182625,623,148,117747,132,4465,960,3372,63584,T
317263674,697,79,159613,132,661,1920,2369,63191,T
718633837,882,95,184338,132,4121,480,2805,63229,T
381198997,1977,271,310389,132,2329,1440,3274,63403,T
151737383,297,61,41283,132,2329,1920,3770,62702,T
415852567,250,51,15500,132,878,2400,3898,63133,F
792537412,684,111,130644,132,765,1920,3648,63285,F
419005122,1897,315,41734,132,546,960,4525,63197,T
098094392,1992,315,286848,132,2232,480,1900,62644,T
373614061,833,104,51646,132,2060,1920,2815,62863,T
553274912,722,113,104690,132,908,1920,4464,63323,F
031336485,416,34,29952,132,10716,480,2270,62918,T
457640284,911,87,174001,132,1786,1440,4759,63153,T
449062688,752,102,144384,132,1217,2400,3494,62802,T
179687788,242,69,30008,132,893,960,4381,63427,T
491387476,173,33,21798,132,908,2400,2136,62891,F
225585821,467,139,101339,132,788,1440,1914,62904,T
664007659,709,123,133292,132,1071,480,2857,63272,T
569405597,830,166,156040,132,564,1440,2253,62665,T
976392970,353,30,12002,132,2329,960,3075,63315,T
914673336,781,144,128084,132,10716,1920,4278,63547,T
789680176,537,124,119751,132,570,2400,4518,62671,F
476156510,693,59,108108,132,1071,1440,2701,63598,T
994990002,1939,256,381983,132,1275,2400,4204,63151,F
662130499,653,75,88808,132,2060,960,3396,63502,T
793283744,2045,309,325155,132,1488,960,3922,63243,T
076121525,616,92,136752,132,850,1440,4499,63038,T
442510097,639,52,84348,132,2143,1920,2030,63273,T
435757699,757,108,49205,132,1728,960,2043,63515,T
650781642,335,48,79060,132,5953,960,4159,62996,T
557863176,381,38,80010,132,878,1920,2812,62759,T
705531834,1999,270,151924,132,1448,2400,4797,63638,F
