userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
044263576,1875,300,187500,132,121,2400,3006,63601,F
923080825,649,95,29854,132,138,2400,3047,62683,T
743903152,589,68,21793,132,128,2400,2604,62841,T
408546503,2016,288,50400,132,207,1920,3448,62699,F
618116528,746,112,66394,132,6698,2400,3225,63012,T
181857601,1803,274,57696,132,214,2400,3500,63037,F
402563562,364,48,14924,132,120,1920,4814,63411,T
125178576,1767,297,61845,132,150,2400,3934,63230,F
880208272,1800,282,129600,132,256,1920,2679,63611,F
897060053,687,109,65265,132,147,1920,2747,62724,T
518677382,2050,268,51250,132,623,1440,3846,62906,T
914495613,1798,313,176204,132,244,1920,3332,63504,F
804716735,1850,264,38850,132,237,2400,2173,62639,F
605563730,703,105,54834,132,130,480,3555,63563,T
492220155,225,42,8775,132,131,2400,4104,63368,F
651519936,705,102,64860,132,115,480,3985,63506,T
579139309,1784,301,69576,132,432,2400,2794,63129,F
318766351,338,19,27716,132,4465,1440,2708,62987,T
495890626,1911,252,63063,132,122,480,2604,63406,T
274357513,1993,247,51818,132,112,1920,3350,62910,F
406116149,348,38,8700,132,1116,1920,4752,62924,T
974267436,1893,313,164691,132,1674,2400,2068,63272,F
758604978,1998,272,143856,132,564,960,4753,63193,T
368055751,259,69,16058,132,176,2400,2246,62645,F
769434861,820,98,45920,132,160,1440,4018,63573,T
068397278,234,54,15444,132,3572,2400,2938,63545,F
325257711,220,65,14740,132,140,480,3692,63052,T
268144936,1920,253,90240,132,399,2400,4659,62875,F
721064875,282,48,13818,132,195,480,3831,63425,T
039209859,185,78,3700,132,144,2400,4344,63632,F
857179958,758,120,70494,132,595,960,2567,62849,T
559954852,1999,280,109945,132,127,1920,2112,62736,F
426308129,405,20,20655,132,175,1920,2420,62694,T
932414534,1848,271,96096,132,10716,2400,4121,62896,F
952903051,824,96,18128,132,124,480,3912,63236,T
668201946,1847,306,184700,132,145,2400,2589,63294,F
729309132,1910,296,166170,132,3827,960,2937,62784,T
378698887,1854,271,118656,132,168,2400,3674,63216,F
185032267,1879,269,116498,132,244,2400,3850,63633,F
042583248,569,57,54055,132,354,2400,2935,63588,T
738906870,400,47,32000,132,117,1440,2880,62932,T
501776385,394,26,24428,132,350,2400,4665,63046,F
165295925,1888,258,109504,132,206,480,2898,62929,T
241183573,1887,299,164169,132,149,1920,4546,63046,F
801698207,571,108,25124,132,209,1440,3774,63242,T
029878777,2021,281,177848,132,130,1920,3842,62875,F
457591083,1892,291,100276,132,138,1920,3978,63542,F
777033101,630,80,15750,132,187,960,4586,63518,T
270400091,260,62,21320,132,520,960,3876,62723,T
033788339,1984,247,158720,132,112,2400,4096,63094,F
812753194,1994,306,73778,132,172,960,3088,63022,T
441398641,1791,278,164772,132,178,1920,2808,62864,F
784492688,1800,276,93600,132,1623,480,4220,63154,T
026403277,213,46,17679,132,265,2400,2221,63407,F
932520159,1941,262,194100,132,121,1440,4152,62683,T
356094494,425,26,33575,132,166,2400,4507,63130,F
288789057,733,71,32252,132,126,1440,2533,63599,T
610690600,455,39,45500,132,109,2400,3015,63543,F
992819039,693,106,40194,132,576,1440,2428,62837,T
997273962,1879,263,54491,132,505,2400,3167,63454,F
516875860,632,113,51192,132,139,1440,3242,63189,T
134592425,1797,277,43128,132,224,2400,2872,63305,F
622450803,1818,288,96354,132,180,960,2609,63334,T
680165940,1838,299,99252,132,187,1920,3557,63319,F
306961332,845,67,75205,132,154,480,4219,63258,T
705255757,1859,301,109681,132,219,2400,3714,63582,F
315097555,854,104,17080,132,144,480,3504,63001,T
409115857,2034,295,81360,132,248,2400,4638,63592,F
454746660,732,93,40992,132,209,960,4789,62930,T
141394651,399,38,21546,132,163,2400,2663,62971,F
620890317,214,33,10700,132,110,480,3229,62867,T
044126639,1764,285,65268,132,350,2400,3280,62974,F
369284778,1981,264,194138,132,258,1920,3060,62852,F
786049082,668,103,23380,132,1984,2400,4727,62817,T
182789014,583,95,38478,132,228,1440,4807,63533,T
974133312,2000,255,166000,132,122,1920,2681,63539,F
117713148,258,86,22188,132,139,960,3571,62981,T
302827794,1867,292,72813,132,120,1920,2914,62852,F
237828367,1842,286,44208,132,171,2400,4296,63382,F
945988262,178,31,15130,132,661,1920,4422,63089,T
669814355,777,83,28749,132,181,2400,3002,63624,T
705227562,210,80,9660,132,289,2400,3415,62753,F
779789383,380,24,26600,132,418,1440,3545,62978,T
561660551,379,20,8717,132,126,2400,3527,63175,F
102099404,1876,267,131320,132,541,480,3631,63130,T
526234663,1981,268,116879,132,116,2400,2835,63410,F
094347116,692,106,15916,132,121,2400,2856,63153,T
280401162,2034,257,61020,132,202,2400,2851,63340,F
865919562,707,54,39592,132,354,1440,2994,62716,T
719172804,244,38,17080,132,277,2400,1910,63621,F
197156771,223,23,20516,132,1623,1440,3595,63294,T
399859830,2004,311,154308,132,148,2400,3091,63360,F
427800916,802,115,43308,132,161,1440,4822,62864,T
880016880,1888,285,124608,132,216,2400,3395,63400,F
992759258,783,99,78300,132,129,2400,4003,63034,T
097056089,232,67,17400,132,113,2400,3218,62795,F
254051107,762,97,18288,132,4121,960,1975,63182,T
678207266,1905,309,85725,132,107,2400,4623,62765,F
502243120,714,70,26418,132,179,480,2748,63503,T
366714187,1829,271,131688,132,157,2400,3553,63389,F
