userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
977171410,380,71,76760,103,523,357,2027,36557,T
768775003,1873,325,318410,103,672,1072,1583,36522,T
304185541,303,91,59994,103,548,1788,1145,36422,F
121173727,1098,156,219600,103,414,357,1601,36173,T
015165110,1066,131,257972,103,481,1430,1545,37024,T
615475556,396,94,27720,103,395,1430,1457,36505,F
207551407,393,78,67989,103,828,1788,1730,36339,F
277382363,1919,324,287850,103,5938,357,2403,36181,T
062259018,2033,256,487920,103,468,357,1282,36890,T
197145922,433,100,21217,103,1272,1072,1195,36565,T
979976427,229,75,33892,103,574,1430,883,36594,F
251291909,307,47,41138,103,4453,715,846,36721,T
359445224,233,87,53590,103,1079,1072,2047,37146,T
745644033,1899,316,334224,103,672,1788,1981,37158,F
164419671,2051,271,65632,103,475,1072,1026,36249,T
249446488,2104,319,84160,103,774,357,810,36641,T
953884199,251,97,48192,103,481,1430,1276,36941,F
714167422,2061,313,43281,103,468,1430,1824,37159,F
569443390,446,33,84294,103,2226,1430,1479,36200,F
304793902,383,81,92303,103,1781,1072,1499,36417,T
765391724,1864,286,260960,103,367,715,1806,36808,T
964588385,492,97,49200,103,494,715,1074,36839,T
769639868,1936,277,112288,103,424,1072,1793,37057,T
804579189,476,98,87108,103,603,715,2133,36479,T
877699260,1850,292,172050,103,791,1072,1288,36798,T
518007309,479,84,23471,103,2969,1072,2032,36778,T
858862854,1838,280,132336,103,913,357,1681,37053,T
535760454,268,73,15544,103,685,357,712,36956,T
320056876,382,37,5348,103,963,1072,1976,36568,T
644500906,286,55,18590,103,475,1788,1475,36583,F
709372750,1991,301,121451,103,3239,715,1105,36329,T
303228522,271,65,63143,103,1018,1430,1803,36487,F
634294542,449,58,46247,103,363,715,999,36217,T
460214090,1859,295,420134,103,424,1072,1453,36645,T
353068969,1977,285,411216,103,2226,357,1560,36537,T
823857446,275,79,32175,103,712,1072,1297,36990,T
