userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
431759410,357,96,7497,103,76,357,1733,36693,T
840268539,228,85,14136,103,252,1788,2114,36224,F
904187098,1916,268,113044,103,574,1788,1209,36422,F
118258736,2113,315,95085,103,188,357,1458,37046,T
248098184,1925,296,192500,103,73,1072,1454,37125,T
760339564,1928,263,152312,103,81,1788,2135,36677,F
044870864,279,84,20088,103,83,1072,912,36197,T
544136943,337,65,30667,103,79,1788,2367,36496,F
219781012,473,62,11825,103,80,1072,1465,36724,T
057279805,1861,312,113521,103,101,1788,888,36451,F
246743455,353,93,32829,103,106,357,1752,36287,T
517005665,266,75,9576,103,79,1430,711,36967,F
614034169,1912,289,57360,103,84,715,1189,36713,T
363842021,280,85,17640,103,462,1430,1382,36959,F
743955661,298,57,9238,103,174,1430,1293,36846,F
886892928,2112,309,120384,103,147,1072,1961,36470,T
755134425,2125,318,123250,103,462,715,2333,36294,T
820266570,1863,277,135999,103,84,1788,968,36468,F
737641931,2055,285,123300,103,75,1788,2063,36190,F
765610628,2112,281,52800,103,109,357,1725,36484,T
692551351,1993,319,69755,103,81,1788,2191,36817,F
752985678,423,42,25380,103,148,357,2064,36984,T
215017596,361,45,23826,103,196,357,1084,36224,T
929974058,2056,289,69904,103,141,1788,1455,36762,F
200514863,369,71,32841,103,107,357,1178,36899,T
178667889,1908,262,97308,103,289,1430,786,36773,F
410576327,383,94,7660,103,289,1430,1845,37079,F
416200295,364,96,33488,103,77,1072,1680,36805,T
223023730,2104,319,61016,103,307,715,1507,36895,T
492754249,322,73,10304,103,494,1430,1397,36691,F
860067133,2070,286,89010,103,72,1430,814,36932,F
839733434,457,81,37017,103,101,1072,1569,36564,T
815440692,469,63,11725,103,84,1430,1451,36329,F
757167336,1874,317,153668,103,114,1072,1305,37096,T
883359201,1868,264,89664,103,445,1072,2341,36925,T
321838333,292,64,25404,103,71,1788,1688,36468,F
694216003,418,39,20900,103,434,715,1240,36739,T
247316764,425,81,11900,103,88,1788,2057,37027,F
279268747,286,79,16874,103,114,1430,1280,36470,F
245236378,2106,280,113724,103,226,357,1759,36651,T
987881304,2128,256,51072,103,156,1072,1458,36950,T
377097547,362,49,22806,103,119,1788,753,37166,F
583642092,1986,266,137034,103,145,1788,1678,36357,F
416946512,2085,277,129270,103,181,1072,794,36164,T
844242633,1856,261,116928,103,159,1430,1152,36846,F
484167936,278,47,19460,103,141,1072,1038,36316,T
769371744,2113,274,120441,103,131,715,1726,37015,T
082444731,405,78,17415,103,1079,1430,934,36268,F
115231907,516,65,12384,103,115,1430,1978,36276,F
229035064,332,37,25564,103,87,1072,1756,36964,T
219429317,493,53,49300,103,170,715,1639,37023,T
522943360,426,52,20448,103,323,1788,829,36899,F
284969914,2002,256,96096,103,225,715,769,36420,T
751433662,323,62,15504,103,148,1788,1449,36295,F
650545274,2012,286,136816,103,301,357,1051,36173,T
693547596,1919,260,49894,103,111,1430,1816,37091,F
697201854,355,80,12425,103,1549,715,1671,36994,T
035798219,2050,304,100450,103,75,1430,1502,37028,F
366840735,1995,275,73815,103,137,715,742,36795,T
228198687,1928,285,175448,103,80,1788,2205,36393,F
236203035,318,52,9222,103,90,1430,909,36569,F
940841379,454,62,14528,103,79,715,1569,36439,T
171987592,332,34,6640,103,516,1788,1279,36814,F
370292833,1981,309,85183,103,90,357,1746,36548,T
031420097,363,87,21054,103,260,357,1476,37154,T
802724986,306,69,14076,103,135,1430,1953,36630,F
775027139,1915,275,172350,103,82,1430,1683,36195,F
110133109,358,81,33652,103,89,715,1806,36621,T
454256736,377,75,13195,103,712,357,943,36483,T
384294783,2033,301,195168,103,1319,1788,1451,36596,F
388749234,336,76,28560,103,1113,1788,1039,36916,F
724369095,1891,276,187209,103,269,357,1118,36857,T
200912963,2052,290,162108,103,323,357,1031,36772,T
230278229,255,40,19635,103,265,1430,1907,36179,F
044020093,370,100,28490,103,75,357,1713,36595,T
138308879,221,95,15470,103,93,1788,1194,36975,F
637194444,1992,313,107568,103,672,1072,1093,36704,T
127601873,505,54,39895,103,117,1788,1747,36872,F
543760762,303,70,18180,103,81,1430,1224,36660,F
758231050,440,74,18040,103,81,715,1404,37122,T
676893715,2068,285,190256,103,81,1072,1926,36851,T
963214519,1953,268,101556,103,989,1788,2331,36843,F
448453455,516,39,41796,103,7126,715,2057,36550,T
082661489,414,95,17802,103,74,1788,866,37132,F
219363382,343,43,28812,103,119,715,1459,37083,T
144157362,2115,324,101520,103,96,1430,987,36647,F
500114237,349,62,24430,103,199,1072,1979,37062,T
521490248,1882,288,90336,103,269,1788,1109,36600,F
182258612,461,42,34575,103,77,1072,1916,36630,T
297767900,372,102,36456,103,100,1430,1158,36347,F
738894807,301,90,26187,103,672,1788,1540,36654,F
019280157,225,71,11475,103,145,1072,1069,36991,T
242923869,2123,290,186824,103,132,1788,1743,36361,F
223909596,2124,264,129564,103,118,1072,1004,36821,T
440044815,2033,285,201267,103,98,357,1812,36755,T
005435226,1857,256,126276,103,86,1788,1509,36820,F
511010583,412,99,38728,103,129,357,1518,36931,T
371136413,493,60,10846,103,237,1430,1042,36668,F
232092995,1836,300,121176,103,97,715,2386,36367,T
611007218,324,75,10044,103,261,1430,1142,36192,F
