userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
948743259,2,53,204,495,1604,585,4636,96479,T
131237817,452,128,27572,495,1525,195,4027,97012,T
371934325,377,102,85956,495,1257,780,3450,96212,T
891476222,1217,173,37727,495,1551,780,2219,96879,T
632538239,484,106,16456,495,1292,585,4059,96448,T
922574586,389,58,29564,495,3102,585,3951,96333,T
565137524,547,33,22427,495,1577,585,4555,96164,T
395493949,2138,206,374150,495,1310,976,4588,96463,T
041017388,576,28,7488,495,5170,976,1947,96979,F
073440783,2025,209,396900,495,1121,780,3711,96045,T
684348076,1269,106,214461,495,2115,780,2647,96895,F
732012881,1215,119,106920,495,3447,780,2911,96737,F
622980739,434,108,58156,495,5475,780,4007,96603,T
209066827,1961,228,235320,495,6205,585,3195,96417,T
700173934,373,44,27975,495,1121,780,3133,96758,T
402117236,1167,140,270744,495,1045,976,4646,97014,F
945896367,2149,241,313754,495,3209,780,2135,96611,T
708611807,335,46,72695,495,2326,780,4240,96238,T
899624531,1066,125,152438,495,1275,780,2951,96749,F
691196283,597,107,125967,495,1410,780,3901,96608,T
771000648,1151,108,37983,495,1723,195,3731,96208,T
363411419,622,108,144926,495,15512,780,2166,96164,T
586568232,2016,206,249984,495,7159,390,3007,96108,T
061522034,496,67,83824,495,2115,390,2744,96510,T
095039217,1945,197,424010,495,15512,976,4245,96432,T
505671964,1074,204,228762,495,1577,195,2853,96142,T
312897471,452,95,27120,495,930,585,4466,96468,T
612463975,1098,153,102114,495,1454,976,3452,96318,F
345872414,1233,121,93708,495,1149,585,2892,96423,T
603542602,1257,121,227517,495,1000,195,4491,96539,T
019104493,40,38,8400,495,1861,976,2969,96819,T
000272758,1126,200,233082,495,2908,585,3054,96474,T
103789806,403,120,59644,495,5170,390,2741,97013,T
618874689,2012,221,386304,495,930,585,3398,96724,T
841953910,370,92,33670,495,1632,585,3372,96456,T
777279423,485,95,8245,495,1045,585,4563,96959,T
878147383,1106,180,77420,495,18615,780,3042,96778,T
303213536,1189,164,218776,495,2386,390,2131,96886,T
114808884,52,11,5876,495,979,195,4396,96811,T
908339160,410,80,75440,495,2659,780,2332,96412,T
910341710,395,43,86110,311,2690,577,3308,89834,T
433648561,1159,224,168055,495,1135,390,4575,96436,T
745948540,2145,233,456885,495,1551,585,3596,96991,T
950531069,618,97,122982,495,1135,195,2936,96614,T
183489472,325,112,14625,495,1108,976,2762,96436,T
306818598,1128,181,98136,495,1057,976,2294,96199,T
260233793,1246,196,108402,495,2270,195,3884,96346,T
364302459,992,210,138880,495,3102,976,3795,96259,T
529127552,439,49,5707,495,1454,390,2165,96489,T
356635210,333,82,6327,495,2737,195,4098,96611,T
110528150,2126,180,495358,495,10341,195,4190,96616,T
413422275,349,115,24779,495,1057,195,2614,96683,T
113090042,1224,130,106488,495,2737,390,3857,96688,T
961178077,1909,243,223353,495,3723,976,4495,96356,T
410198903,295,24,45430,495,1825,780,2128,96893,T
784319087,317,43,26945,495,1310,780,2313,96203,T
690720000,499,119,62375,495,15512,976,4183,96687,T
004188193,1141,177,67319,495,1011,585,3000,96544,T
895987646,1017,173,207468,495,990,195,4173,96826,T
150419679,2097,228,467631,495,1389,195,1917,96551,T
947977780,993,209,143985,495,3102,390,4836,96905,T
083124375,1880,240,396680,495,1069,780,4782,96773,T
747523447,383,92,67791,495,3002,780,2275,96539,T
393475634,1138,185,233290,495,1410,976,4076,96493,T
791346308,375,53,61875,495,6205,195,3769,96534,T
243127723,487,85,96426,495,940,780,3558,96359,T
