userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
643202865,1138,214,111524,495,303,780,3436,96479,T
386425619,1264,128,116288,495,809,976,2878,96720,F
616327017,1322,148,112370,495,514,780,4350,96088,F
995490906,1126,208,95710,495,363,195,3735,96432,T
352878662,1339,146,92391,495,664,976,3403,96121,F
400312353,352,89,33088,495,684,390,3932,96323,T
408569902,1111,184,103323,495,1000,390,3575,96034,T
515867219,537,38,23091,495,1082,976,3062,96426,F
622307747,559,34,19006,495,292,390,4565,96948,T
737899877,1263,142,88410,495,353,976,2133,96374,F
030572033,1220,199,41480,495,1723,780,3141,96767,T
723748491,446,45,18732,495,317,976,3114,96644,F
470731499,336,77,26880,495,194,390,4665,96347,T
039828931,1289,107,42537,495,308,780,2994,96608,F
401053362,78,21,7254,495,324,780,3276,96030,T
711735878,308,42,8008,495,320,976,2946,96792,F
379295251,1202,172,30050,495,349,390,3378,96784,T
121608662,1321,107,59445,495,769,780,2184,96553,F
668446940,1234,184,34552,495,1208,585,4710,96374,T
745752112,1127,124,29302,495,239,780,4246,96953,F
298010519,270,11,8640,495,198,585,2869,96557,T
618503036,1119,131,24618,495,2908,780,4189,96525,F
878686328,211,13,8440,495,1193,780,3013,96759,T
038587340,1249,129,34972,495,214,976,2890,96139,F
780882441,1041,161,98895,495,969,976,2567,96811,T
389629320,1179,156,36549,495,484,976,2476,96557,F
915080025,558,91,25668,495,253,976,2150,96584,T
168521543,12,63,576,495,351,976,2861,96893,F
103937086,976,177,88816,495,201,390,2395,96570,T
453099677,1186,141,64044,495,430,976,3808,96606,F
216109567,151,25,9211,495,241,780,3122,96872,T
490331552,1293,125,90510,495,186,976,4598,96462,F
791399097,384,112,13056,495,727,585,2467,96213,T
652956851,328,42,18368,495,300,976,2899,96612,F
984597079,463,74,26854,495,213,976,3071,96267,T
774897525,1330,110,89110,495,571,976,2467,96276,F
371747580,1151,162,42587,495,838,780,4149,96341,T
102808119,1185,116,61620,495,990,780,3908,96143,F
982081824,46,62,3082,495,1082,585,4376,96547,T
036487833,1059,112,61422,495,212,780,4118,96355,F
638521206,967,170,73492,495,274,780,4744,96586,T
077637866,1139,155,44421,495,699,976,3868,96348,F
799385556,364,73,13468,495,232,195,4323,96642,T
169227680,1311,126,95703,495,310,976,2393,96072,F
482947782,1147,124,74555,495,275,585,2488,96324,T
116507354,1294,148,27174,495,534,976,2963,97009,F
604930687,431,121,12499,495,2908,390,2286,96986,T
013208689,1132,119,73580,495,298,976,4121,96480,F
323230608,504,112,28728,495,415,390,4267,96554,T
756303604,1092,140,60060,495,212,780,2896,96805,F
403137718,90,48,3330,495,795,195,4877,96109,T
889257034,487,50,41882,495,1208,976,4321,96666,F
811333419,63,1,4473,495,425,390,4761,96857,T
715560351,1072,141,47168,495,272,976,4584,96446,F
511221757,444,89,23088,495,802,195,3985,96352,T
676739439,1192,137,75096,495,323,780,2593,96614,F
051462400,1097,148,58141,495,419,390,4051,96765,T
828979716,1322,135,43626,495,241,976,3284,96633,F
930954984,521,33,48974,495,816,195,3435,96274,T
955112410,1339,113,72306,495,470,780,4002,96920,F
621848455,443,91,15948,495,470,976,2204,96122,T
869554027,1151,110,33379,495,9307,780,3527,96355,F
539378989,392,132,24304,495,228,976,2627,96329,T
802085089,1295,146,116550,495,417,976,3956,96472,F
197903436,421,97,29049,495,262,585,2386,96700,T
538575539,1221,113,26862,495,1525,976,2692,96195,F
010827406,1210,195,55660,495,193,976,4260,96092,T
504063178,1043,149,95956,495,256,780,2683,96748,F
263345565,231,7,12474,495,384,390,2114,96866,T
822960208,1301,145,83264,495,381,780,2284,96538,F
771677101,383,101,7660,495,474,390,3835,96754,T
586204109,1269,115,48222,495,367,976,3883,96729,F
662986553,503,46,26659,495,190,390,2248,96622,T
044367914,1227,158,52761,495,189,976,2400,96672,F
000094087,440,87,27720,495,228,976,2394,96599,T
713516949,567,48,53865,495,194,976,3663,96570,F
105644914,477,87,28143,495,2585,976,2082,96415,T
685414590,372,53,37200,495,351,976,4441,96541,F
059551026,1094,134,94084,495,396,390,2086,96806,T
039588830,1079,141,75530,495,280,780,4060,96796,F
978387509,1000,206,47000,495,336,976,2255,96237,T
685735107,395,23,32785,495,242,976,4750,96597,F
761943618,1083,109,28158,495,303,780,4804,96841,F
000056737,1138,154,60314,495,268,195,4085,96425,T
418624515,561,40,24684,495,207,585,3908,96858,T
933073435,1195,174,90820,495,238,780,4260,96650,F
488022925,352,91,25344,495,3878,976,3915,96095,T
352333362,1331,118,58564,495,192,780,3207,96451,F
164721082,355,48,24140,495,282,585,2051,96802,T
958425102,12,21,804,495,861,976,3102,96341,F
632001467,19,33,741,495,210,585,2613,96239,T
017273522,1138,134,59176,495,445,780,2663,96429,F
159980479,1159,214,26657,495,646,780,3605,96041,T
057768418,1264,122,27808,495,921,976,2494,96341,F
471460875,477,70,27189,495,189,780,4761,96574,T
616028419,1295,117,103600,495,205,780,2340,96173,F
098916464,586,83,39262,495,1431,585,4309,96688,T
255775930,343,27,26068,495,522,976,3893,96848,F
451841332,592,117,31968,495,2216,195,3955,96014,T
167664102,1308,142,73248,495,2737,780,2684,96251,F
