userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
796621139,2020,220,206040,445,2701,646,1303,95877,T
357007561,1873,219,309045,445,1080,646,1792,95719,T
090953304,2047,210,497421,445,2354,1076,2261,95444,T
691011737,486,96,50058,445,1119,646,1580,95079,T
214553115,1889,202,409913,445,998,1076,1969,96062,T
707883264,680,95,170000,445,4373,646,1080,95677,T
612046260,524,67,6288,445,1080,1076,1516,95285,F
314392124,724,79,87604,445,1177,646,2274,95532,T
055549357,719,39,87718,445,2623,430,914,95058,T
796117294,1782,208,212058,445,7064,1076,1741,95757,T
506810814,510,72,43860,445,13119,215,1465,95896,T
102961949,1807,219,424645,445,1093,1076,1710,95569,T
240314614,1973,342,199273,445,2087,215,2082,95745,T
010142020,2130,365,266250,445,1766,430,926,95949,T
688140759,581,55,30212,445,1192,861,1436,95658,T
608641906,1950,323,483600,445,10204,861,1347,95455,F
218241350,1755,195,252720,445,1133,1076,1114,95308,T
800257182,767,82,154167,445,11479,430,2165,95374,T
962385737,1895,353,34110,445,8348,646,2449,95935,T
032272601,2127,342,314796,445,13119,1076,1691,95533,F
916245227,1939,356,428519,445,2416,861,2152,95846,F
939075780,2099,347,442889,445,1412,1076,2537,95611,F
494797019,2033,179,428963,445,927,215,1791,95592,T
557852967,1817,192,63595,445,6559,1076,2719,96005,T
858576416,1754,208,210480,445,1275,430,1448,95661,T
726885188,1983,319,313314,445,1106,646,2013,95130,T
817507099,1904,323,241808,445,7064,646,1760,95560,T
378802668,672,58,126336,445,1080,215,2236,95279,T
817139167,554,38,127974,445,1391,215,1636,95897,T
907734696,539,100,104566,445,1700,430,1488,95495,T
909288335,2118,317,438426,445,4833,215,1108,95445,T
869384304,1920,169,385920,445,2354,646,1735,95901,T
077817327,2064,307,55728,445,2869,861,1839,95725,F
025478419,1973,168,116407,445,18367,430,2226,95762,T
495757491,1886,211,458298,445,2869,215,845,95508,T
511961353,656,43,138416,445,7653,430,2546,95449,T
386742989,661,78,109726,445,966,861,1198,95351,T
060192219,571,46,111916,445,1133,1076,913,95368,F
612557977,1960,180,452760,445,977,430,1844,95071,T
515644882,2013,189,269742,445,1700,861,1781,95097,T
629430271,1946,365,58380,445,1530,430,859,95521,T
846641691,2041,223,365339,445,1669,430,2196,95856,T
522826897,706,80,99546,445,966,430,875,95419,T
115002287,1877,334,335983,445,998,1076,1586,95295,F
898734535,2039,309,377215,445,937,215,1513,95469,T
443334176,2080,364,266240,445,2701,1076,2532,95176,F
807804887,1879,314,152199,445,2416,430,1430,95507,T
392617229,2010,190,100500,445,1412,215,984,95852,T
516422535,2134,325,123772,445,2135,646,1501,95718,T
738943406,2019,226,413895,445,1434,215,1722,95824,T
666564630,1979,180,269144,445,1147,1076,929,95618,T
202593600,509,59,112489,445,966,646,1829,95331,T
948143396,742,40,36358,445,1766,1076,1290,95155,F
805522154,1969,353,21659,445,927,215,2419,95801,T
302418197,502,60,33132,445,1043,430,1871,95956,T
807549341,2015,325,64480,445,1106,646,1765,95529,T
595732435,1994,188,47856,445,1412,646,1405,95473,T
958643039,731,37,158627,445,15306,430,939,95253,T
067537549,1970,217,49250,445,1350,861,1541,96051,T
938836010,1972,338,53244,445,1611,1076,1836,95808,F
772931672,1897,228,457177,445,1031,861,2066,95712,T
494720075,602,62,31906,445,1031,430,1967,95487,T
283198464,1908,185,55332,445,4174,861,2178,95816,T
936898458,2011,352,203111,445,4591,215,1669,95379,T
567015053,1886,359,152766,445,2623,215,895,95619,T
379876830,1895,171,418795,445,1043,1076,1500,95497,T
160726144,1877,195,339737,445,2962,861,1917,95596,T
915738471,1991,338,322542,445,966,861,2596,95405,F
273842290,759,85,56166,445,4373,430,2019,95534,T
003396954,1769,197,42456,445,956,646,1033,95605,T
432311079,1883,365,306929,445,7064,1076,1289,96010,F
741894223,2122,364,120954,445,1391,430,2279,95878,T
724862382,1871,371,361103,445,1133,430,1697,95314,T
360999775,1821,169,435219,445,3532,1076,1820,95462,T
673430482,1806,192,139062,445,2040,646,1913,95207,T
029790874,495,99,13860,445,1732,1076,2568,95156,F
050301971,2120,313,256520,445,2087,646,1350,96004,T
048901152,1946,353,420336,445,2869,1076,1370,95264,F
693064130,2110,367,474750,445,10204,215,2336,95461,T
477317919,1913,215,254429,445,3401,215,1587,95440,T
154570516,2078,342,49872,445,3061,215,1623,95412,T
683914487,1959,177,174351,445,5402,646,1384,95408,T
332742584,1935,176,402480,445,7064,646,2274,95959,T
348966517,2076,332,396516,445,966,861,1628,95188,F
630440120,1899,335,353214,445,1106,215,1401,95604,T
768723053,1755,205,214110,445,987,861,1623,95355,T
273856167,1997,171,409385,445,1055,646,2373,95450,T
052572178,550,38,89650,445,1177,430,2037,95929,T
344617112,2025,211,74925,445,937,646,2308,95773,T
521728165,2116,318,107916,445,18367,430,1397,95211,T
148911887,1845,184,202950,445,1330,1076,1796,95397,T
357037063,1991,182,242902,445,6559,646,1996,95711,T
407858482,663,76,123318,445,2186,430,2596,95925,T
637697557,1927,213,331444,445,1700,861,2151,95702,T
246649909,1933,176,303481,445,1954,1076,2233,95840,T
738121481,558,90,135036,445,15306,215,1908,95557,T
341323224,1908,230,225144,445,1874,215,1634,95882,T
403931522,1921,195,468724,445,1009,646,1769,95487,T
942286724,520,107,54080,445,1766,646,1593,96023,T
945900090,727,60,37077,445,1208,861,2099,96023,T
681606491,1975,204,197500,445,6559,215,1917,95775,T
419688162,1914,349,187572,445,1311,646,1259,95702,T
095323549,2051,306,467628,445,927,430,1997,95491,T
795194424,1818,210,312696,445,1043,430,1413,95468,T
464409709,1751,224,372963,445,4833,215,1265,95735,T
826048182,2132,334,127920,445,5102,215,1321,95703,T
374360641,2134,310,64020,445,1020,430,1468,95499,T
115536670,711,39,137223,445,5102,861,2151,95327,T
239066252,480,83,10560,445,1043,215,1263,95507,T
976228269,674,93,142888,445,1106,430,2395,95861,T
541234791,594,105,127116,445,1669,1076,1213,95363,F
016752346,1983,170,136827,445,1412,215,2024,95662,T
713219626,1942,359,104868,445,3673,430,1742,95785,T
