userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
700792790,1931,183,123584,445,7653,215,902,95163,T
659508784,1961,341,60791,445,285,861,1772,95147,F
766418462,1975,170,100725,445,1874,1076,2557,95293,T
967181864,770,104,42350,445,316,1076,2086,95798,F
602623314,770,40,65450,445,1241,430,2490,95640,T
982575646,509,45,11198,445,244,1076,2257,95950,F
014133743,2010,312,188940,445,329,1076,1591,95705,F
361188065,1909,373,133630,445,504,215,2234,95903,T
034246918,1850,194,85100,445,285,646,2222,95558,T
896058635,1957,322,150689,445,473,861,1122,95087,F
794934199,1804,182,158752,445,252,1076,1330,95146,T
269036103,717,49,70983,445,452,1076,1274,95399,F
008938502,485,85,10185,445,2295,1076,2626,95804,F
335890075,508,90,44196,445,185,215,1458,95152,T
278226969,2047,341,163760,445,466,646,1717,95272,T
712966118,2122,373,195224,445,206,861,1417,96056,F
357337288,1902,175,53256,445,247,646,885,95473,T
261298916,500,68,23500,445,1370,1076,2045,95087,F
126064658,732,67,24156,445,312,1076,2115,95674,F
895657041,1907,181,135397,445,189,215,2059,95199,T
973034860,708,90,63720,445,563,430,1359,95815,T
883935889,520,73,35880,445,2040,1076,1382,95549,F
017560891,1933,350,88918,445,227,861,2044,95876,F
337139833,1864,187,109976,445,273,646,1757,95526,T
667351554,1869,345,121485,445,1293,646,1672,95524,T
039438249,515,41,37595,445,1133,1076,2288,95435,F
815631958,1999,195,63968,445,1913,1076,2455,95519,T
123108460,2089,375,60581,445,2551,1076,1748,95850,F
805105477,2009,174,48216,445,573,215,1505,96043,T
419323028,535,93,52430,445,317,1076,1251,95133,F
618042244,551,97,46835,445,249,646,2390,95825,T
097406686,1978,320,162196,445,191,1076,1297,95455,F
321186364,1996,364,43912,445,1119,646,2145,95898,T
095729356,636,57,51516,445,213,1076,1681,95790,F
361389559,744,63,51336,445,866,1076,2002,95173,F
928879855,501,66,39579,445,1611,215,1817,95806,T
390967704,1880,189,131600,445,233,1076,2584,95855,T
238089061,562,88,16860,445,195,1076,1520,95565,F
501237448,494,75,18278,445,791,430,2086,95793,T
444209504,1993,306,147482,445,866,1076,2594,95062,F
729286322,1758,198,80868,445,1208,430,1146,95122,T
181616909,717,98,24378,445,243,1076,1549,95281,F
542482091,2060,314,121540,445,2869,1076,2215,95562,F
872024037,1842,196,116046,445,259,861,1570,95649,T
465047211,1907,220,141118,445,218,861,824,95777,T
601261372,1966,326,182838,445,200,1076,1739,95772,F
945000330,1880,187,157920,445,188,861,1536,95976,T
152286051,1857,344,150417,445,791,1076,1859,95699,F
664024914,2105,316,197870,445,1732,430,2176,95442,T
715381924,491,87,38789,445,858,1076,1716,95924,F
474507706,671,71,52338,445,274,215,987,95547,T
440165711,572,51,29172,445,228,1076,2043,95161,F
346260965,2074,347,76738,445,819,430,2260,95940,T
434650124,767,73,15340,445,205,1076,2325,95099,F
670231852,2056,368,154200,445,633,430,1890,95342,T
226230544,1926,339,156006,445,518,861,2299,95746,F
501085043,552,55,13248,445,220,1076,1789,95222,F
886669724,659,89,64582,445,734,430,960,95305,T
141004499,2026,219,95222,445,221,430,2080,95316,T
035108336,1938,364,67830,445,370,1076,1090,95615,F
202915761,1958,332,176220,445,874,1076,2210,95156,F
762926404,1936,215,52272,445,466,861,1927,95571,T
272820121,2030,170,160370,445,299,646,2587,95301,T
846169141,2014,348,138966,445,493,1076,1782,95533,F
735059409,2047,219,47081,445,1583,215,1711,95544,T
954476387,1935,350,143190,445,222,1076,2042,95456,F
195383767,1773,176,161343,445,2354,646,1968,95672,T
970752749,586,49,14064,445,1043,1076,1012,95481,F
617055934,1847,229,156995,445,222,1076,2224,95339,T
934104701,2102,313,182874,445,546,1076,1863,96027,F
319754839,686,40,29498,445,206,1076,1406,95475,F
775319161,1787,214,134025,445,5402,430,2012,95277,T
869979931,2007,312,192672,445,2416,1076,839,95440,F
730043218,511,39,18907,445,247,861,1298,95124,T
385256825,481,39,35594,445,222,646,2031,95203,T
761997856,1996,321,163672,445,850,1076,2718,95595,F
792022732,1816,219,167072,445,3826,430,1459,95855,T
342223996,1919,329,163115,445,329,861,1285,95365,F
159677630,2087,317,102263,445,409,1076,1904,95391,F
512410892,647,102,26527,445,1275,861,1325,95318,T
509703765,757,72,32551,445,1669,861,1770,95065,T
458171034,2146,362,120176,445,1093,861,2266,95120,F
005032999,607,47,54023,445,292,646,1726,95495,T
318156258,1963,336,82446,445,891,1076,1296,95070,F
607685736,2013,357,175131,445,249,1076,2402,95874,F
214404843,546,96,44772,445,778,430,1617,95496,T
593807777,763,68,20601,445,510,1076,2260,95487,F
152527050,2029,184,54783,445,317,430,1233,95668,T
618967735,501,89,30060,445,633,215,839,95166,T
206379474,533,93,23452,445,229,1076,1841,95553,F
485617544,586,56,57428,445,188,215,1697,95582,T
536725507,2150,329,45150,445,6122,861,1427,95806,F
339790435,1865,311,54085,445,222,430,1946,95958,T
687739303,1910,347,116510,445,183,1076,1937,95988,F
426591880,1964,227,115876,445,927,861,1700,95857,T
047040437,571,85,32547,445,373,1076,1655,95561,F
711153385,1922,202,121086,445,187,215,1421,95597,T
395504655,2052,314,145692,445,257,861,1860,95756,F
872617921,482,56,43862,445,2416,646,1672,95553,T
405683955,2013,309,181170,445,196,1076,1289,95415,F
