userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
643625028,2005,172,202505,84,554,441,2825,36263,T
391959244,1006,77,123738,84,554,883,4740,36311,T
575141264,994,124,121268,84,1148,2207,4186,36936,T
239591404,1973,371,185462,84,518,441,6124,37037,T
119563041,306,80,59058,84,1148,441,4201,36316,T
998356161,368,19,13616,84,1148,883,5607,36811,T
436530598,1970,212,366420,84,452,1324,3974,37138,T
553164411,175,48,11900,84,434,1766,5413,37036,F
846082799,958,76,130288,84,893,1324,4368,36332,T
413577399,1953,227,117180,84,868,2207,3067,36467,T
069906654,84,1,9492,84,387,2207,5409,36594,F
700805688,1875,414,341250,84,2009,1324,4375,37157,T
556969290,841,138,176610,84,324,2207,5365,37058,T
926501065,365,57,65700,84,321,2207,5828,36994,F
339430567,1856,194,321088,84,544,2207,3198,36339,T
094716950,1003,90,220660,84,584,1766,3396,37133,T
388058047,428,49,43228,84,1786,2207,5773,36750,F
197955049,1932,208,314916,84,1786,441,6054,36529,T
614347939,1862,214,463638,84,452,1766,4184,36426,T
931073123,884,78,70720,84,730,441,3366,36926,T
089004836,212,50,9540,84,378,883,4514,37078,T
635599998,420,74,102480,84,2143,883,3540,36483,T
704778155,1022,89,70518,84,1692,441,3167,37076,T
966955857,1779,410,147657,84,365,2207,4055,36457,T
568691143,1987,193,339777,84,1786,883,4178,37043,T
529983793,421,32,50099,84,1692,2207,5504,36952,F
433413156,1990,377,173130,84,2679,883,2957,36249,T
513222401,18,1,2520,84,2296,1766,3104,37071,T
701737750,14,38,2842,84,630,1324,6296,36707,T
737731140,925,100,164650,84,630,2207,5758,36931,T
861199134,320,24,35520,84,618,2207,4578,36846,F
476305870,210,20,22260,84,494,441,6258,36725,T
610863449,137,33,10001,84,2143,441,5874,36317,T
404205200,328,67,39032,84,1108,2207,5426,36256,F
992744489,1987,198,337790,84,1148,441,5335,37226,T
088460116,1909,226,288259,84,554,1766,5257,37177,T
461155293,1924,393,448292,84,1190,883,2889,36619,T
262808354,20,27,3000,84,321,1324,5394,37169,T
206265619,755,104,83050,84,406,883,5701,36325,T
398900716,227,81,42222,84,412,2207,2861,36375,F
714329581,819,89,95004,84,1236,441,5946,36607,T
598511241,810,90,140130,84,698,1324,6152,36638,T
632970508,15,7,705,84,324,1766,5440,36772,T
409994538,1896,182,328008,84,784,883,5739,36364,T
413907135,1974,400,264516,84,440,1766,5853,36975,T
769509460,398,55,58108,84,2679,883,6062,36347,T
731328561,1966,420,359778,84,527,883,5631,36410,T
881361645,1981,176,366485,84,1004,2207,6234,36909,T
964990518,871,85,99294,84,331,883,6234,37188,T
691582444,10,33,1910,84,2009,2207,5966,36854,F
421561849,1822,217,451856,84,378,1324,4892,36842,T
077249262,21,29,4368,84,554,2207,6196,36335,F
106401023,759,95,91839,84,1786,2207,4891,36743,T
363577027,6,11,474,84,472,441,3362,36838,T
074059817,2044,390,308644,84,338,2207,4857,36916,T
428172528,2075,185,107900,84,1397,883,5464,36783,T
146427681,994,116,157052,84,324,2207,4592,37096,T
756666928,1952,380,183488,84,353,2207,4909,36279,T
789961130,960,83,170880,84,412,2207,2907,36496,T
308738332,200,36,18800,84,2679,1766,5401,36366,F
648616426,16,11,1104,84,2143,2207,5809,37235,F
436246868,771,128,82497,84,618,883,3562,36492,T
500883605,891,133,211167,84,1285,1766,4458,36744,T
086125882,14,1,2716,84,747,883,5935,36882,T
981085924,1984,398,214272,84,527,1324,5269,36370,T
025491009,1009,79,243169,84,338,2207,2614,37146,T
145736024,424,48,72080,84,5358,1324,6203,36714,T
633264069,304,73,6688,84,428,1766,5264,36535,F
753944177,998,134,128742,84,1461,441,5373,36669,T
893578921,833,135,114954,84,868,441,5419,36973,T
805357341,998,104,222554,84,606,2207,4394,36530,T
648909801,284,89,70716,84,446,2207,4035,36883,F
387687627,2030,206,205030,84,765,2207,4881,36557,T
182898368,1892,406,210012,84,535,1324,4327,36735,T
510338032,1003,134,191573,84,642,883,3546,37148,T
565950413,177,68,34338,84,2296,883,4082,36313,T
727914263,2013,213,434808,84,698,883,5430,36992,T
594769905,955,86,166170,84,656,1324,5900,37148,T
674110485,2011,198,454486,84,5358,441,5477,36306,T
828632534,834,132,17514,84,2679,441,3441,36596,T
513773734,196,24,36652,84,345,441,4972,37216,T
196163081,144,63,22176,84,2143,883,2796,36664,T
560380121,297,59,49896,84,446,1766,3470,36398,F
633647955,1990,216,415910,84,321,1324,4255,36799,T
767514650,411,81,11097,84,1148,1324,4798,37236,T
565968689,1942,228,89332,84,353,883,2956,36837,T
245359005,294,76,40866,84,1692,1766,4771,37168,F
930793787,944,75,202960,84,338,883,3112,36755,T
062745053,2077,171,432016,84,1339,883,5883,37239,T
078326644,165,67,26895,84,784,441,4594,36875,T
631435164,1016,144,254000,84,2143,1324,4278,36980,T
805056171,202,45,39188,84,4592,1324,4545,37232,T
090858619,1881,179,410058,84,357,2207,4950,36967,T
589108042,1942,389,477732,84,893,1324,6015,36996,T
079017657,333,65,55611,84,606,1766,4935,36309,F
770669411,15,33,3180,84,365,1324,4346,37111,T
134697904,1876,174,159460,84,1339,441,4661,36733,T
917202871,1821,217,171174,84,1190,2207,3490,36333,T
