userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
563731208,1865,382,117495,84,270,883,3084,36841,T
648421185,331,84,12578,84,105,1766,4598,36391,F
018932438,781,93,58575,84,194,883,4685,36246,T
225499417,195,83,11700,84,518,2207,4153,36855,F
958553530,2071,241,178106,84,92,1766,4894,36359,T
235106594,256,58,8192,84,158,2207,6202,37112,F
740692278,15,29,675,84,142,883,3312,37100,T
946598082,164,51,4100,84,102,1766,2814,36995,F
869229910,157,62,5652,84,189,883,2955,36644,T
804203726,137,3,6713,84,282,2207,5761,36583,F
869274282,2038,211,97824,84,144,2207,4928,36584,T
554724644,47,1,3807,84,78,2207,5761,37099,F
960825265,241,37,14219,84,105,1324,5487,37190,T
815850247,249,36,8217,84,84,2207,4271,36326,F
138211650,1005,143,67335,84,365,441,6123,36557,T
908396503,310,40,6510,84,893,1766,3179,37025,F
478518803,410,36,15170,84,228,1324,5995,37057,T
442595980,155,83,6200,84,69,1766,3240,36544,F
190061066,1871,223,179616,84,188,1766,4328,37137,T
865911064,274,63,23564,84,105,1766,3158,36538,F
149283814,1841,226,79163,84,91,2207,4040,37116,T
419093999,193,67,18335,84,75,2207,3312,37181,F
821581131,342,58,18810,84,71,883,4706,36659,T
976687344,172,30,10492,84,527,1766,4307,36426,F
589679126,428,38,26108,84,85,2207,4494,36908,F
463528929,2030,359,194880,84,284,1324,5267,37109,T
328611989,1907,397,169723,84,202,2207,3632,36452,T
160511487,300,71,15600,84,918,2207,6015,37120,F
987855369,1959,363,158679,84,188,441,3973,36599,T
659367943,93,1,3813,84,68,2207,4898,37014,F
570373112,347,64,30883,84,86,883,4758,36278,T
449431477,387,72,27477,84,208,1766,4768,37166,F
437218745,373,28,29840,84,92,1324,6086,36964,T
498388741,370,75,11470,84,163,1766,4138,37121,F
153815795,866,128,48496,84,175,1324,4820,36326,T
164123543,432,38,10368,84,1607,2207,2799,36273,F
829989921,904,103,40680,84,74,2207,5689,36783,T
441949460,27,40,2187,84,1285,2207,6237,37084,F
803212401,40,26,3600,84,197,883,4909,36739,T
708792884,308,19,15708,84,96,1766,6119,37106,F
640228097,822,114,35346,84,141,1324,3426,37069,T
720750743,320,22,19520,84,169,1766,2729,36324,F
932378223,68,6,4556,84,158,2207,2888,36656,F
619437333,1935,180,154800,84,318,2207,5894,36777,T
205150234,2023,174,137564,84,232,1766,5553,37195,T
257738931,344,51,10320,84,342,1766,3537,36933,F
278447754,430,74,23650,84,1339,1766,6111,36554,F
613934696,1028,134,35980,84,479,1766,3609,37052,T
432689213,891,80,81081,84,642,883,2694,36498,T
342693410,246,32,21894,84,94,2207,3214,37243,F
448984660,795,117,57240,84,2922,883,4892,36740,T
158043505,291,50,26190,84,95,1766,2623,36249,F
376541363,2100,210,142800,84,199,2207,4425,36628,T
170340210,365,42,12775,84,67,1766,2803,36642,F
228910645,1889,228,154898,84,125,1766,2706,36320,T
758139569,410,51,13530,84,132,2207,3220,36801,F
201531167,1971,195,51246,84,2009,1766,5289,36480,T
974540427,219,55,17958,84,309,2207,4065,36657,F
639022869,2003,380,146219,84,630,883,2749,37124,T
942861164,19,1,836,84,99,2207,3087,36696,F
646062028,984,83,40344,84,232,883,6040,37161,T
784546148,122,1,5978,84,630,2207,5702,37089,F
419157166,1959,182,117540,84,228,883,4497,36384,T
913219496,303,54,17877,84,494,2207,5646,37044,F
637850182,873,88,63729,84,3214,441,4838,36971,T
233302210,72,30,4968,84,465,2207,3623,37135,F
970654245,948,108,93852,84,338,2207,5501,36496,T
123859087,13,6,1014,84,125,2207,4289,37001,F
107153103,2015,381,161200,84,365,441,6273,36247,T
640300847,1,3,31,84,824,2207,5670,36918,F
784670753,1774,391,120632,84,215,1324,5801,36817,T
038334927,345,61,13800,84,75,2207,4284,36681,F
815054490,421,69,25681,84,119,1324,5390,36567,T
866768361,72,2,4176,84,90,2207,6068,36424,F
085354498,2097,188,165663,84,218,1324,6082,37058,T
806247000,34,2,986,84,85,2207,3013,36819,F
038037992,860,86,69660,84,91,1324,3071,37244,T
539680580,236,74,15104,84,118,1766,4735,36775,F
818115350,142,31,6674,84,127,1324,6113,37032,T
158347920,344,73,13072,84,90,1766,4839,36287,F
094243365,232,62,9048,84,109,2207,5294,36447,F
760386112,17,1,1156,84,238,441,3432,36585,T
283440213,1816,409,145280,84,64,1766,3435,37113,T
669741130,365,45,19345,84,129,2207,5789,36394,F
308504925,429,43,34320,84,253,441,6143,36369,T
764354193,4,46,152,84,111,2207,5935,36767,F
025653288,28,40,1792,84,150,1324,5521,36986,T
319156145,195,79,13065,84,564,2207,6253,37231,F
096058611,1864,179,171488,84,784,883,3008,36304,T
836421428,412,21,38316,84,65,2207,3001,37160,F
639763874,1908,206,150732,84,71,883,3469,36492,T
017033648,420,60,34020,84,479,1766,4032,36791,F
355542406,3,2,240,84,123,441,5325,37179,T
003927705,327,29,18966,84,113,2207,6129,36490,F
317065776,5,50,195,84,65,441,5411,37213,T
653851863,348,78,24012,84,107,2207,4339,36339,F
744081696,916,126,66868,84,208,883,4452,36276,T
198813216,33,27,3168,84,228,2207,3136,36936,F
219998312,866,94,20784,84,130,2207,4180,36562,T
955850309,243,40,14823,84,698,2207,4141,36703,F
