userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
489458465,1584,300,136224,767,1022,2617,8172,400709,T
859496724,460,96,40480,767,980,2093,10578,401211,F
025365258,312,49,20592,767,2624,523,11350,401501,T
568010301,420,46,17640,767,1082,2093,7958,401651,F
097643633,1184,173,73408,767,1455,1570,11142,401147,T
065793562,412,47,21836,767,1068,2093,5513,401618,F
844962965,306,52,14076,767,27772,1046,5445,400772,T
158443246,329,32,28952,767,722,2617,5551,401541,F
581388200,478,106,27724,767,1609,523,5279,401460,T
405644067,450,78,45000,767,2800,2093,5245,401538,F
054355043,423,53,15651,767,1286,2617,10877,401430,F
337743325,1063,188,56339,767,2282,2093,11008,400964,T
086055723,949,133,68328,767,1354,2617,5980,401185,T
045861727,375,98,8250,767,1782,2617,8662,401231,F
546408844,310,75,27900,767,1382,1046,11099,400878,T
056855646,433,55,37238,767,745,2093,10770,401107,F
028100687,290,22,21460,767,2221,2617,7803,401167,F
478322101,1059,143,45537,767,4565,523,11194,400908,T
049215551,344,77,28208,767,865,2093,6079,400830,F
769306857,1695,312,74580,767,1801,2093,8565,401550,T
470434385,422,97,13082,767,1436,1570,8300,400684,T
730911589,484,103,46464,767,2192,2093,8690,401518,F
376591242,341,18,19778,767,11902,1046,5757,401212,T
588186714,482,46,10604,767,991,2093,8688,401661,F
689708341,926,179,92600,767,1455,1046,10896,401141,T
601857779,168,25,5544,767,6665,2617,10989,401062,F
953198794,993,177,43692,767,1564,1570,10985,401369,T
902921584,310,103,11780,767,1872,2617,8522,401450,F
028764564,1058,161,60306,767,799,523,8635,401515,T
039893157,397,95,25805,767,1211,2617,5403,401287,F
072409516,1186,163,49812,767,22217,2617,8443,401461,T
999496931,450,34,30600,767,1338,2617,5793,401624,F
859360607,1682,354,47096,767,2709,2093,5193,400899,T
157899060,363,84,29766,767,1442,2093,8197,401482,F
700547622,1137,158,97782,767,13886,1570,10666,401268,T
739764200,505,72,35855,767,3029,2093,5601,401470,F
890622664,462,82,22638,767,778,2617,8202,400930,F
635930702,389,82,21395,767,985,1570,7869,401313,T
804252494,1551,347,46530,767,4900,2093,8707,401587,T
840097000,575,64,39100,767,1579,2093,5243,401537,F
022295264,1656,309,119232,767,1915,523,5863,401667,T
236214301,413,89,11564,767,1641,2617,7997,401345,F
763326157,1643,313,96937,767,7574,523,6081,401277,T
693922498,448,85,11200,767,2603,2093,6152,401464,F
323132369,266,55,19684,767,697,523,10948,401328,T
917500423,584,99,25112,767,2044,2093,5924,401078,F
384001412,265,35,25970,767,789,523,5483,401527,T
655040647,498,61,37350,767,994,2617,11303,401553,F
115008396,409,57,28630,767,753,2093,8232,401309,F
720830745,1166,132,95612,767,15869,2093,8183,401341,T
713011990,1016,183,73152,767,1071,1046,8272,400968,T
772110459,294,86,24696,767,757,2093,7966,401478,F
040356335,508,89,33020,767,1763,1046,6116,400844,T
685214098,348,53,7656,767,1000,2093,8402,401115,F
069259347,1129,148,59837,767,963,1046,8422,401286,T
748365618,385,105,31185,767,698,2093,5666,401252,F
535549627,246,56,6396,767,861,1046,8490,401538,T
757642496,198,33,19404,767,841,2617,10743,400673,F
408677941,278,52,22240,767,886,2093,5601,400885,T
028940432,427,82,35014,767,1821,2093,5207,401538,F
719292470,377,48,30160,767,748,1570,8144,400894,T
848385733,567,46,22680,767,678,2093,11419,401191,F
082662321,487,54,11201,767,983,523,8124,401670,T
479506259,496,64,27280,767,2032,2093,10879,401148,F
974956816,1673,345,140532,767,1296,523,11334,401062,T
230248555,509,69,19342,767,4900,2093,5774,401073,F
623618741,1003,171,39117,767,1700,523,5677,400836,T
001282910,220,26,8360,767,925,2617,11119,400789,F
414364159,1055,168,29540,767,734,2617,8511,401338,T
960878526,317,102,18069,767,2150,2617,6026,401277,F
992168732,1139,130,64923,767,888,2617,10758,400766,T
437635984,327,104,17331,767,692,2617,10451,401434,F
408614293,414,82,12834,767,3204,1570,11236,401062,T
318127400,377,79,24505,767,726,2093,10860,400690,F
905269533,401,60,30075,767,6408,1046,5859,400926,T
178995013,401,24,8020,767,669,2617,5790,401284,F
836221393,419,109,36872,767,5375,1570,11125,400835,T
068307529,533,72,49569,767,1507,2617,10930,401494,F
577152660,207,32,12006,767,968,523,5432,401344,T
660920314,231,50,11088,767,1317,2617,11167,401214,F
095506975,1537,312,63017,767,1185,523,5893,400815,T
289340887,520,108,52000,767,7405,2617,5564,400946,F
453736202,1188,126,59400,767,877,2617,10500,400883,T
089228782,512,49,36864,767,1096,2617,10773,400924,F
180183264,1552,330,127264,767,2975,2617,8272,400891,T
479176081,479,91,36404,767,771,2093,5870,401651,F
149303811,1100,145,67100,767,1557,1570,10570,401172,T
371357320,343,54,31213,767,1468,2093,6185,401301,F
127362784,1738,325,95590,767,1141,2093,10856,401431,T
040386413,561,89,56100,767,1617,2093,10894,401646,F
254720982,168,54,13944,767,1114,523,8799,401476,T
933997045,522,85,41238,767,1327,2093,10678,401514,F
211730428,211,46,5697,767,2544,1046,8349,400762,T
085672903,430,112,15480,767,3622,2617,10741,401472,F
133273475,1056,170,74976,767,852,2093,10598,401578,T
475047953,569,112,25605,767,1041,2617,8265,401187,F
129421629,396,115,9108,767,1726,523,8210,401023,T
426059023,353,97,35300,767,5375,2093,8103,401154,F
070318708,330,36,12210,767,4900,2617,7819,401078,F
919151437,1569,343,36087,767,1082,523,5752,400908,T
