userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
239312662,539,85,25333,72,248,343,1947,25475,T
107358214,1468,156,355256,72,2210,1030,1647,25639,T
858941108,1085,93,267995,72,565,1373,2304,24978,T
015543363,847,63,147378,72,311,1716,1295,25049,T
039928890,1801,196,68438,72,311,1030,1355,25205,T
323180820,897,116,94185,72,386,1373,1563,25273,T
781153753,435,72,107445,72,458,686,953,25053,T
797920190,61,43,13786,72,264,686,1504,24710,T
643476461,1274,194,216580,72,2210,1716,1659,24857,T
828496175,1671,214,404382,72,552,343,2083,25116,T
562473271,570,104,80940,72,243,343,2016,25038,T
979927280,596,116,65560,72,303,686,2151,25423,T
368917338,539,80,116963,72,1430,1030,1407,25562,T
709394609,2006,178,164492,72,1158,1373,1794,25617,T
373273748,1483,160,280287,72,426,1716,1228,24939,T
965780195,1075,142,151575,72,1351,343,1364,25385,T
929757191,479,94,71371,72,253,1030,984,25354,T
293035060,1504,172,36096,72,476,686,1328,24747,T
285308476,1794,195,77142,72,352,1716,2301,25595,F
190865354,538,104,43040,72,528,686,1517,24695,T
342203208,1362,149,243798,72,315,1030,1920,25408,T
615858598,1323,195,83349,72,419,1373,2161,25360,T
768817340,1889,221,134119,72,328,343,993,24938,T
672694624,1375,203,77000,72,759,343,1611,25423,T
600582617,338,68,47320,72,517,686,719,24934,T
037158897,686,126,135828,72,337,343,1339,24713,T
323661130,84,34,14196,72,419,1373,1962,25471,T
714328136,1839,204,314469,72,694,686,1326,25460,T
943520836,166,28,34860,72,675,1716,1897,25648,T
113913005,1222,150,62322,72,540,686,1268,25320,T
564558103,794,72,170710,72,540,343,1009,25668,T
498978446,1826,214,325028,72,4053,1030,985,25082,T
023867591,512,95,60928,72,675,343,1774,25655,T
521957153,1500,143,267000,72,426,686,1618,25434,T
283268082,786,78,157986,72,357,1030,1232,24739,T
197512829,748,126,129404,72,476,343,1405,24753,T
904929588,722,82,80142,72,442,1030,2222,25351,T
168768928,2007,164,196686,72,2431,343,1396,25036,T
802586330,1814,184,322892,72,261,1030,1606,25136,T
917483609,575,73,88550,72,243,1030,2324,25556,T
515655028,1869,175,69153,72,307,343,1469,24945,T
793729674,579,102,54426,72,736,686,1226,25237,T
800966685,794,83,81782,72,2210,686,1007,25245,T
748367287,1218,151,297192,72,315,343,854,25362,T
833143999,1266,149,217752,72,426,343,2195,25420,T
475021832,1644,193,126588,72,1519,686,1452,24961,T
453913022,1664,223,216320,72,392,1373,902,24815,F
764996906,128,1,12032,72,736,343,1518,25207,T
501330261,1658,235,106112,72,1013,1716,1176,25068,F
236092013,1288,195,203504,72,1279,1030,2315,25367,T
927993685,202,41,12524,72,245,1030,1614,25083,T
401428755,1702,242,374440,72,1105,1030,656,24844,T
784958075,1780,203,281240,72,972,1030,1283,24869,T
218320434,1823,178,402883,72,579,1716,1527,24670,F
350516937,1669,173,206956,72,1430,1373,1625,24778,F
779634319,828,99,185472,72,565,1030,1058,24734,T
665301392,360,76,81360,72,810,1373,1925,25004,F
318121653,13,6,741,72,273,1373,1191,24921,T
259347498,1914,238,417252,72,324,686,1656,25162,T
652791885,126,16,21924,72,352,343,1365,25261,T
916586890,1099,150,174741,72,2026,1716,1246,25283,T
290253510,1026,103,114912,72,1430,1373,1721,25275,T
627840511,1330,158,297920,72,392,686,1657,25357,T
398948229,1742,206,268268,72,282,686,1107,25465,T
177048391,1107,81,269001,72,264,1716,669,25173,T
019228296,1720,188,221880,72,784,1030,1660,24874,T
423833058,650,104,162500,72,810,686,1517,25400,T
654147058,124,27,18476,72,379,1030,1227,25211,T
794636987,954,95,96354,72,386,1030,1214,25128,T
681238318,901,97,197319,72,1430,1373,946,24761,T
687075827,536,133,28944,72,292,686,1146,25490,T
439112092,339,123,35256,72,342,1716,855,25236,F
707333967,1676,197,105588,72,565,686,717,25075,T
627962985,1280,156,313600,72,296,686,1389,25506,T
067906477,269,14,56221,72,374,343,1569,25011,T
914599522,1880,187,456840,72,3474,686,1889,25195,T
055248198,760,122,108680,72,286,343,832,25638,T
976185650,1256,157,211008,72,289,1373,1493,25478,T
195086940,6,1,108,72,2210,343,1908,25615,T
362694141,502,116,27108,72,2702,686,1334,24723,T
850783841,543,127,87423,72,379,1716,1535,25259,F
160850214,1255,175,52710,72,935,1373,870,25428,T
317480215,1108,111,200548,72,3474,343,1193,25584,T
847401303,24,30,4632,72,1105,343,1994,25023,T
600948880,1849,184,107242,503,1729,873,4281,109834,F
261414981,1821,208,309570,72,528,1030,2294,25404,T
115201824,344,115,25456,72,300,1030,958,24827,T
646943872,1320,213,133320,72,593,343,1199,25405,T
579090795,93,34,19716,72,868,1716,1673,24873,T
578314108,155,26,35185,72,307,1373,1378,24769,T
299933809,1507,159,322498,72,2026,1373,1576,25345,T
289841181,1293,180,93096,72,434,1716,1079,25479,T
495891262,1025,84,101475,72,311,1030,1710,24961,T
022721493,1747,188,235845,72,450,686,1529,25096,T
353740560,97,22,6208,72,324,1373,2249,25456,T
324320746,1705,207,356345,72,552,1373,1642,25016,F
478110625,113,1,18419,72,759,343,691,24806,T
056573653,1995,167,418950,72,2210,1030,1661,25550,T
609203733,771,94,158055,72,1057,1716,1601,25587,T
567976424,1497,149,53892,72,328,1030,1949,25644,T
630322421,1262,192,288998,72,2702,1716,965,24878,T
714717816,1810,217,224440,72,517,686,1933,25313,T
502289300,108,28,7128,72,3474,343,2142,25162,T
514712581,1274,167,151606,72,286,343,2043,25181,T
171058151,134,16,13936,72,736,1030,2010,24789,T
421289149,1253,183,171661,72,552,343,1606,25485,T
361009977,1400,170,57400,72,868,1716,650,24797,T
272048008,193,18,22388,72,3474,686,2219,25585,T
290048891,1109,102,112009,72,838,1030,1370,25362,T
362727990,1767,203,162564,72,300,343,1930,25622,T
704733295,390,91,92430,72,324,686,1812,25052,T
788507169,789,108,194883,72,972,1030,1919,25500,T
777124065,1653,191,119016,72,1215,343,1825,25280,T
789566414,1841,240,449204,72,759,1716,1796,25551,F
025765142,1354,165,239658,72,593,686,2102,25136,T
107160532,1801,233,205314,72,3039,686,1228,25191,T
619158340,1362,156,106236,72,296,1030,1183,24887,T
180435332,1290,191,145770,72,248,1716,1157,24921,T
513508647,1104,118,216384,72,2210,686,1793,25421,T
630064896,217,36,31682,72,286,1716,1976,25516,T
795566844,1829,238,47554,72,279,1373,1163,24854,F
580143604,1395,159,30690,72,273,1716,2024,25487,T
636028783,1694,232,259182,72,2210,686,1865,25112,T
528520499,1256,166,276320,72,315,343,1139,25420,T
916442663,1387,175,127604,72,267,343,1653,25133,T
176603809,1805,178,39710,72,2210,1716,1347,25372,F
308280559,694,132,165866,72,810,1373,2120,24955,T
820464926,895,62,141410,72,2702,686,1698,25001,T
615875711,1050,135,162750,72,1621,686,1082,25619,T
198406437,1716,198,279708,72,579,1373,1538,25532,F
746992350,488,106,5856,72,307,1716,1597,25334,F
725935731,819,76,83538,72,1737,1373,1521,25155,T
851389181,1736,183,225680,72,307,1716,1469,24980,F
506102580,134,45,14472,72,398,686,1002,24839,T
698414739,1642,177,155990,72,292,1373,1797,25516,F
301028084,61,19,4148,72,506,1716,780,24941,T
136838505,452,81,84072,72,784,343,2211,25128,T
715869824,110,1,17930,72,1430,1716,2193,24789,T
410068371,217,11,53382,72,1057,1716,803,24814,T
125358069,1382,187,176896,72,300,686,1697,25424,T
108345130,1445,166,140165,72,2210,1030,985,25190,T
265259914,334,118,26386,72,3474,686,1571,25663,T
445882390,257,33,29298,72,1057,1030,1121,25303,T
435591349,10,36,960,72,392,1030,1398,25241,T
317596206,989,192,212635,72,1870,343,774,25084,T
885669711,1104,124,157872,72,715,1373,1815,25220,T
415569894,1805,243,28880,72,593,1373,1663,25585,F
375517424,1326,203,304980,72,245,1030,2098,24788,T
168076596,1655,205,47995,72,434,1716,1761,25495,F
416607992,1935,181,431505,72,357,1373,1297,25129,F
613265985,820,95,199260,72,1105,1716,1518,25679,T
031138441,593,78,135204,72,458,343,1641,25172,T
773049179,1739,186,346061,72,337,1373,2285,25153,F
749577301,1784,178,151640,72,1621,1030,1343,24739,T
623868557,1002,82,242484,72,736,1373,1587,25551,T
714961923,1485,163,96525,72,2431,343,1976,24823,T
465335999,555,105,31080,72,328,343,2183,25420,T
561926670,1011,132,197145,72,1057,343,1295,24851,T
216099119,1763,213,222138,72,328,1373,1770,25301,F
619826365,1248,164,41184,72,506,343,690,25159,T
647426216,1855,186,341320,72,276,686,1256,25443,T
113797257,1226,145,257460,72,2026,686,1510,25515,T
896461515,81,47,8019,72,258,1716,995,25416,T
512924212,523,119,114014,72,392,1716,1511,25111,F
054624045,927,93,197451,72,264,343,978,24882,T
914489003,403,88,60047,72,838,686,1550,25477,T
141515413,30,33,3180,72,2026,686,835,25066,T
924539961,118,1,4248,72,303,1030,1597,25441,T
070022997,868,90,146692,72,657,343,1114,25673,T
934204917,1078,122,118580,72,784,1030,1058,25667,T
617166735,1901,199,41822,72,565,686,1148,24773,T
526960176,823,72,151432,72,900,343,1910,25028,T
329314871,499,117,91816,72,476,343,1265,25437,T
709974683,1793,207,247434,72,540,1373,1398,24855,F
010850563,103,36,25029,72,307,1030,1391,25620,T
237940181,1376,149,257312,72,593,1030,2266,25640,T
384503832,1647,223,125172,72,1519,343,1287,24819,T
991380083,1460,158,262800,72,900,1716,1229,25159,T
239796923,540,128,68040,72,270,1373,1146,25619,F
725133378,364,119,36036,72,450,1030,1451,25512,T
142496198,1676,226,373748,72,506,343,1913,24938,T
718995797,1659,180,38157,72,810,686,2021,25211,T
863813550,1822,222,333426,72,1621,1716,1423,24722,F
511676806,776,116,180032,72,398,1373,1112,24794,T
683943671,1916,184,427268,72,292,1030,1141,25428,T
772184967,690,104,138690,72,250,1030,1806,25227,T
736872492,828,127,175536,72,392,1716,2205,25158,T
163468030,62,49,1426,72,1279,1716,1185,24880,T
110780915,1942,169,120404,72,4863,1373,1660,24741,T
429059969,1256,163,84152,72,245,1373,1673,25035,T
719626218,261,34,14877,72,267,1373,1542,24854,T
160857120,221,1,9724,72,1057,1716,1346,25113,T
575223318,474,71,95748,72,267,686,1538,25241,T
929242564,1362,160,298278,72,868,686,1656,25570,T
317484702,180,1,7740,72,362,686,968,24812,T
335085327,620,90,31620,72,267,686,1960,25033,T
344324206,386,122,82604,72,392,1030,1821,25093,T
087853553,396,117,87912,72,1519,1030,1544,25294,T
727779423,97,21,3201,72,657,1373,1104,25149,T
956160369,408,73,88536,72,1105,686,1356,25194,T
074758340,1044,142,81432,72,352,686,1469,25557,T
719277339,1085,121,148645,72,1519,343,1407,25587,T
125009668,572,112,38896,72,4863,1373,1342,24787,F
538009239,885,79,93810,72,273,1373,1685,25493,T
570124423,106,33,14416,72,264,686,1587,25548,T
702869276,1023,100,198462,72,337,343,1509,24750,T
895541805,8,6,120,72,496,1373,1029,24981,T
111063797,918,91,97308,403,1769,1238,3873,99810,T
922006879,137,10,10275,72,506,1716,1631,25438,T
694808879,1836,218,135864,72,405,343,2136,25537,T
708103069,147,37,7938,72,342,686,1585,25005,T
914847952,494,103,79534,72,300,1373,1453,25025,F
828236816,1907,181,320376,72,623,343,2259,25517,T
322822585,1236,156,280572,72,900,1030,1707,25420,T
778998144,1456,149,165984,72,759,1030,1757,25560,T
260895013,1308,180,311304,72,258,343,1187,25061,T
494264317,898,115,62860,72,419,1030,1362,24729,T
640324445,1337,177,149744,72,579,686,2017,25168,T
612679102,112,1,19600,72,307,1716,1762,25371,T
945392865,490,105,55860,72,270,1373,2270,24833,F
592261846,644,120,119784,72,307,1373,1352,24824,T
277759309,241,34,27715,72,784,1716,1957,25347,T
380005810,1707,237,174114,72,368,1373,1628,25383,F
749221212,1438,163,79090,72,442,1030,765,25029,T
944781106,915,82,75945,72,243,1716,1015,25045,T
408099147,1343,210,188020,72,972,686,1236,25192,T
325526172,359,103,47388,72,347,686,1419,25451,T
498445688,684,91,153900,72,282,686,1135,25332,T
995976693,125,24,9625,72,386,1716,1791,24839,T
796294596,592,107,30784,72,1013,1373,2022,25200,F
602055510,71,8,4615,34,107,664,2272,5650,F
594759581,181,6,7421,72,307,1716,1225,24723,T
629108209,1331,199,238249,72,552,686,1794,25121,T
859021271,127,9,20447,72,419,1373,1969,24955,T
738146617,1750,198,287000,72,736,686,1532,25479,T
393968234,152,7,34048,72,607,1030,639,24901,T
313111515,455,130,72345,72,593,343,1261,25076,T
556881644,5,48,115,72,593,1030,1488,24670,T
210444084,1012,115,229724,72,784,1716,1169,25093,T
072220078,91,22,10829,72,759,686,1742,25380,T
238763283,1769,232,293654,72,506,1373,1370,25473,F
527976042,251,1,35642,72,1870,1030,1212,25078,T
481913031,624,115,95472,72,579,686,2003,24856,T
846116213,1263,173,23997,72,279,343,2169,25099,T
371980571,425,106,69275,72,496,686,1413,25451,T
710944408,855,117,198360,72,1430,343,1824,25261,T
696916209,1887,194,41514,72,675,1373,1536,25648,F
917369674,468,114,74880,72,324,1030,1407,25088,T
346992414,1475,150,368750,72,434,343,1870,24952,T
816637889,1695,225,200010,72,303,686,1804,25514,T
861674555,196,35,44688,72,1057,343,779,25463,T
653383986,1044,123,217152,72,357,1716,987,25173,T
