userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
991728288,1879,209,180384,72,53,1373,651,24799,F
900695679,1029,142,76146,72,236,1030,884,24994,T
677611916,1703,202,91962,72,196,1716,2280,25106,F
718088007,913,109,54780,72,1430,1716,1326,24833,T
118719521,626,92,38186,72,60,343,1213,25469,T
131884010,473,82,32637,72,276,1373,823,25122,F
489963319,1932,180,117852,72,292,686,1946,25528,T
033895627,537,133,26313,72,79,1716,1350,24677,F
699775886,362,133,27512,72,55,686,1829,24716,T
915504380,520,131,43680,72,150,1716,2009,25277,F
921899961,4,58,336,72,240,1030,1489,25017,T
967189675,556,99,42812,72,362,1716,1230,25589,F
342089331,1893,220,183621,72,58,1030,1657,24685,T
436646506,1834,212,56854,72,56,1373,2226,25433,F
472652221,487,91,25811,72,675,1716,803,24975,F
111605450,1290,199,79980,72,379,1716,800,25549,T
206669231,218,1,14388,72,58,1030,987,25418,T
420399611,1923,217,119226,72,115,1373,1169,25669,F
739614944,55,44,3850,72,172,1716,1559,24788,T
648828223,1836,236,128520,72,1621,1373,1033,24762,F
558344799,191,1,3820,72,101,1373,1365,25081,T
716937058,1797,227,59301,72,694,1373,767,25548,F
587700019,497,128,29323,72,810,1716,1841,25268,F
137068401,400,128,9200,72,253,1030,987,25122,T
579838799,218,4,21146,72,52,686,1794,25471,T
007574292,1679,215,73876,72,141,1373,1520,24773,F
079448692,450,66,13950,72,1737,1716,804,24862,F
117794701,1841,202,184100,72,125,343,1854,25445,T
592115129,1280,184,108800,72,55,1373,1353,25087,T
645442142,1793,177,134475,72,56,1373,1568,24937,F
038535187,1386,143,84546,72,142,343,1157,25316,T
286476543,533,134,44239,72,79,1373,1129,24738,F
973310140,1249,161,94924,72,3474,1373,997,25615,T
159622800,1763,174,149855,72,56,1716,1499,24761,F
669424264,233,31,18407,72,55,686,1536,24704,T
425365256,517,95,36707,72,141,1373,1449,25299,F
052604175,1029,156,76146,72,238,343,1254,24892,T
406123735,1666,202,73304,72,217,1373,2045,24814,F
068097009,1486,153,138198,72,86,686,1595,25039,T
378616579,1719,192,113454,72,80,1716,1205,25509,F
196385174,151,48,8003,72,74,1373,2260,25560,T
719466197,355,87,17395,72,62,1373,1002,25229,F
547344485,1639,187,131120,72,405,1373,1196,25410,F
907425729,1259,171,109533,72,145,1030,1657,25368,T
240802858,932,97,90404,72,100,1030,1984,24935,T
294745717,400,75,29600,72,68,1373,2136,25325,F
535048608,216,20,8640,72,98,343,2073,25312,T
242946454,1883,177,154406,72,59,1373,1187,24826,F
434463263,1487,158,57993,72,72,1373,1907,25637,T
610630964,1699,183,166502,72,110,1716,1973,24810,F
078462748,10,46,250,72,87,1030,1531,24959,T
883027872,542,71,13550,72,67,1716,1383,25424,F
267024051,1864,180,50328,72,62,1030,1205,25067,T
674996500,372,103,34224,72,412,1716,2061,24689,F
132503994,512,120,49664,72,84,1716,1004,25613,F
079445426,256,9,25600,72,54,1030,1090,25596,T
254414526,1672,185,167200,72,146,343,1878,25602,T
459044970,452,115,38872,72,49,1716,1177,25648,F
843274294,1798,176,84506,72,71,1373,1371,25086,F
860886073,1744,232,76736,72,426,1030,1685,24919,T
911871265,599,120,29950,72,75,1716,1284,24825,F
950258584,1490,158,138570,72,60,343,1767,24839,T
483185017,1226,193,33102,72,52,343,1280,24824,T
375748210,1908,224,80136,72,57,1373,1052,25329,F
649995792,1380,213,45540,72,126,1716,1044,25503,T
639949570,515,135,35020,72,311,1373,1336,25104,F
222463281,22,58,858,72,405,686,2310,24993,T
522137590,605,88,46585,72,65,1716,1546,25510,F
915099056,1649,177,97291,72,85,1030,742,25139,T
533666566,391,98,16031,72,96,1373,2122,25526,F
238456504,1862,182,50274,72,139,1030,2007,25480,T
987001575,595,109,41055,72,50,1373,1148,25447,F
052421182,1360,148,99280,72,86,1030,939,24747,T
477646378,1790,207,68020,72,122,1373,2146,24853,F
956258688,1260,194,49140,72,111,343,1768,24806,T
141262234,368,127,19872,72,342,1373,1577,25270,F
608968649,193,43,11773,72,56,343,1560,24865,T
472919835,1912,219,128104,72,136,1716,871,24803,F
660175972,563,93,36595,72,196,1030,1601,25136,T
668777921,576,121,44352,72,115,1716,1352,25422,F
130684493,368,91,16560,72,142,1030,1443,25167,T
298020986,564,70,53016,72,77,1373,1356,24762,F
594004630,1275,184,38250,72,240,1373,1577,25410,T
090308078,1809,200,45225,72,51,1716,1551,25573,F
950892964,530,109,41870,72,59,1716,1769,25101,F
444338368,1709,227,37598,72,715,686,1170,25154,T
285021937,229,39,9389,72,70,343,1798,24983,T
529041992,488,93,45872,72,50,1373,1246,25346,F
104326877,1720,182,80840,72,103,343,1938,25243,T
887197214,521,83,20840,72,75,1716,1287,25284,F
659788297,1,10,43,72,528,1373,1924,24758,T
790130466,1812,234,130464,72,53,1373,1350,25162,F
567086142,813,80,60975,72,1621,1030,1891,24684,T
362948144,458,75,40762,72,53,1373,2275,24745,F
457116428,226,41,15368,72,176,1030,924,25094,T
771548537,494,85,27170,72,110,1716,1475,24689,F
468129123,343,71,29155,72,130,1716,2251,25328,F
740242538,1091,83,65460,72,151,1716,1149,25207,T
372018535,239,27,5258,72,225,343,766,25532,T
075784454,1777,197,140383,72,70,1716,994,25537,F
