userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
211446200,1106,123,68572,322,2738,2220,11747,178135,T
290302789,227,68,20657,322,1760,1665,11369,178683,T
562030267,1548,181,253872,322,5688,2775,8919,178503,T
176122020,1247,152,164604,322,1493,1110,11967,177853,T
763624563,221,48,18785,322,4481,1110,11538,178612,T
220593111,1785,175,19635,322,1803,2220,11061,178431,T
745379764,1610,170,260820,322,1699,1665,5705,177876,T
462186179,1063,167,149883,322,5688,1665,6339,178351,T
194650784,1802,188,115328,322,5282,555,8596,177957,T
669805922,1660,205,393420,322,2899,1665,6283,178065,T
217752048,301,33,73745,322,2957,1110,6041,178418,T
766461936,294,79,57918,322,1739,1110,9320,178202,T
441403491,1571,188,344049,322,4108,1665,11692,178721,T
894787107,242,17,4114,322,1625,2220,8616,178782,T
261407362,263,54,14202,322,2957,1665,6529,178687,T
039794552,1156,98,53176,322,1540,2775,5613,178707,T
048387327,1545,231,230205,322,9243,1665,5769,178539,T
096848948,978,116,117360,322,3018,2775,8914,178436,T
776948118,1081,168,102695,322,1625,1665,9279,178314,T
147965677,1697,230,375037,322,16432,2220,8521,177792,T
471009831,273,48,28119,322,5099,1110,9164,177845,T
027054694,1482,187,340860,322,2738,1665,11595,178206,T
522553457,381,26,13716,322,1493,2775,5821,178236,F
321451163,1865,187,61545,322,2844,555,6461,177872,T
680710177,1038,112,146358,322,1825,1110,6298,178223,T
022361019,251,57,55471,322,21128,555,12090,178604,T
183683902,1224,101,276624,322,1607,555,6375,178432,T
639871134,1559,221,378837,322,2464,1110,8510,178526,T
203874985,1543,217,356433,322,6162,1110,11738,178105,T
447997811,236,34,24072,322,2385,1665,11833,178081,T
347695392,291,75,52089,322,2957,2775,11722,178426,F
901891252,427,13,32452,322,2240,555,6376,178479,T
132251316,1442,212,298494,322,2689,1110,11827,178517,T
702780757,1581,214,281418,322,4349,2220,5730,178095,T
069648731,1770,164,173460,322,1920,2775,11611,178362,F
656302105,269,65,29052,322,6722,2775,11299,178417,F
936384344,399,73,41895,322,1760,555,11309,178401,T
602695555,1658,217,38134,322,1524,2220,6161,178131,T
275642797,145,14,24215,322,6722,2220,6195,178272,T
739387749,247,49,25441,322,2385,1665,5538,178223,T
187263064,1083,135,253422,322,1493,1110,12012,178049,T
628936029,1132,134,223004,322,2790,555,11252,178601,T
723266281,1088,162,191488,322,12324,1110,9125,178717,T
148167367,163,70,4238,322,1680,1110,11869,178668,T
159338727,1133,123,139359,322,7394,2220,11385,178614,T
051535537,1215,139,100845,322,29579,1665,6405,178246,T
194864979,1674,209,256122,322,2385,1665,6121,178040,T
647249968,1128,106,51888,322,2790,555,11390,178351,T
223221497,1068,155,136704,322,1493,1665,6085,178080,T
286126233,1178,115,184946,322,2957,2220,8608,178707,T
325515136,1059,146,74130,322,18487,555,8756,177879,T
042696137,1086,159,254124,322,2424,2775,11546,178133,T
703955623,1020,115,227460,322,8216,1665,9323,177858,T
508748428,991,159,41622,322,6162,555,9181,178664,T
069239577,156,22,24336,322,10564,2775,8687,178658,F
474663065,1658,188,189012,322,5688,1665,6415,178571,T
844190172,1656,210,337824,322,11376,555,9268,178650,T
253795753,1642,219,325116,322,1998,1110,6033,178014,T
051529631,377,30,56927,322,2549,555,6394,178377,T
145441895,1547,231,194922,322,3439,2220,6101,178679,T
326122113,1698,192,183384,322,1998,1110,8828,177923,T
394069759,1781,171,183443,322,1680,2220,11810,178459,T
441279228,964,115,169664,322,2275,555,8973,178479,T
608496504,237,29,37920,81,1307,994,3155,40260,T
041455760,1146,127,275040,322,1643,2775,11132,178403,T
719464509,1562,198,359260,322,1540,555,11340,177835,T
703038763,1139,135,60367,322,5915,1110,6284,178669,T
231666502,153,77,5355,322,5099,2775,9110,178549,F
185261397,1703,158,54496,322,2143,2775,9109,178071,F
361263575,171,14,36765,322,2310,2775,5607,178206,F
218374765,1794,201,111228,322,1719,2220,6528,177844,T
188880255,1031,146,239192,322,1493,2220,11570,178608,T
762833292,1537,188,365806,322,1946,2775,5975,178733,T
499206959,1169,136,192885,322,1739,555,8757,177922,T
051442113,1032,121,241488,322,1719,1110,5744,178607,T
209952318,1011,148,37407,322,29579,1665,6204,178589,T
536009209,335,71,47235,322,4770,2775,11634,177806,F
572821619,1624,207,185136,322,4929,1110,9245,178052,T
043648632,218,66,39458,322,3892,1110,5892,177952,T
205270901,1051,125,78825,322,5099,1665,8433,178110,T
413237729,378,72,48006,322,1590,1110,6229,177941,T
479514592,1038,134,258462,322,2549,2220,6130,178335,T
893537670,1426,230,313720,322,8216,1110,12010,177888,T
482140391,1546,239,265912,322,3361,2775,5977,177840,T
518329215,370,77,46250,322,1946,1665,11719,177950,T
916509473,1678,215,407754,322,1781,2775,8492,177859,T
842028961,381,73,38481,322,1590,1110,11933,178471,T
202797141,167,53,36740,322,13445,1110,5833,178016,T
490020908,1127,126,137494,322,2641,2220,11609,178015,T
579148383,411,44,92475,322,1540,1665,12021,178012,T
287261465,1704,163,52824,322,6430,1110,9190,178697,T
946260179,1550,179,204600,322,1643,2220,5548,177974,T
