userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
271865393,1095,101,105120,322,778,1665,8550,178658,T
190910893,1648,172,110416,322,912,2775,8366,178121,F
169187309,1800,166,153000,322,608,2775,5860,178019,F
360559914,1821,215,96513,322,421,2220,9229,178191,T
611927970,1020,119,42840,322,869,555,8849,178382,T
586465700,1890,172,139860,322,339,2775,8362,177788,F
986196517,1213,130,94614,322,518,2775,8831,177926,T
176986753,1890,165,139860,322,301,2775,5897,177819,F
239522645,219,69,16425,322,790,2220,6132,177956,T
408231394,1876,207,91924,322,582,2775,11993,177996,F
319153319,177,15,7434,322,1087,555,11284,178483,T
515532213,1874,204,185526,322,438,2775,5759,178735,F
011360710,1036,119,47656,322,586,1665,9005,178690,T
032282153,224,38,9184,322,339,2775,9238,178187,F
816882256,222,72,13542,322,596,2775,5871,177852,F
835747088,1890,210,128520,322,624,555,5939,177857,T
449657577,168,71,8736,322,437,1110,8680,177961,T
669197532,206,63,7622,322,1155,2775,8999,177841,F
623514054,1877,208,91973,322,344,2220,11568,178135,T
693864402,163,23,6031,322,1464,2775,6068,177814,F
779386039,398,64,19502,322,728,1110,11492,177901,T
282900177,1739,207,137381,322,511,2775,6283,178406,F
905937477,1026,165,51300,322,634,1665,11191,178149,T
881284124,1929,212,90663,322,390,2775,11733,178490,F
316031953,173,75,3460,322,433,1110,6326,177997,T
845662936,1895,194,115595,322,537,2775,11782,178185,F
443737596,1722,154,120540,322,303,555,8685,177836,T
680688386,306,60,18972,322,402,2775,5541,178198,F
037941153,996,143,85656,322,483,1665,6118,178406,T
594403957,425,71,21250,322,374,2775,12035,178005,F
526252253,1049,104,78675,322,1680,1110,9125,178104,T
514484835,276,44,6348,322,504,2775,5517,178444,F
699876660,240,25,10560,322,468,2775,11844,178740,F
981047858,160,30,15200,322,835,1110,11940,178596,T
962135996,1828,170,104196,322,1590,1110,11598,178539,T
569901812,1885,216,152685,322,1643,2775,6309,177932,F
681456050,1139,110,39865,322,666,1110,6461,177909,T
528703977,1714,184,89128,322,1286,2775,8768,178357,F
721893289,986,164,59160,322,324,1665,5609,177937,T
741249713,1768,209,104312,322,453,2775,11467,177977,F
941015670,280,35,14560,322,826,1110,8333,178571,T
068530958,340,46,15300,322,591,2775,11118,178568,F
108474572,289,22,22542,322,651,555,11063,178260,T
922308995,214,75,17762,322,543,2775,6310,178360,F
941829594,1788,205,41124,322,312,555,5983,178399,T
903889180,283,46,8207,322,488,2775,6474,178360,F
503482916,1007,166,56392,322,826,1110,9152,178121,T
176903071,194,43,12804,322,541,2775,9016,178510,F
893666051,301,69,13846,322,366,555,5893,178535,T
897197368,1731,168,121170,322,2738,2775,8347,178607,F
921868343,1076,123,36584,322,1478,1110,9072,177889,T
576957460,267,77,21627,322,651,2775,5906,177970,F
245180563,1659,177,63042,322,717,1110,8946,178119,T
664312664,420,51,28980,322,336,2775,5818,178744,F
105419282,1163,145,84899,322,1896,2775,9233,178016,T
491607142,1827,163,180873,322,558,2775,6066,178286,F
989948410,1814,211,168702,322,437,1110,11081,178285,T
636735144,321,61,20223,322,1607,2775,5864,177925,F
562508923,372,51,26040,322,448,2775,8580,178094,F
072976605,382,46,21774,322,300,1665,8537,177806,T
196573403,413,51,40061,322,509,1665,11872,178779,T
971520608,298,39,28608,322,364,2775,11699,178446,F
249836317,1054,98,61132,322,774,2775,5632,178447,T
674659159,1875,200,63750,322,869,2775,8991,178693,F
299962469,1847,163,179159,322,335,2775,5879,177790,F
425104993,1072,123,54672,322,608,1665,6034,178117,T
823693699,1900,181,140600,322,582,1665,8601,177885,T
598183084,421,58,9683,322,310,2775,9261,178407,F
709786934,1678,155,70476,322,14789,555,6347,178673,T
717913518,150,62,7350,322,338,2775,5956,177966,F
813764895,972,165,94284,322,1308,555,11540,178713,T
924427663,1868,170,112080,322,489,2775,8765,178221,F
739740949,992,154,40672,322,343,2220,6335,177868,T
899783953,1811,204,162990,322,459,2775,9122,178273,F
285542872,168,58,11424,322,948,1110,11758,177877,T
585783931,1678,208,134240,322,948,2775,6062,178350,F
953888404,1878,199,84510,322,2844,2775,6393,178722,F
790919694,1749,212,66462,322,782,2220,11571,178509,T
553530848,1794,202,39468,322,307,1110,8522,178543,T
045342706,277,69,12188,322,1041,2775,8731,178083,F
104610220,1190,119,55930,322,573,555,11220,178000,T
798403557,161,28,7406,322,721,2775,11619,178469,F
631667391,285,10,23370,322,304,2220,11635,178526,T
896180793,1703,167,57902,322,414,2775,6127,178559,F
691582677,1837,206,117568,322,342,2220,8463,178752,T
711145467,200,32,17000,322,506,2775,6007,178269,F
502701793,1728,190,36288,322,395,2775,11978,178635,F
934750503,374,27,29546,322,478,555,11460,178278,T
400920853,188,15,11468,322,437,555,8550,178563,T
549111186,199,41,15920,322,398,2775,6258,178308,F
158879496,159,9,3498,322,1103,2220,5799,178525,T
969866234,312,20,17472,322,1395,2775,6496,178129,F
710896972,212,46,20564,322,566,2220,11989,178087,T
313162925,433,20,31609,322,325,2775,12087,177928,F
520774223,418,46,37620,322,2112,1665,6376,178304,T
710236340,237,17,5688,322,323,2775,11452,178703,F
908277730,1927,195,80934,322,1041,555,6284,177813,T
019114439,358,28,21838,322,3361,2775,8496,177821,F
423852009,204,61,7344,322,408,2775,6130,178294,F
673776165,418,45,15466,322,5915,2220,8802,178416,T
