userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
992003441,131,30,17030,650,2675,331,4683,215549,T
047753089,1143,230,64008,650,2780,662,3702,215136,T
049840882,399,4,29925,650,6604,993,2105,215679,T
047391095,1410,229,33840,650,30191,1655,4556,215021,T
851033531,378,63,72198,650,2780,662,3341,215609,T
605619194,1724,334,293080,650,4696,1324,4415,215097,T
058324744,1383,210,106491,650,3107,331,4268,215132,T
992722035,1142,193,131330,650,10063,1655,2860,215765,T
130085134,209,67,23199,650,2895,1655,2091,215668,F
225446376,1119,246,182397,650,2675,1655,4231,215494,T
705586636,1189,119,77285,650,2609,331,4129,215591,T
408173116,1262,242,82030,650,5031,993,4297,215521,T
670774224,1331,247,58564,650,4696,1324,2400,215077,T
323656949,1255,198,130520,650,4496,1655,2448,215553,T
161558995,1173,219,32844,650,2201,1324,2709,215620,T
611528719,1106,101,63042,650,7287,1324,4968,215081,T
706862087,1719,307,89388,650,6604,1324,4885,215193,T
489625122,360,26,12960,650,3202,662,4287,215104,T
379230950,240,52,51360,650,3251,1324,3379,215712,F
341593094,1681,337,408483,650,21133,1655,4008,215850,F
470519971,1665,310,279720,650,3987,331,4116,215788,T
570281692,225,20,23175,650,3408,993,4865,215099,T
884750709,1042,112,96906,650,2744,331,2062,215514,T
566428668,1672,325,349448,650,2976,1655,3365,215026,F
497492014,1227,208,260124,650,23481,993,2447,215791,T
148534004,1650,339,328350,650,6038,331,2398,215525,T
945102734,1597,329,174073,650,2935,331,3032,214985,T
400369303,1196,196,293020,650,2976,662,3359,215364,T
855786518,1686,365,210750,650,21133,993,3945,215257,T
900437053,1782,305,306504,650,5561,993,2185,215136,T
103419568,1328,221,159360,650,2486,662,4389,215526,T
301343469,1779,345,430518,650,12431,993,4366,215290,T
435678224,276,61,52992,650,2201,331,4534,215225,T
209044723,260,69,16380,650,3707,662,2976,215233,T
338819451,1291,122,15492,650,2577,1655,4193,215558,T
657171411,305,52,7930,650,3913,331,4710,215529,T
411084752,292,33,21316,650,35222,662,4808,215057,T
100104247,1397,213,160655,650,2641,662,2458,215714,T
268914502,343,41,31899,650,3019,662,3946,215838,T
865612577,1715,352,101185,650,3464,993,3586,215277,T
442150398,1541,358,192625,650,9188,1324,4755,215798,T
706453719,1582,346,105994,650,8128,1655,3064,215921,F
706228569,1511,311,258381,650,2156,1655,2625,215915,F
593817980,1211,182,36330,650,8128,331,2742,215849,T
294098170,114,28,17214,650,2744,331,4760,214934,T
494538507,1163,226,133745,650,2322,331,4045,215200,T
214018959,1713,312,330609,650,3202,993,2322,215614,T
258272264,391,45,88366,650,2641,1324,3695,214949,F
665355420,208,69,32656,650,2780,331,2952,214914,T
300121837,147,51,11172,650,17611,1324,4616,215754,F
814126494,293,20,72957,650,6817,331,2101,214930,T
137367928,1640,301,275520,650,35222,662,2664,215796,T
072314474,1388,213,62460,650,3913,331,4489,215730,T
520863031,1129,98,189672,650,2201,662,3173,215278,T
373169974,1635,319,340080,650,13208,1655,4017,214959,F
948889735,190,14,3990,650,13208,662,3899,215809,T
034967899,158,31,39500,650,2272,993,2752,215215,T
966663624,1501,305,36024,650,2201,662,2714,215022,T
525690702,1277,96,60019,650,15095,1655,4353,215242,T
390451599,322,24,4508,650,17611,993,2578,215349,T
926379272,1761,297,102138,650,4313,331,2321,215008,T
029523229,1256,222,104248,650,3643,1324,4754,215446,T
025068741,1742,343,203814,650,23481,993,4770,215810,T
172934336,1076,114,216276,650,2780,993,3695,215788,T
494858159,1727,355,60445,650,3581,1324,4525,215739,T
658944149,1774,333,397376,650,3987,1655,2123,215705,F
607106120,1175,202,21150,650,2272,662,4584,215060,T
564496497,1579,331,173690,650,2780,1655,4922,215528,F
162199602,1166,183,92114,650,5711,662,2367,215546,T
798395890,1085,147,46655,650,2546,1655,3265,215541,T
721636342,1196,185,205712,650,4064,1655,2764,215606,T
968558959,1513,366,37825,650,3202,1324,2127,214928,T
476788486,387,30,40635,650,5154,662,2608,215662,T
451849495,373,23,57442,650,7287,1655,3692,215714,F
005699289,400,68,58400,650,5418,993,2020,215021,T
736893070,1311,105,15732,650,2457,1655,4401,215320,T
088282437,238,38,42602,650,8453,993,2074,215193,T
215524821,274,44,25756,650,6215,1655,2341,215696,F
623385306,1755,366,100035,650,2486,662,4360,214958,T
976216682,1574,357,198324,650,5711,993,3660,215628,T
837329618,1200,184,188400,650,2817,1324,3742,215067,T
612177956,364,38,27300,650,5154,1324,2764,215289,F
708087613,1130,130,13560,650,6404,993,3632,215221,T
686747635,1307,216,122858,650,3302,1655,2553,215080,T
188855373,281,47,55357,650,2113,1655,4194,214936,F
242149165,1158,145,22002,650,6038,1655,3525,214976,T
664444270,1409,194,157808,650,3522,1655,3199,215062,T
173893875,183,46,38064,650,14089,662,3293,215860,T
427268594,1602,302,275544,650,17611,1655,3285,215627,F
368358687,1549,333,362466,650,3302,1655,4425,214978,F
833369810,1637,330,73665,650,6038,1324,3994,215350,T
436869254,1775,354,330150,650,2675,331,4468,215502,T
989635304,1195,120,11950,650,3154,1324,4324,215873,T
190070376,1764,300,72324,650,3987,1655,2212,214965,F
094737778,1603,325,214802,650,6404,993,2925,215387,T
065452357,1066,114,11726,650,6817,1324,4124,215345,T
066059624,1241,189,136510,650,4226,662,3445,215811,T
567678797,132,50,1584,650,10063,1324,4064,215069,F
129659448,1318,241,71172,650,8128,993,2227,215016,T
516737005,1353,207,147477,650,2780,993,2497,215620,T
750608404,299,41,12259,650,14089,1655,4116,215340,F
024714176,1119,230,12309,650,10566,662,2760,215251,T
483079618,282,70,43428,650,4696,662,4937,215709,T
877228286,1605,297,136425,650,12431,993,3024,215390,T
626262646,305,64,32025,650,15095,993,4571,215518,T
172691634,1536,357,188928,650,2744,331,4082,215244,T
254998941,1713,310,65094,650,7827,1324,2532,215218,T
432325612,1589,301,147777,650,3062,1655,4217,215459,F
362990107,1256,211,115552,650,2780,662,4457,215201,T
352691645,260,50,12480,650,3154,1324,3233,214961,F
327004997,408,54,23256,650,12431,1655,4785,215438,F
893364185,1120,245,49280,650,2780,331,1952,215344,T
869776681,1341,203,109962,650,3354,662,3152,215032,T
894725147,1201,103,14412,650,17611,1655,2063,215344,T
497643279,1259,227,90648,650,3202,662,2093,214948,T
251423837,413,70,9499,650,16256,1324,4444,215528,F
861098721,1129,102,39515,650,10063,993,3921,215701,T
622082551,1522,301,229822,650,21133,331,3427,215191,T
036068163,1573,365,371228,650,2675,1324,4378,215722,T
921373212,1067,99,189926,650,2113,1655,4401,215504,T
635839087,286,6,38896,650,2297,662,4590,214986,T
120023368,1310,103,64190,650,3062,993,4348,215657,T
704075848,1761,311,316980,650,2348,1655,4668,215900,F
985490882,122,9,14274,650,2156,662,2802,215071,T
