userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
755834241,1240,191,94240,650,600,993,3242,215058,T
615480242,1645,361,98700,650,1072,1655,3510,215532,F
531268838,1088,107,47872,650,498,1324,3093,214984,T
889194649,367,61,28993,650,435,1655,3465,215217,F
606427872,1144,108,27456,650,521,993,4750,215852,T
997304489,130,49,2730,650,1118,1655,2323,215087,F
557914195,1322,102,33050,650,557,331,4968,215510,T
667794060,1511,339,81594,650,2201,1655,4325,215133,F
790137202,1229,231,100778,650,1704,1324,4677,215307,T
204219655,207,60,15732,650,529,1655,4588,215420,F
307655504,187,71,8415,650,1531,1324,3349,214977,F
390617136,1779,350,115635,650,731,662,3322,215594,T
055297825,1374,249,120912,650,2374,331,3864,215624,T
101307128,218,10,17876,650,2071,1655,2432,215081,F
520461298,1397,199,94996,650,2546,331,2333,215589,T
076703252,329,60,26649,650,1280,1655,3956,215794,F
152136105,326,18,24450,650,436,1324,4144,215675,F
663288418,1544,298,128152,650,483,1324,2977,215203,T
984422183,1574,321,67682,650,1821,993,3105,215573,T
041084162,1543,359,109553,650,960,1655,3905,215335,F
713263859,1740,366,97440,650,1542,1655,4749,215547,F
925771678,1787,308,128664,650,762,662,2156,215752,T
158188191,1195,227,63335,650,2272,1655,3180,215586,T
008313318,223,63,16948,650,3707,1655,4166,215760,F
647247430,1732,343,55424,650,873,993,4213,215478,T
013318113,346,9,34254,650,754,1324,3923,215042,F
708511178,1132,203,40752,650,1346,1655,3330,214972,T
581510432,322,59,11592,650,1161,1655,2031,215895,F
074686913,1410,211,83190,650,1072,331,2942,215006,T
448745273,1688,348,121536,650,2032,1655,3098,215769,F
545370996,345,50,22425,650,960,662,3628,215067,T
635614359,1674,304,92070,650,619,1655,3647,215349,F
409011418,1158,226,107694,650,426,993,4089,215383,T
926374892,303,17,28179,650,2744,1324,3318,215391,F
160903649,408,46,32640,650,473,1655,3442,215582,F
830682712,1284,109,82176,650,688,1655,2513,215494,T
942436196,1130,190,53110,650,1214,331,4516,215284,T
651026992,1628,355,48840,650,565,1655,2549,215512,F
719959279,156,60,10920,650,501,993,2923,215484,T
491692532,405,45,34020,650,480,1655,3286,215324,F
632416879,1698,353,83202,650,656,993,4571,215650,T
027288779,330,27,12210,650,1304,1655,2681,215345,F
650439954,1155,240,34650,650,3522,1324,4812,215608,T
982152596,178,35,10146,650,1790,1655,4900,215675,F
282259482,375,53,25875,650,731,993,4595,215723,T
313278178,378,20,32508,650,3302,1324,2137,215584,F
946839944,1693,315,162528,650,444,1324,2878,215486,T
132360219,1530,303,96390,650,711,1655,4199,215147,F
399387914,1304,209,41728,650,503,993,2725,215553,T
863552151,1673,304,137186,650,1154,1655,2389,215532,F
073170681,1774,332,149016,650,572,1655,4286,215154,F
039924267,1356,203,65088,650,845,1324,2733,215679,T
849515111,339,7,17289,650,1214,331,4871,215639,T
302929508,347,52,33659,650,819,1324,4413,215183,F
631808548,1620,336,132840,650,791,1655,2428,215003,F
730984660,1177,191,103576,650,1167,331,4133,215168,T
386027117,1248,126,61152,650,463,993,4747,215823,T
037073012,1550,364,65100,650,2071,1655,4696,215740,F
830047690,264,32,19272,650,464,662,2525,215595,T
612348636,281,50,9273,650,452,1655,3782,215078,F
475245814,1234,225,119698,650,441,331,4451,214956,T
977870047,162,34,14256,650,731,1324,2855,215128,F
009862775,1350,245,103950,650,23481,993,3670,214999,T
784718715,1535,315,49120,650,437,1655,2855,214955,F
454658036,1518,352,142692,650,512,662,3964,215258,T
035236225,411,62,25893,650,973,1324,3932,215248,F
385764533,1658,360,152536,650,7044,662,2870,215169,T
995507151,1756,336,126432,650,598,1655,2099,215581,F
405975280,1083,108,53067,650,441,331,2945,215193,T
952067222,272,71,14144,650,1821,1655,3312,215630,F
280245735,1759,324,45734,650,666,1655,2459,215625,F
586711795,1103,111,83828,650,841,662,3437,215035,T
883408624,411,11,18084,650,1553,1655,2952,215472,F
377218137,1412,227,83308,650,9606,331,2217,215391,T
129768776,1647,327,67527,650,1118,331,2119,215723,T
941415260,284,53,22720,650,548,1655,2424,214948,F
526460263,1523,365,126409,650,3062,1655,2071,215626,F
546524933,1161,112,67338,650,956,1655,3491,215593,T
925083704,1673,355,112091,650,785,1324,3967,215877,T
910712825,168,49,12432,650,4313,1324,4450,215725,F
868790874,1338,214,29436,650,969,1655,2680,215655,T
857429238,1672,364,113696,650,1288,1655,2010,215652,F
978938562,1072,135,46096,650,978,662,4417,215224,T
236161196,240,29,14160,650,1447,1324,3626,215304,F
857537189,1076,147,29052,650,2429,1324,2150,215577,T
298152220,1500,330,90000,650,835,1655,3386,215618,F
949047997,1130,110,41810,650,1221,993,3480,215379,T
912498110,1537,324,102979,650,537,1655,3967,215487,F
204161667,1118,186,105092,650,580,662,3666,215144,T
974779619,328,64,26896,650,1870,1655,1988,215865,F
598449844,141,18,12126,650,1078,1324,2325,215274,F
847090654,1411,232,67728,650,5154,1655,4379,215513,T
897831819,122,71,9272,650,692,993,4954,215817,T
430288833,254,72,7112,650,1975,1324,4613,215539,F
424155963,1125,151,95625,650,548,1655,2224,215060,T
553161251,1509,355,57342,650,540,1655,2022,215631,F
230691764,1170,218,25740,650,866,993,2064,215551,T
696116153,1588,304,125452,650,760,1655,3112,215899,F
666481111,1546,306,153054,650,3464,1655,3360,215058,F
504216437,1315,102,52600,650,499,662,4836,215460,T
