userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
403251857,306,43,66708,608,16287,767,1493,233148,T
989424154,1629,331,314397,608,8770,1919,1717,233142,T
816716945,2094,233,140298,608,4222,1151,2370,233397,T
222931821,1610,317,397670,608,8770,767,803,232943,T
606439784,1140,169,271320,608,4851,1535,2388,232558,T
967835893,1595,341,293480,608,4560,1919,1018,233316,T
049140800,1369,176,82140,608,2400,767,985,233090,T
172446422,241,1,18557,608,2375,1919,1577,233422,T
706012063,1365,166,174720,608,4653,1535,923,233527,T
181336316,1199,134,250591,608,2303,1919,1958,233058,T
744683152,1511,355,312777,608,5302,1535,1682,233350,T
271603156,1524,303,106680,608,14251,1919,1871,233432,T
858066710,748,123,35904,608,8770,1151,990,233073,T
848618701,1262,164,73196,608,5302,1535,1569,233008,T
003852008,1068,134,212532,608,45605,767,2136,232615,T
855071990,1991,196,352407,608,2375,1919,2082,232882,F
830223365,2147,208,326344,608,3738,1151,2074,233196,T
857851477,1923,182,473058,608,5700,1151,1867,232628,T
963618922,647,123,14234,608,11401,383,2300,232974,T
519465081,671,163,67100,608,9501,383,2519,233289,T
194772577,1742,302,188136,608,4145,383,1848,233501,T
495671710,284,47,25844,71,3230,1696,7664,30117,F
258771208,723,132,15183,608,2961,1535,2049,232843,F
481812811,549,101,26352,608,2714,1919,1691,233291,F
602627059,1886,218,469614,608,9914,1535,900,233160,F
497185177,1902,174,321438,608,14251,1919,1540,232698,F
914153259,1343,157,167875,608,3000,1535,1635,232698,T
298087084,588,111,79968,608,2923,1919,1295,233045,F
517306033,960,196,68160,608,4851,1919,828,232883,T
424420229,1991,225,495759,608,4145,383,2068,232901,T
622187644,2137,203,181645,608,45605,1919,1926,233463,T
960208152,495,132,62865,608,5846,1535,2217,233390,F
080207536,307,80,41138,608,7125,1151,1559,233022,T
735263580,1710,341,405270,608,45605,383,1859,233146,T
790069033,1298,181,77880,608,4471,1535,1120,232620,T
501037909,1541,322,123280,608,2425,1919,2517,233503,T
914375265,1926,160,417942,608,5561,1151,1175,233364,T
