userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
429224272,1754,370,84192,608,623,1535,2205,233396,T
042342983,1114,128,47902,608,546,1919,2133,233012,F
467636110,1729,326,167713,608,915,1151,1861,233216,T
119175792,685,158,34935,608,583,1535,1422,233560,F
978008375,1121,140,50445,608,518,383,1701,232965,T
068331579,709,138,42540,608,472,1919,2005,233076,F
109456964,374,32,23562,608,717,767,943,233539,T
881977461,1285,132,100230,608,521,1919,1314,232655,F
036120727,185,3,11840,608,3454,383,1302,232655,T
518153616,1325,166,45050,608,723,1919,1744,233021,F
657056416,1503,353,148797,608,4385,1919,729,233127,T
476640743,1188,167,29700,608,592,1919,1856,232951,F
874204203,644,154,36064,608,1075,1919,2475,233285,F
961898868,167,21,7849,608,465,1535,1565,232819,T
393865133,293,45,21682,608,1252,1151,1531,233006,T
763092446,1162,144,95284,608,524,1919,1645,233505,F
556512129,1503,318,136773,608,481,767,1234,233052,T
004416270,655,109,16375,608,1036,1919,2138,233176,F
623028724,1522,364,132414,608,2280,1919,1736,233361,T
057995328,1361,160,126573,608,586,1919,2303,232844,F
863844360,1503,370,30060,608,539,383,1689,233251,T
757215284,1235,189,54340,608,775,1919,1866,232972,F
374022515,1365,136,57330,608,978,767,1445,232884,T
575036894,712,147,20648,608,606,1535,1661,233125,F
292985395,1931,219,119722,608,680,383,2114,233046,T
191863541,1136,143,103376,608,504,1919,2291,233214,F
028193004,214,35,17762,608,500,383,1221,232944,T
838026099,636,135,31800,608,682,1535,2213,232722,F
886393493,1334,187,50692,608,1096,767,887,232825,T
330637248,620,105,21080,608,5561,1919,1628,232983,F
908830826,1503,313,117234,608,5182,1919,1731,233250,T
121461463,1158,168,97272,608,1085,1919,1660,233334,F
064419193,1531,343,39806,608,850,767,2056,233038,T
377401425,1103,129,40811,608,600,1919,1641,233091,F
022549105,1005,170,93465,608,2131,383,2041,233270,T
152018090,568,107,30672,608,2131,1919,1588,233017,F
282293051,1981,235,85183,608,1101,767,1544,233164,T
178838105,1151,185,55248,608,1809,1919,1076,232849,F
179840247,1501,343,67545,608,616,1919,1613,232884,T
507336530,1119,163,45879,608,800,1919,1978,232637,F
217878531,2158,257,170482,608,1689,1919,1434,233537,T
164084693,653,131,25467,608,560,1535,1693,233093,F
942303633,1010,133,83830,608,697,1151,2092,233044,T
163736866,629,109,28305,608,850,1919,2162,232635,F
952028506,1040,164,30160,608,12001,383,758,233241,T
073597439,539,104,46893,608,857,1535,1671,233097,F
226050997,1589,346,133476,608,934,1919,1537,232726,T
459032543,1304,179,93888,608,590,1919,1091,233458,F
139485075,83,6,2241,608,2425,1535,2468,232666,T
132963451,1256,151,38936,608,954,1919,1321,232829,F
593085311,1247,128,124700,608,3508,1535,1993,232886,T
512690996,493,139,47328,608,1318,1535,1220,232769,F
758881210,356,81,14952,608,5561,767,1777,233256,T
337807118,723,141,58563,608,603,1535,1424,233025,F
629104459,2114,222,52850,608,5846,1151,1799,233252,T
431872250,1283,160,110338,608,786,1919,2090,233403,F
306609667,508,130,32512,608,778,767,1215,233138,T
168913127,1314,197,131400,608,1281,1919,1579,232567,F
872490759,1785,359,51765,608,794,1919,1996,233540,T
921343324,575,152,18975,608,1471,1535,1694,233196,F
928624318,1609,326,117457,608,1781,1151,1069,232932,T
132768014,1242,143,124200,608,747,1919,1705,233294,F
011478780,1012,184,38456,608,721,1151,1626,233061,T
029271525,592,114,35520,608,2780,1919,1379,232931,F
448055079,1050,133,61950,608,1303,1535,1912,233318,T
508881897,576,133,56448,608,2017,1919,2487,233075,F
821610383,576,130,33984,608,912,1919,1868,232819,F
590707894,529,109,38088,608,1123,383,2146,233346,T
406365778,214,20,10486,608,619,1151,2070,233220,T
431293966,1156,165,112132,608,11401,1919,1864,232657,F
752996249,1067,182,44814,608,482,1919,1399,233031,T
708035960,705,143,60630,608,626,1535,2093,233382,F
680527818,1053,176,55809,608,481,767,1759,233147,T
271889918,1240,193,93000,608,912,1919,1720,233499,F
070659943,1915,249,93835,608,1853,383,1716,232759,T
192936854,1206,186,32562,608,723,1919,1073,232937,F
839958848,1904,254,87584,608,3167,1919,1873,232912,T
327605643,721,107,33887,608,1594,1535,1283,232892,F
761731168,947,166,25569,608,1701,1919,1133,232939,T
944572200,589,150,42408,608,1407,1919,1184,232670,F
048128389,1590,337,69960,608,1123,383,1650,233038,T
048457007,563,141,24772,608,5846,1919,1642,233043,F
633835627,63,41,2394,608,1163,383,2260,233137,T
284850089,761,143,54792,608,668,1535,1521,232815,F
525984164,2111,230,147770,608,492,1919,2447,232956,T
410212603,731,100,19006,608,520,1919,1530,233346,F
787167488,618,116,48822,608,690,767,1767,232575,T
870423268,736,162,51520,608,539,1535,1598,232806,F
851504119,2135,232,183610,608,938,1151,2381,232735,T
960416983,710,146,41180,608,1163,1919,1286,233259,F
790741408,2168,215,143088,608,603,383,1765,232908,T
641743179,1165,128,79220,608,1151,1919,2375,232903,F
784358516,1759,330,43975,608,523,383,1674,233475,T
612016917,504,117,42336,608,908,1919,1496,233226,F
133669930,134,38,9246,608,1022,1535,1513,233048,T
564135161,555,131,44955,608,2257,1919,1291,232655,F
403993396,1184,162,67488,608,600,383,1843,233188,T
534403573,1361,184,133378,608,877,1919,886,233351,F
870086320,461,46,20284,608,1416,383,1490,233275,T
087581753,1242,170,28566,608,593,1919,1973,232756,F
