userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
460684432,185,11,2405,144,1217,2426,4232,69451,T
664346906,1791,257,218502,144,1173,1941,4614,69363,F
206752388,473,56,28853,144,1217,1456,2304,69912,T
024308152,1594,271,347492,144,701,1456,1910,70142,T
251504787,1604,159,89824,144,1040,1456,3694,69304,F
508795617,278,19,3892,144,860,485,2568,69808,T
564797016,1739,264,189551,144,741,485,2849,69833,T
757386294,274,55,67404,144,1344,485,3470,69744,T
477473104,1566,274,209844,144,658,970,3177,69962,T
611177411,203,54,9338,144,1093,485,2530,69506,T
375186378,1669,266,45063,144,5376,485,3617,69843,T
141722346,351,78,38961,144,1290,1941,3710,69880,T
600663607,1628,277,319088,144,750,970,2549,69749,T
519781109,326,50,41728,144,1697,1941,2406,69665,T
293750641,483,9,53130,144,1613,1456,3797,69349,T
390072010,1586,221,369538,144,1613,970,3767,69574,T
425870484,437,23,94829,144,3584,1456,3623,69803,T
831155639,1468,166,89548,144,2688,2426,2499,70079,F
545304936,1539,162,123120,144,1402,1941,2898,70104,F
550154584,1518,269,25806,144,2580,1941,3349,69608,F
974205147,355,68,42600,144,693,1941,3893,69901,T
560046041,1513,262,199716,144,1843,1941,3904,69593,F
807876476,1718,212,73874,144,1843,485,4349,70128,T
554757598,1530,217,41310,144,1402,2426,3228,69630,F
495338751,329,70,80605,144,12904,1941,3279,70145,T
134591588,1598,178,375530,144,1613,1941,3384,69496,F
686320534,414,15,61686,144,871,2426,3296,69878,T
445042597,1714,213,205680,144,786,1941,3298,70203,F
298920553,189,15,3780,144,806,1941,3575,69694,T
316138341,225,71,29025,144,3226,1941,3436,69446,T
236860762,1533,237,174762,144,724,1456,4593,69676,T
558407512,462,51,87318,144,3072,1941,2338,69462,T
828149712,1689,247,194235,144,709,485,3115,69940,T
888220998,289,17,40460,144,4032,2426,3565,69829,T
001435374,1616,224,114736,144,1433,2426,3899,69411,F
036228694,1698,275,110370,144,3795,970,4246,69830,T
209797121,283,28,48959,118,575,1715,3551,50599,T
552578198,322,33,21574,144,3072,1456,2913,69316,T
490073492,1654,245,317568,144,12904,970,4051,69485,T
410448317,422,28,8018,144,860,970,4491,70040,T
103465935,1757,215,198541,144,1743,2426,2713,69495,F
511301888,1637,157,347044,144,1057,485,2894,70270,T
590815685,1523,213,56351,144,816,1941,2769,69746,F
780770659,279,16,4743,144,1131,2426,2915,69834,T
327883835,1786,222,91086,144,679,485,4023,69809,T
950708943,1545,167,302820,144,962,1456,2862,70143,F
222617973,403,45,21762,144,665,485,3408,69510,T
