userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
541679928,1751,234,40273,144,524,1456,2063,69846,T
789753640,1745,277,55840,144,170,1941,4019,69361,F
349239573,1593,222,114696,144,247,1941,4144,69380,F
823641391,1775,251,51475,144,132,1456,3273,69546,T
517046898,1722,217,168756,144,280,1941,4064,70122,F
586948746,339,21,9831,144,148,970,3045,69524,T
273569142,251,27,16817,144,147,2426,1999,69284,T
368023781,1688,166,97904,144,133,1456,4623,69421,F
370009667,433,75,20351,144,188,970,3868,70099,T
878291379,1715,241,144060,144,254,2426,1895,69435,F
678252765,1558,267,76342,144,157,485,3455,69803,T
209127341,1638,162,81900,144,451,2426,4821,69373,F
471934232,1648,192,32960,144,176,2426,4611,70096,F
802834572,329,42,31584,144,211,1941,3850,69736,T
066135223,269,53,9146,144,481,970,2907,69932,T
142661360,1626,216,37398,144,441,1941,4010,69716,F
542169530,292,27,27156,144,176,970,2094,70215,T
257586989,1632,161,146880,144,1654,1456,2763,69849,F
700929273,1703,160,144755,144,386,2426,2000,69981,F
976851807,469,78,45962,144,188,2426,3877,69907,T
619698173,471,69,39093,144,190,1456,2150,69486,T
277522369,1516,276,50028,144,300,1941,4223,70208,F
837853354,1597,279,103805,144,141,970,4197,69492,T
928357576,1735,161,105835,144,883,1456,4099,70160,F
190275737,1556,225,155600,144,244,1456,4073,69557,T
300382962,1778,273,156464,144,207,1941,3894,69304,F
364979801,1643,252,152799,144,256,1456,3143,69775,T
838087391,1562,159,114026,144,448,1456,4505,69693,F
586132194,1709,271,117921,144,709,970,2944,69677,T
859393073,1532,237,116432,144,153,2426,4268,69836,F
343913874,1774,248,172078,144,146,2426,3835,69731,F
991945928,1659,273,104517,144,356,970,4848,69692,T
858498179,183,14,8052,144,320,485,3926,69976,T
172566069,1802,247,138754,144,1290,2426,3078,69487,F
334986225,1803,272,48681,144,311,970,4681,70058,T
106857826,1596,218,158004,144,295,2426,4414,69899,F
703347389,243,31,21141,144,1573,970,4572,70068,T
674460508,1635,161,85020,144,141,1456,3113,69377,F
181105721,1578,226,59964,144,391,1456,1972,69583,T
819133716,1636,169,44172,144,375,1941,2321,70137,F
587249323,1588,222,98456,144,750,2426,3275,70243,F
605965104,1762,155,112768,144,533,485,4496,69661,T
971002586,1557,216,102762,144,460,2426,2283,69326,F
485574130,255,47,17085,144,255,2426,1928,69727,T
551177994,372,64,9300,144,418,970,4631,69421,T
965224430,1698,236,108672,144,759,1941,1970,69663,F
121086407,1724,267,56892,144,438,970,3801,69846,T
959360999,1615,163,108205,144,167,1941,4438,69666,F
695653859,1610,189,45080,144,307,485,3403,69724,T
451125754,1801,227,135075,144,546,2426,2519,69917,F
523373136,370,14,15540,144,245,970,4722,69410,T
821042388,1512,168,84672,144,130,1941,4663,69697,F
989411309,367,22,13579,144,163,1456,3526,69439,T
236355363,1697,179,161215,144,561,1456,2758,69975,F
388663143,216,44,6264,144,597,1456,2907,69868,T
634873335,1637,223,99857,144,806,2426,3991,70250,F
963166786,1492,167,85044,144,160,2426,3552,69647,F
195259407,191,14,8404,144,561,2426,4869,69458,T
656928704,1812,250,50736,144,470,2426,2115,69399,F
195203308,1637,275,78576,144,413,970,2587,69369,T
211872096,409,51,8998,144,131,485,3952,69866,T
542734285,1665,241,166500,144,2932,1941,3956,69764,F
703895623,329,73,24346,144,9217,970,3420,69417,T
120488971,1705,161,39215,144,149,1456,3603,69877,F
795619385,1761,225,38742,144,249,1456,4590,69713,T
187620149,1701,157,86751,144,1654,1941,1990,69963,F
935787071,1655,274,122470,144,156,1456,2518,69430,T
337848717,1560,197,42120,144,220,2426,2473,69602,F
560593575,334,35,32064,144,151,485,3216,70063,T
552342364,1811,224,164801,144,1112,1941,2297,69699,F
592054930,196,67,11368,144,451,485,2594,69536,T
957700770,1810,245,142990,144,195,1941,2727,69278,F
733150798,1741,275,135798,144,759,1456,3512,69480,T
474250508,1645,216,83895,144,217,2426,4586,70044,F
104455960,1722,154,77490,144,418,485,3811,69390,T
694542543,1665,233,39960,144,206,2426,4229,69483,F
376348003,273,14,9555,144,352,1941,2930,69912,T
460340844,1551,260,124080,144,1173,2426,2650,69757,F
201275530,1610,238,78890,144,189,970,3431,69966,T
261253295,1684,249,82516,144,156,1941,2606,69940,F
981973914,469,53,22981,144,2150,1941,4686,70101,T
095869119,1531,179,44399,144,435,2426,4129,69500,F
704157352,1687,189,33740,144,145,970,3607,69540,T
334319287,1567,168,67381,144,215,1941,3526,69415,F
361067097,1764,277,89964,144,701,485,3830,69337,T
306984898,1566,221,131544,144,364,1941,4748,69498,F
396660764,1785,229,89250,144,161,2426,2539,69848,F
601255296,403,44,8060,144,130,485,4094,70268,T
960471550,280,50,7000,144,1093,970,4387,69454,T
318062651,1537,249,84535,144,181,1941,3455,70197,F
837028934,1544,175,104992,144,162,970,4531,69598,T
178165292,1496,173,131648,144,260,1941,3974,69842,F
869173229,1750,243,175000,144,602,970,3679,69649,T
061839505,1651,240,44577,144,360,2426,1897,69798,F
621956617,1742,210,168974,144,860,1456,3782,69902,T
270376496,1517,250,31857,144,658,1941,2832,70182,F
647094576,278,61,25854,144,228,2426,4629,69742,T
220555136,1533,197,35259,144,190,1456,2425,70112,F
351992498,1770,237,161070,144,172,485,4688,69440,T
765887143,1793,243,172128,144,157,2426,2454,69931,F
