userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
997779798,1898,387,349232,100,595,2136,4855,52936,T
198023387,1052,186,112564,100,800,1068,5149,53629,T
987282761,1017,165,104751,100,775,1068,7033,53078,T
653882019,775,166,191425,100,814,2670,8779,52952,F
630798216,1722,220,156702,100,740,1602,4312,53619,T
486029339,570,66,124260,100,828,534,4561,53324,T
780436289,336,25,73248,100,488,1602,4771,53383,T
188016889,876,164,45552,100,555,534,6928,53048,T
919516417,903,116,90300,100,561,1602,9267,53370,T
268165145,1812,331,309852,100,996,2136,8628,53452,T
926116349,472,51,43424,100,957,2136,5016,53007,T
261971039,1016,145,16256,100,957,2670,8908,53607,T
586021081,672,123,70560,100,1575,1068,9332,53005,T
766261447,659,105,20429,100,519,2136,8509,53208,F
250919872,1920,204,282240,100,3757,2136,6618,53631,T
596449384,1811,385,119526,100,536,534,7056,53109,T
216996260,830,149,137780,100,1252,1068,8858,53092,T
835855970,1844,393,306104,100,3256,534,6792,53518,T
940304966,808,140,106656,100,2571,1068,6436,53531,T
942684684,518,86,81844,100,1436,2136,7242,53312,T
327669133,599,21,132978,100,775,1068,7318,53484,T
305937088,1832,378,412200,100,588,1068,6399,53450,T
820417935,836,184,37620,100,751,534,9475,53013,T
492830084,549,32,39528,100,3757,1602,9474,53575,T
304462148,594,22,74250,100,857,1068,7314,52994,T
388738656,606,53,87870,100,525,1602,7080,52818,T
575939017,420,86,30660,100,1017,2136,6786,53297,T
503144702,1735,334,256780,100,1395,2670,8634,53047,T
965162859,1739,331,53909,100,1809,2670,6564,53081,T
634391091,351,44,70551,100,1744,2670,9063,53572,T
724994026,397,60,17071,100,2326,1602,8495,53016,T
043430146,861,182,128289,100,8142,2670,9099,52930,T
463881213,583,75,50138,100,996,534,4634,53139,T
846383469,874,151,88274,100,1062,1068,9527,53289,T
941332683,683,117,10928,100,1809,1068,8936,52791,T
198397410,1938,377,79458,100,800,1602,7040,53270,T
694765801,1685,359,283080,100,1436,1602,9269,53049,T
991611634,1809,343,43416,100,503,2670,5075,52924,T
475014837,342,40,42750,100,2035,1068,7393,53534,T
367205846,1919,356,222604,100,957,534,9031,53137,T
033334841,1790,343,112770,100,669,2670,7082,52947,T
790686687,505,73,124735,100,1878,1602,4718,53204,T
588908409,1997,196,279580,100,642,2136,5004,53688,T
672363197,1715,178,176645,100,9770,1068,9367,53023,T
585069532,616,115,8624,100,8142,2670,7384,53494,F
437510164,1790,398,375900,100,688,2136,5260,52940,T
132501716,1116,143,158472,100,1017,2136,9300,53596,T
267051015,1881,188,133551,100,9770,2670,4578,53495,F
913745113,429,66,30459,100,2326,2670,5056,53697,T
432371437,648,133,75168,100,688,534,6571,53641,T
327320609,614,32,54646,100,1954,1602,6377,53063,T
731474478,1729,193,408044,100,519,1602,4610,53271,T
214686005,2001,204,368184,100,1163,2136,4386,53550,T
594690479,1885,192,143260,100,561,534,8767,52827,T
828740721,1923,160,119226,100,1684,1068,7407,53251,T
189271673,712,102,112496,100,610,2670,4438,53335,F
895671238,556,74,42812,100,581,2670,5164,53081,T
729665350,1659,400,373275,100,2326,1602,5133,53651,T
