userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
006282177,1013,143,91170,100,332,1068,6606,52821,T
100522974,723,136,24582,100,436,2670,5097,53267,F
847230818,1865,171,179040,100,201,2136,6590,53572,T
967001754,841,131,44573,100,130,2670,7298,53408,F
770504717,1951,227,152178,100,542,2670,9475,53149,F
588229392,1079,151,35607,100,98,1602,7374,52855,T
498511000,1106,160,51982,100,175,534,7003,53605,T
267852727,672,165,66528,100,1221,2136,6563,53363,F
224043292,1920,189,155520,100,323,2670,7365,52968,F
824009545,482,35,10604,100,440,534,8978,53305,T
066252695,1112,173,68944,100,123,2670,9263,53365,T
895248111,810,164,76950,100,297,2136,4734,53374,F
508222544,1862,365,165718,100,151,2136,6996,53001,T
820487974,1715,167,125195,100,106,2670,4712,53586,F
944059226,847,128,75383,100,100,2670,9536,53066,F
656419374,1835,336,99090,100,112,1068,4291,53442,T
222520990,1712,348,99296,100,372,1602,4222,53264,T
061294927,714,129,60690,100,119,2136,4486,52774,F
181465449,805,167,78890,100,204,1602,4756,52952,T
239233911,858,139,83226,100,478,2670,4252,52972,F
458757477,1826,214,127820,100,424,2136,4605,52747,T
116487252,1729,167,164255,100,390,2670,4338,53005,F
917134491,1880,196,124080,100,1684,1602,6608,52787,T
469236891,766,124,40598,100,159,2670,7268,52900,F
139541807,795,124,30210,100,2873,1068,9082,53671,T
929663618,709,130,54593,100,190,2670,6422,53366,F
596104975,1038,145,47748,100,178,1068,7153,53493,T
214153099,764,104,47368,100,531,2670,4600,52730,F
535339467,1791,346,109251,100,135,2670,9060,53188,T
385042354,810,124,40500,100,344,2136,8952,52831,F
302537451,581,68,53452,100,2714,2136,6584,52770,T
574241533,851,110,61272,100,2714,2136,8912,53513,F
686767272,915,151,59475,100,359,2670,7216,53539,T
566788018,704,108,52800,100,209,2136,8615,52934,F
662830057,857,176,72845,100,9770,2136,4790,53646,T
088042042,1920,211,120960,100,201,2670,9372,53603,F
957540343,817,113,46569,100,299,2136,4415,53248,F
881691743,1681,334,122713,100,120,2136,7229,52868,T
238987998,1845,375,121770,100,280,2136,9150,53187,T
967545699,897,108,40365,100,452,2136,4335,53561,F
450307054,1859,343,39039,100,313,534,4302,52833,T
455526143,1902,167,91296,100,229,2670,8505,53118,F
394325655,805,110,37030,100,904,1068,6761,53635,T
327937202,680,147,56440,100,118,2670,5181,53236,F
860146413,379,34,19329,100,297,1602,9348,53162,T
284708976,748,143,38896,100,226,2670,4799,53657,F
412312595,620,124,45880,100,198,2136,6452,52807,F
665804323,1019,165,65216,100,130,1602,7258,53649,T
390166136,1845,337,138375,100,161,534,7364,52778,T
463331830,1882,196,109156,100,436,2670,7352,53653,F
878469746,530,47,22790,100,114,1602,7406,52932,T
704361866,789,113,21303,100,147,2136,7029,52747,F
200416814,866,202,19918,100,207,2136,4239,52733,T
557435304,756,145,51408,100,187,2136,6754,53484,F
572115554,926,152,69450,100,171,1068,9153,53136,T
301967458,687,126,58395,100,205,2670,7193,53509,F
990489880,1818,396,143622,100,313,1602,4851,53273,T
482035992,656,128,49856,100,1017,2136,4939,53197,F
651020074,1719,187,132363,100,262,534,6996,53064,T
596420476,685,108,65760,100,132,2670,4896,53318,F
631707762,1953,349,183582,100,2873,1068,7249,53422,T
794414022,1802,170,145962,100,142,2670,6479,53556,F
028492491,1006,166,28168,100,210,1602,6538,53163,T
861754503,2006,225,184552,100,274,2670,8878,53081,F
502606544,1843,171,116109,100,410,1068,9421,53028,T
332169322,786,144,59736,100,432,2136,8571,53447,F
994965121,1852,209,159272,100,213,1602,6956,53523,T
294043781,687,146,54960,100,102,2670,4626,53067,F
326096225,1048,142,69168,100,109,2670,4951,53186,T
752988297,1981,199,140651,100,103,2670,8787,53160,F
782600808,451,34,15785,100,196,2136,6867,53233,T
823274702,1986,179,87384,100,255,2670,5082,53584,F
652936127,869,118,65175,100,555,2136,6925,52865,F
208255049,1053,165,67392,100,296,1068,6428,53515,T
286148834,1956,172,121272,100,448,2136,4288,53326,T
723971656,1837,183,161656,100,133,2670,7271,53392,F
478031521,893,157,23218,100,424,1068,4757,52959,T
492925383,1832,202,163048,100,669,2670,6646,53217,F
668092938,790,121,21330,100,99,2670,4911,53705,F
916780057,1935,369,174150,100,301,1068,6605,53575,T
210831647,1843,185,117952,100,238,534,4755,53649,T
408613786,859,116,60130,100,393,2136,9158,52742,F
787892404,504,69,44856,100,100,2136,8700,53496,T
226277619,752,136,41360,100,201,2136,7145,53515,F
104340081,1994,202,131604,100,359,1602,4752,52991,T
548414583,794,134,72254,100,183,2136,9021,52867,F
530572800,1727,371,119163,100,1954,2670,9070,53549,T
403871080,781,108,24992,100,249,2136,4649,52701,F
124893384,448,68,44800,100,99,1602,5219,53303,T
804013657,1716,191,113256,100,1062,2670,4925,53418,F
932521663,1096,150,84392,100,1954,1068,6549,52931,T
688366492,722,102,46208,100,857,2670,5027,53308,F
272934972,376,78,30080,100,503,2136,6848,53653,T
008943327,781,121,57794,100,294,2136,6878,53298,F
600459220,1845,351,42435,100,170,1068,9473,53089,T
789450553,727,135,58887,100,203,2670,6712,53470,F
313349202,1828,207,115164,100,107,2670,4445,53269,F
196954945,965,141,20265,100,359,1602,4944,53644,T
807172646,433,80,41568,100,122,1068,8959,53327,T
026940297,625,123,37500,100,525,2670,8512,53533,F
