userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
003522033,1645,187,60865,600,2212,1139,1585,228665,T
123833027,1813,259,304584,600,2520,379,2993,228626,T
382215234,37,15,5846,600,4712,1898,3073,228680,T
910194792,610,96,89060,600,16675,1519,3873,228241,T
849288437,75,6,7350,600,2550,1898,2877,228551,T
228565318,905,134,137560,600,24087,1898,2020,227760,F
543377342,901,112,209933,1099,29990,879,3534,241748,T
816658614,202,11,16968,600,3096,1519,2196,228229,T
921657785,635,75,87630,600,15484,1139,2598,227947,T
882436026,508,50,95504,600,14452,1139,2162,227896,T
971595680,184,24,13800,600,14452,379,3650,228550,T
011444008,1828,201,40216,600,2676,379,3326,228380,T
064621748,1346,123,226128,600,5558,759,2628,227874,T
227463899,633,84,101913,600,5859,1898,3003,228008,T
005144489,1847,167,46175,600,9032,1519,3026,227954,T
078180242,1819,298,352886,600,4712,379,2428,227914,T
499448804,1801,266,286359,600,9032,759,2206,228127,T
309986891,153,6,27081,600,2281,379,2972,227784,T
895154450,85,33,8415,600,2356,379,2743,227994,T
835006328,663,45,100113,600,2281,1519,3010,228528,T
235154326,89,42,20114,600,2779,759,3062,227936,T
205245304,1107,138,220293,600,3335,1519,3536,228510,T
836832492,150,23,29400,600,4014,1898,3497,228005,T
952453494,509,50,24941,600,8029,759,3069,228432,T
756613958,548,63,40552,600,3284,379,2757,228627,T
166683982,248,25,11160,600,5419,1519,3270,227991,T
430601652,717,77,114720,600,3141,379,1640,228092,T
129595952,845,145,52390,600,2356,379,3520,228113,T
280861426,946,131,44462,600,3613,1139,2538,228427,T
053370196,1733,242,291144,600,3441,379,2922,227930,T
138951816,187,39,15147,600,4817,379,1739,228397,T
917752297,603,94,24723,600,6569,379,2487,228306,T
758563953,1986,301,438906,600,2815,1139,3113,228162,T
941685757,1909,239,442888,600,2676,379,3678,228293,T
673982873,730,133,24090,600,4090,1139,2370,228597,T
713506490,1207,144,155703,600,5558,1139,2765,228620,T
916463734,543,77,89052,600,4926,759,2789,228124,T
968417184,1942,267,343734,600,2234,1519,1652,228467,T
966793029,1853,227,79679,600,2331,1139,1588,228386,T
788730015,1336,140,316632,600,2611,1139,1536,227754,T
418975874,529,100,44436,600,9853,1139,3230,228109,T
627489009,1927,245,348787,600,4712,1898,3596,228533,T
014125400,496,78,31248,600,2643,379,1756,228436,T
557532355,1149,164,104559,600,43356,759,2030,227984,T
152831710,1102,112,272194,600,5041,1139,3826,227987,T
994011815,1861,178,74440,600,5287,379,2987,228306,T
526982612,1265,165,309925,600,5161,1139,3256,228317,T
999033038,603,40,24120,600,21678,379,3076,227755,T
108881717,563,65,112600,600,4817,379,2908,228220,T
664346358,1110,137,188700,600,2890,1139,3504,228561,T
390408199,554,53,21052,600,4926,759,3778,227954,T
914075838,76,41,18544,600,3284,379,1938,228033,T
033458041,1849,166,107242,600,5859,1898,3542,228507,T
005355321,587,89,32285,600,5704,1519,2867,227878,T
964197253,1068,169,205056,600,2890,379,2072,227795,T
013156963,467,66,52304,600,7742,1898,1835,227960,T
070238557,1979,265,279039,600,2815,1139,2896,228671,T
887488878,845,155,10140,600,43356,379,2525,228539,T
013867756,548,46,115628,600,10839,1519,2310,228010,T
055624512,1089,114,100188,600,27097,1898,4023,227993,F
536286547,302,33,6342,600,4335,1139,3796,227728,T
547973776,43,17,7267,600,3053,759,3178,227869,T
387188965,116,1,10324,600,2779,1898,2002,228233,T
022276005,636,88,152640,600,3871,379,2017,227870,T
670134760,1059,132,200151,600,3941,379,3964,228347,T
171476182,826,115,53690,600,4817,379,3688,228693,T
342501252,1609,175,56315,600,3387,759,2179,228277,T
028520431,1080,156,132840,600,10839,1898,2582,228205,T
801966948,153,15,10098,600,24087,1139,3087,228640,T
001752612,1296,157,300672,600,2890,1139,3809,228402,T
747053758,1148,141,222712,600,6021,1139,2359,228077,T
077790730,597,88,69849,600,4516,1139,2420,228691,T
482146862,775,102,79825,600,3235,759,2649,228206,T
351633900,61,52,13359,600,11409,1519,1721,228243,T
009708926,654,62,66708,600,2520,379,3174,228000,T
802435218,144,46,21456,600,2969,1519,2538,228173,T
104743219,1905,294,472440,600,2212,379,2770,227794,T
117233060,1215,160,179820,600,12043,1139,2227,228242,T
047474793,1189,175,89175,600,13548,379,2346,228557,T
296546179,798,161,49476,600,4516,1519,2290,227803,F
627095481,501,85,11022,600,2306,1519,3961,228385,T
107929633,1645,225,67445,600,2356,379,2386,228237,T
199136223,1303,127,231934,600,2212,759,3740,228589,T
583290278,57,45,2964,600,8671,379,3724,228120,T
007393820,775,98,65100,600,2356,1519,2223,227966,F
708707161,31,10,1612,600,3096,1139,2608,227936,T
387703672,465,42,70215,600,7475,1519,2777,228509,T
620630620,178,66,12994,600,4612,1139,4003,228675,T
821260822,652,36,76936,600,9032,1898,3080,228384,T
061459274,1188,136,27324,600,3010,759,3117,228449,T
753271528,1336,107,248496,600,2331,379,2213,228065,T
