userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
420416793,1344,136,75264,600,461,379,2009,228188,T
636599156,838,109,17598,600,1042,1898,3905,228444,F
526644597,598,55,56212,600,1313,1898,3684,228054,T
471596391,729,124,51030,600,2815,1898,3183,228610,F
269129542,1574,189,51942,600,1821,379,1750,228470,T
589727304,868,107,24304,600,1032,1898,1939,228029,F
633341996,766,120,35236,600,459,379,4001,228575,T
297402842,782,99,49266,600,1901,1898,2506,227929,F
221460806,232,23,21344,600,3387,1139,3163,228179,T
006905234,727,149,41439,600,2234,1898,3008,228260,F
602498648,630,91,24570,600,1027,1898,1704,228088,T
884266801,884,114,49504,600,976,1519,2302,228318,F
844676002,1257,110,74163,600,805,1139,3419,227851,T
559658360,897,106,47541,600,1762,1519,3342,228360,F
470991889,1166,112,76956,600,734,1898,3079,227704,T
279870478,817,133,17157,600,863,1898,2873,227893,F
776713558,1104,114,72864,600,2382,1519,3230,227762,T
384411353,739,99,19953,600,918,1519,2513,228015,F
101087405,667,59,29348,600,460,1519,2483,227878,T
296317935,887,128,49672,600,521,1519,3883,227920,F
935712889,1058,159,65596,600,771,1519,2173,227806,T
386816549,996,126,25896,600,516,1519,3235,228214,F
073757136,516,58,25800,600,1094,379,3872,227698,T
272537666,767,138,16107,600,2104,1898,2259,228188,F
914217011,918,134,22032,600,1052,1519,2444,228190,F
758971852,1095,147,76650,600,579,1898,2991,228180,T
445773541,1619,168,66379,600,652,1519,3070,228488,T
306282109,928,106,67744,600,715,1519,3249,228354,F
297341082,523,36,44455,600,1495,1898,2516,227978,T
286119136,840,166,51240,600,1593,1898,1682,228265,F
138440473,272,24,26112,600,1935,1898,2309,228109,T
859104278,872,149,44472,600,575,1898,2891,227825,F
364945751,1193,122,47720,600,639,1139,2544,228423,T
984460068,940,167,57340,600,2356,1519,2010,228211,F
538829035,895,151,50120,600,3010,1519,2509,228372,F
590552588,923,132,39689,600,500,759,2631,228287,T
372175196,1095,154,29565,600,5558,1898,3740,228218,T
258682264,849,106,45846,600,1537,1519,3001,228277,F
039991511,1146,114,69906,600,1629,1139,3139,228413,T
103512777,797,114,65354,600,660,1898,3091,228261,F
578578629,627,85,42009,600,467,1139,2349,228047,T
824836819,2012,193,42252,600,959,1898,3939,228365,F
879264782,605,68,33880,600,760,759,1616,227977,T
868647650,846,113,38916,600,526,1898,2879,228118,F
005016024,1344,123,106176,600,1885,1519,2242,228492,T
011011223,865,168,31140,600,560,1519,2158,228381,F
169702655,1845,175,121770,600,942,1898,2320,228395,T
890270860,780,142,20280,600,2890,1898,2093,227724,F
765919825,1730,225,88230,600,774,759,2590,227886,T
545074999,998,128,27944,600,469,1519,3308,228382,F
491788999,1775,222,46150,600,560,379,3446,227980,T
266881953,758,103,58366,600,701,1898,1986,227779,F
521836329,444,74,25308,600,449,1139,3987,228373,T
326241430,778,145,72354,600,1426,1898,2501,227709,F
581139715,1736,226,55552,600,494,1139,2243,228386,T
118298463,849,165,61977,600,1042,1898,2016,228488,F
143193218,848,135,80560,600,1313,1139,3553,227718,T
734089179,905,107,63350,600,766,1519,3492,228209,F
371313933,706,41,20474,600,1062,1519,2312,227780,T
669460178,826,108,71862,600,462,1519,2859,227941,F
714777086,452,67,30736,600,584,1139,1583,228696,T
424275085,900,120,18000,600,946,1898,2085,228695,F
327971275,813,131,38211,600,458,1898,2863,228295,F
348266736,1209,147,108810,600,2520,1139,2205,227741,T
643731333,618,73,56856,600,1083,759,1838,228032,T
320733135,830,157,32370,600,453,1519,3615,228552,F
893221795,1165,175,34950,600,895,1898,3213,228002,T
587217259,820,168,77900,600,1083,1519,2231,228654,F
072056712,1233,164,87543,600,760,379,2798,228537,T
066859335,935,110,58905,600,3553,1898,2830,228456,F
919125564,1833,189,43992,600,483,1519,3088,228509,T
154363846,802,144,43308,600,635,1898,3490,228666,F
041756890,31,32,2077,600,899,1139,3312,228278,T
406582757,732,132,32208,600,821,1898,2294,228027,F
350641299,1860,230,42780,600,550,759,1961,227954,T
066309259,755,148,27180,600,514,1519,1983,228406,F
477036996,116,29,4988,600,530,379,3190,227905,T
605497672,843,155,35406,600,460,1898,1845,227899,F
800103336,1731,221,126363,600,1389,1898,2966,227716,T
483463482,997,148,40877,600,570,1519,3254,228289,F
801140617,1743,230,43575,600,570,379,3272,227861,T
590905242,836,161,40128,600,7742,1519,2358,228634,F
119009130,1246,161,44856,600,482,1139,3199,228639,T
492536099,794,147,57168,600,4424,1898,2339,227698,F
635963358,755,101,51340,600,450,1898,2850,227904,F
436655845,554,46,32132,600,1445,1139,3921,228108,T
123434608,1182,116,92196,600,479,1519,3203,228638,T
286876077,875,106,24500,600,850,1519,3281,228497,F
026670068,877,109,25433,600,946,1898,2930,228626,F
392215893,1302,163,54684,600,473,1519,2648,228537,T
813735595,68,49,6596,600,1354,1139,1888,228377,T
727709003,756,137,71064,600,2929,1519,3837,228491,F
117464509,1611,171,83772,600,523,1139,1831,227708,T
957494406,737,135,22847,600,892,1519,2324,228185,F
353337130,1815,172,70785,600,459,1898,3154,228316,T
596371128,789,140,29982,600,895,1898,2121,228584,F
994530769,1059,119,55068,600,2779,379,3089,228646,T
548846815,956,145,63096,600,1191,1519,2983,228225,F
525161253,198,42,8910,600,788,1519,2362,228184,T
112431217,1072,147,84688,600,30969,1519,1752,228696,F
