userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
883426643,1279,245,236615,464,3562,821,2092,191200,T
735830063,1284,105,137388,464,2711,410,1785,190825,T
566972412,346,74,21452,464,2930,410,788,191244,T
284497247,1181,186,205494,464,2137,2053,1426,190866,T
440101036,1410,230,117030,464,2595,2053,1684,190970,T
334607767,1324,230,164176,464,3865,1231,1612,190810,T
979423496,355,98,46505,464,1892,1642,2066,190983,T
683714379,1001,96,79079,464,4431,2053,1791,191043,T
492805513,158,24,28124,464,2299,1642,2357,190729,F
189643978,1204,229,89096,464,3428,410,1564,190712,T
153239984,1287,194,243243,464,2215,821,778,191111,T
182929741,175,7,18375,464,3865,1231,1608,191276,T
381023629,62,30,14942,464,4225,1642,1626,191222,F
323949225,436,53,78480,464,1912,410,1802,191085,T
402643902,536,57,67000,464,15141,1642,1189,191114,T
626376634,15,33,3690,464,5861,1231,1296,190885,T
591487338,1321,213,212681,464,5861,410,1233,190931,T
640318600,1359,119,93771,464,4658,1642,1909,190637,T
790388873,961,144,118203,464,1892,2053,2461,190946,T
936573330,762,86,23622,464,2088,2053,2055,190572,F
445955368,508,86,43688,464,1892,821,1198,190989,T
196363756,1272,217,203520,464,1953,410,772,191240,T
274227629,1082,144,74658,464,6988,1642,1674,190650,T
313020971,10,10,1150,464,1974,1642,1607,190854,F
816553625,381,89,65532,464,12978,2053,1832,190821,T
108917727,1216,158,100928,464,2795,1642,1836,191108,T
722889463,1072,134,85760,464,2390,1231,1742,190878,T
671180750,1320,248,324720,464,3494,821,1299,191358,T
912011181,199,1,33631,464,3244,2053,2062,190479,F
845131056,1051,125,126120,464,4781,410,1275,191004,T
549350424,1394,228,185402,464,1953,1231,2192,190507,T
841536344,97,13,5820,11,59,556,2602,6123,T
477322004,197,1,27580,464,2884,1231,2099,191008,T
482676745,346,51,59166,464,4781,821,1700,191206,T
907063082,1356,215,150516,464,6489,821,1438,191039,T
294024636,238,10,54026,464,4326,1231,2403,190422,T
064655858,1136,223,86336,464,6265,1231,2157,191110,T
484390935,186,8,9672,464,2163,2053,2402,191063,F
595177922,1408,112,237952,464,1873,1642,1069,190676,T
869693790,51,44,8874,464,8258,1231,1033,191024,T
362717714,1169,224,49098,464,2064,1231,1275,190648,T
293300121,1380,186,201480,464,7570,821,1665,190686,T
929861669,349,105,55142,464,2064,821,1665,190754,T
500329669,374,59,71060,464,36338,1642,1304,190606,T
724953000,1321,216,147952,464,12112,2053,2272,190442,T
997894985,415,79,83000,464,2018,1642,1134,190760,T
202929070,147,28,34104,464,3303,1231,2586,191085,T
132220568,1329,238,77082,464,2422,821,2329,191043,T
448916837,461,60,53476,464,1892,410,1193,190718,T
118371314,108,11,18468,464,1873,410,1487,191325,T
772386911,1254,223,18810,464,12112,410,1694,191215,T
741618292,1256,246,66568,464,1996,1642,1546,191186,T
508104315,88,61,2464,464,2884,1642,1758,191314,F
612612761,1372,223,260680,464,13976,821,2290,190412,T
564078414,445,57,39605,464,6489,2053,1751,190478,T
823619664,1167,99,42012,464,5677,410,1824,190669,T
334478793,1022,86,255500,464,2595,1642,2526,191153,T
814456231,399,59,93765,464,6056,2053,2433,190638,T
890911075,72,1,2448,464,2523,1231,2278,190511,T
507960161,326,45,75958,464,3079,1642,1675,190997,T
005347236,1281,225,304878,464,12112,1642,2242,191393,T
084036786,1412,129,57892,464,2088,410,1303,190603,T
466584515,1193,90,27439,464,2390,821,2020,191410,T
868148731,1045,87,248710,464,2215,2053,2171,190667,T
468298745,96,24,10560,464,5343,1231,1783,191362,T
917523624,981,92,42183,464,2595,410,1799,190805,T
388268837,330,57,45210,464,1996,410,1512,190972,T
224744063,212,2,4876,464,5505,410,1411,191171,T
007822590,330,94,55110,464,5677,1642,1800,191044,T
974764273,1318,208,235922,464,20188,1642,1399,191199,T
179055801,1416,189,236472,464,7570,410,2111,190855,T
915410987,9,37,1296,464,7570,1642,1301,191339,F
068451565,1270,130,76200,464,3494,1231,1289,190603,T
076417117,324,51,13932,464,7899,821,1202,191327,T
424298555,1154,220,192718,464,20188,821,1589,191252,T
800765402,163,28,25102,464,5861,1231,2084,191228,T
621814206,51,53,7140,464,2422,821,2279,190986,T
609299746,1030,96,133900,464,2752,1231,1229,191075,T
153223000,173,35,2768,464,5191,2053,2188,190649,F
132325345,1089,145,115434,464,5191,1642,1466,191078,T
926854127,1406,208,316350,464,2838,1642,2370,191349,T
649108875,1033,141,28924,464,2064,1642,2157,191152,T
574049735,192,4,37248,464,3079,410,1799,191328,T
772534675,1402,239,159828,464,3428,1642,2212,191138,T
528953541,357,57,88536,464,1953,1642,1209,191148,T
902857197,1302,213,316386,464,4542,821,1819,191150,T
255128589,94,40,7614,464,18169,1642,1362,190476,F
627818279,1245,152,12450,464,3633,1231,940,190620,T
712563398,1071,138,17136,464,9084,1231,1063,190840,T
087729658,1206,220,133866,464,15141,410,1553,191284,T
104665139,1345,212,143915,464,2884,821,1661,190449,T
451682690,1454,119,111958,464,2559,1231,1339,190646,T
470617711,385,90,20020,464,2243,821,2105,191193,T
430375702,1419,243,29799,464,3428,2053,926,190705,T
179983514,1405,206,206535,464,3028,1642,2298,191062,T
844070033,85,26,1870,464,3187,1231,1660,190608,T
044891523,1296,199,75168,464,3303,1231,1406,191337,T
752463788,1378,251,272844,464,2671,1231,1042,191004,T
405172404,1010,86,205030,464,2299,1642,2110,190900,T
404954771,1329,248,13290,464,6056,2053,2546,190970,T
253975387,1140,247,167580,464,12112,821,1473,191089,T
561067398,1192,119,151384,464,2215,2053,2117,191182,T
136843073,216,1,3240,464,3364,821,1859,190521,T
853546315,1345,114,108945,464,2088,1231,1457,190896,T
388738798,1173,155,69207,464,1816,1231,2077,190987,T
303162693,167,23,18370,464,36338,410,1330,190601,T
631498233,1167,191,26841,464,2137,821,2091,190475,T
435076132,1082,131,62756,464,8652,1642,1762,190750,T
244093895,144,22,16992,464,1996,821,1540,190972,T
458293557,1162,252,220780,464,18169,1642,1205,190731,T
