userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
167590281,1433,222,91712,464,741,410,1530,191090,T
849936607,48,51,3888,464,370,1642,2075,190448,F
813798771,1417,249,38259,464,873,1642,1257,191020,T
300921630,166,17,9296,464,424,2053,866,191090,F
930117746,128,48,7296,464,605,1642,1869,190814,F
358612941,185,36,6845,464,529,821,1256,190931,T
410618024,1067,122,29876,464,9562,2053,1364,191111,T
626181772,109,37,5014,464,525,1642,797,190994,F
018098832,510,76,37740,464,463,2053,1937,190592,T
503542748,668,57,33400,464,899,1642,1450,190504,F
946007206,396,78,26136,464,394,410,1377,191068,T
087106821,123,4,11439,464,4658,1642,897,191079,F
072397198,1399,129,67152,464,545,821,1661,190626,T
978040975,265,19,11395,464,4129,2053,2064,191293,F
502571531,178,7,17800,464,446,821,1771,191086,T
754081625,165,45,5115,464,5047,2053,1165,191366,F
560993753,494,82,36556,464,539,410,1092,190573,T
735441894,68,5,3944,464,484,1642,2191,191139,F
248560638,1220,148,61000,464,433,2053,2016,191208,T
656120988,686,94,15092,464,531,2053,1964,191362,F
265315415,1211,255,105357,464,1288,410,1265,190827,T
270109008,673,70,20190,464,646,1231,840,190688,F
071871967,1193,121,96633,464,457,1231,1427,190758,T
347148700,891,63,32967,464,529,1642,1200,190633,F
340451794,502,53,15562,464,404,1642,1979,190517,T
927255566,877,62,26310,464,443,1642,1899,191040,F
046845065,168,1,15624,464,428,1642,1944,190863,F
421371978,1386,204,70686,464,492,821,2185,190469,T
681867473,1381,235,38668,464,363,2053,2438,191153,T
829626343,89,1,6052,464,484,1642,2345,190774,F
931022324,1028,141,79156,464,1050,1231,2070,191411,T
415513285,52,19,4940,464,642,2053,2081,190487,F
067917883,634,88,41844,464,433,1642,2267,190730,F
266549693,1263,125,121248,464,811,821,2155,190541,T
871522513,1301,241,84565,464,2838,1642,1365,190892,T
299040884,3,12,261,464,534,1642,1518,190688,F
313435689,496,47,44144,464,373,821,1237,191085,T
570100477,112,33,9184,464,753,1642,2238,191208,F
879586586,1150,186,105800,464,451,1231,1396,190657,T
691693083,22,31,1078,464,987,1642,1851,191284,F
472117925,1385,148,58170,464,951,2053,1704,191247,T
572589113,19,19,1425,464,389,2053,1620,191220,F
287408503,1384,221,83040,464,1003,2053,2050,191212,T
724293983,718,99,32310,464,646,2053,929,190860,F
521877968,1062,114,38232,464,370,821,2570,190421,T
713743221,701,60,23834,464,429,1642,2498,191380,F
452907530,1424,190,46992,464,562,410,1582,191114,T
290398469,823,91,17283,464,607,1642,1605,190913,F
765990346,433,107,20351,464,476,1642,1816,190696,T
420445592,735,52,42630,464,886,1642,1533,190576,F
907165431,636,98,19080,464,410,410,1802,190720,T
711105917,648,52,24624,464,5191,2053,999,191131,F
070904616,1332,171,30636,464,442,1642,929,190757,T
683910013,869,54,29546,464,1355,2053,1087,190907,F
795356108,1219,207,51198,464,593,1642,1497,190469,T
096428789,735,97,34545,464,1297,2053,1751,190940,F
227280223,1329,112,74424,464,450,1642,1482,191152,T
641965064,24,54,480,464,660,2053,1684,191301,F
619278806,26,59,1924,464,956,821,2221,191191,T
807117492,48,4,4032,464,394,2053,917,190455,F
273254873,479,48,29698,464,408,1642,876,190448,T
779583463,708,57,50268,464,1397,1231,1590,190891,F
366698562,1172,209,111340,464,6489,2053,1713,191244,T
719992122,78,45,3042,464,391,1642,1822,191370,F
937831454,335,89,30150,464,374,1642,1509,191015,T
398875543,757,83,42392,464,1566,1231,1350,190564,F
671216921,1431,187,34344,464,4129,410,2159,190982,T
158865371,675,73,22950,464,415,1642,1257,190672,F
498857392,224,14,9856,464,683,1642,2279,191293,F
308816154,707,86,34643,464,456,821,1400,191275,T
383090483,408,65,38760,464,370,410,1378,191008,T
338416478,205,30,5330,464,363,1642,1219,190668,F
046017780,1387,248,40223,464,455,2053,2060,190745,T
194660617,119,1,2856,464,2329,2053,1541,191336,F
134449451,1299,223,72744,464,411,1642,1321,191399,T
452079411,148,3,5920,464,675,2053,1985,190470,F
130398461,1002,125,83166,464,837,821,1453,190421,T
091582433,82,59,2050,464,376,1642,1695,190509,F
672499342,28,11,1400,464,1698,2053,1756,190627,F
700176572,1404,135,47736,464,442,2053,2065,190479,T
875282571,450,101,42300,464,1003,1642,1449,191202,T
302477209,235,3,6110,464,16517,2053,1953,190489,F
081994188,1356,172,43392,464,1698,1231,1518,190464,T
192508860,160,37,13280,464,1526,2053,2277,191097,F
912352643,1344,186,72576,464,453,410,1198,191351,T
816628856,781,58,15620,464,437,2053,1883,190838,F
721834205,387,42,29799,464,376,821,1990,190656,T
519072359,128,29,3712,464,4431,1642,1885,190862,F
775388080,1281,159,94794,464,1892,2053,1540,191335,T
833068613,156,13,4992,464,475,1642,1268,190857,F
375034362,82,1,5002,464,384,1642,1064,190991,F
635339066,1277,162,43418,464,760,1642,1936,191325,T
106554396,89,16,2848,464,489,2053,1344,190862,F
771331758,1407,155,105525,464,564,821,2526,190943,T
328360294,1093,142,90719,464,532,821,1410,190733,T
787502250,280,10,14000,464,693,1642,1637,191000,F
661495005,1333,235,46655,464,1781,2053,1410,191299,T
064522352,110,29,4510,464,1607,1642,1389,191060,F
262796081,1433,174,74516,464,370,1642,1358,191277,T
892410057,639,94,21087,464,620,1231,1794,190705,F
