userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
319976779,101,1,3131,688,2876,1658,4024,284586,T
045516475,2029,204,40580,688,8718,829,4235,284598,T
487161887,1020,143,114240,688,3444,414,4241,284992,T
120985030,90,57,13230,688,17436,1658,5942,285071,T
289591746,66,5,8316,688,4499,829,3692,284780,T
916059640,1006,121,109654,688,2936,829,3624,284608,T
211952400,2129,384,93676,688,3134,414,5622,285155,T
308837947,1094,117,84238,688,4894,414,5186,285140,T
880061670,1849,190,404931,688,6064,2073,3693,285174,T
654124936,106,26,17278,688,3576,414,7524,284960,T
040615446,1972,426,122264,688,12680,1243,3860,284452,T
063507015,277,17,33794,688,6340,829,6730,284739,T
399767192,1920,240,433920,688,5579,2073,7232,285385,T
752933428,967,138,29977,688,25361,1243,7212,284819,T
240855674,1854,208,398610,688,5365,1658,7355,284440,T
784658661,278,57,48928,688,4226,414,6716,285305,T
452725618,145,3,16530,688,3623,829,5170,285149,T
605129628,1147,156,182373,688,3361,829,6982,284710,T
258358563,273,52,29211,688,8205,1243,6678,285097,T
081483578,1941,247,293091,688,4981,414,3653,285287,T
237697430,1147,157,50468,688,3985,2073,3727,284655,T
144490346,1991,438,191136,688,3576,2073,7389,285079,F
532738101,2036,428,93656,688,6974,1243,3396,284534,T
327519864,2121,401,101808,688,7749,1243,7560,284665,T
449438201,2080,424,174720,688,3282,829,3667,284739,T
939611221,1134,153,150822,688,7749,829,3307,285290,T
748393590,1134,143,21546,688,4226,2073,3679,284399,T
355953340,2115,402,194580,688,7540,829,4096,284543,T
042906666,2019,245,167577,688,8999,829,3969,284677,T
962619926,294,4,55566,688,4359,829,6648,284390,T
973031519,2074,221,431392,688,27898,829,7072,285056,T
719197007,249,39,29631,688,4226,2073,3266,284650,T
537807435,1026,102,85158,688,3985,829,6608,284450,T
664783197,1239,165,32214,688,7153,2073,3817,284815,T
624906545,2034,437,185094,688,5365,414,4993,285070,T
409493538,70,31,17010,688,3099,2073,7385,285042,T
