userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
814061020,1862,373,78204,688,4649,829,7612,285251,T
176553540,1990,428,77610,688,12680,2073,5065,284616,F
512878092,1911,426,99372,688,728,829,5900,284944,T
788784495,1918,437,38360,688,602,2073,4212,285391,F
771545327,1869,423,93450,688,6487,829,5575,285288,T
844042366,2069,381,49656,688,1859,2073,3835,285281,F
267247276,232,16,20880,688,11159,1658,7541,284811,T
200934678,2146,400,55796,688,9299,2073,5562,285039,F
957449973,2091,392,123369,688,3282,829,6628,284503,T
941932352,1876,435,101304,688,2405,2073,7054,284724,F
020283873,1140,142,103740,688,822,414,5486,285292,T
463284415,1895,396,145915,688,4649,2073,3473,285285,F
710331301,89,57,2403,688,719,414,5905,284752,T
029329072,2002,390,108108,688,972,2073,5670,285224,F
147900595,299,18,22126,688,667,414,5783,285385,T
865349203,2017,384,199683,688,1387,2073,7582,285056,F
802352135,1949,387,118889,688,2513,2073,5796,285145,F
203424630,2150,435,122550,688,1207,1658,3646,284666,T
271527516,2105,390,52625,688,2789,829,4193,285000,T
026400855,2072,399,145040,688,792,2073,7068,285002,F
154243260,2006,425,200600,688,7540,1658,6730,284547,T
381060153,1967,435,74746,688,820,2073,3475,284603,F
512205765,1991,202,151316,688,2196,829,5938,284455,T
434278089,2098,434,199310,688,1524,2073,3838,285066,F
890990025,967,122,72525,688,1567,829,7303,285345,T
971422044,2108,389,52700,688,882,2073,3291,284867,F
137418097,338,8,15210,688,952,829,5751,284718,T
661086292,2010,400,128640,688,9620,2073,5051,284580,F
297456884,266,69,19950,688,1885,1658,6640,284443,T
259209714,1232,96,113344,688,1268,2073,4020,284851,F
342932956,334,34,8350,688,628,2073,3617,284798,T
187986763,1149,102,41364,688,1631,2073,3549,284963,F
689948886,1839,244,80916,688,2286,414,7526,284929,T
164618690,1953,384,160146,688,880,2073,7147,284891,F
068322668,210,1,20580,688,3032,414,7187,284967,T
946998568,2099,414,163722,688,3487,2073,6960,284475,F
237657395,120,57,11040,688,1732,414,3971,285034,T
921512929,1244,100,59712,688,908,1658,3419,284555,F
021073036,1065,142,58575,688,629,2073,4141,285223,T
118141614,2081,391,122779,688,917,2073,3678,284764,F
579303412,2083,248,89569,688,1499,2073,5531,284898,T
813970390,1904,442,81872,688,1167,2073,5012,284877,F
483697579,136,63,5576,688,1594,1243,5016,285022,T
543588013,1969,389,70884,688,632,2073,3932,284664,F
032078375,1892,212,83248,688,575,414,5669,284917,T
241113489,1057,101,25368,688,719,829,3963,285391,F
065506973,1967,238,196700,688,3170,414,5597,285304,T
854230099,1913,407,89911,688,624,2073,7033,285108,F
045368166,968,153,80344,688,4573,829,4073,284765,T
254961052,1233,99,114669,688,1279,829,3747,284507,F
040921275,2065,441,165200,688,597,829,6754,284567,T
265336098,1882,381,173144,688,617,2073,4986,285326,F
698726790,217,59,5859,688,1859,414,6724,285332,T
762518933,2160,408,123120,688,1115,2073,7310,285142,F
348069143,135,45,3780,688,3770,414,5609,284405,T
687441580,2119,385,42380,688,965,2073,7538,285063,F
381820092,2053,404,47219,688,2846,1243,5454,285355,T
389748653,1945,413,71965,688,1847,2073,7014,284846,F
864359323,964,125,84832,688,17436,414,7155,285146,T
997355272,2126,406,68032,688,645,2073,4246,284452,F
946018155,210,59,11550,688,673,1243,6954,285143,T
260929320,1923,386,44229,688,962,2073,3993,285249,F
713788940,2002,383,84084,688,1765,2073,3308,285026,F
134085169,233,20,16077,688,908,2073,4245,285161,T
249763681,2015,226,145080,688,651,2073,6824,284861,T
616957580,1875,435,86250,688,760,2073,3626,285148,F
816319337,1921,191,182495,688,656,1243,3806,284463,T
199673763,1959,425,80319,688,1722,2073,6968,285068,F
117316953,269,2,20713,688,992,829,5833,284975,T
148201550,2100,426,172200,688,1670,2073,5102,285320,F
902908893,1995,244,103740,688,1303,1243,4034,284611,T
666499032,2098,432,65038,688,1978,2073,4126,284864,F
018738633,1961,406,109816,688,1192,414,7043,284906,T
072630346,2052,373,137484,688,577,2073,3929,285021,F
657337151,2138,384,164626,688,1603,1243,7482,285128,T
939408577,2083,426,47909,688,1025,2073,5882,284968,F
820027772,1191,160,25011,688,1408,414,7481,285221,T
975204334,1064,101,56392,688,1401,829,5284,285234,F
235666035,1081,134,102695,688,638,414,4089,285343,T
751809683,1951,409,175590,688,832,2073,5380,284431,F
782923626,1825,209,54750,688,570,414,7396,285256,T
405543943,1885,387,163995,688,3576,2073,5629,285121,F
004687923,293,12,20217,688,708,414,7561,285209,T
606333084,2117,386,99499,688,1660,2073,4983,284835,F
488962655,969,107,39729,688,1003,1243,5149,285150,T
734425190,2108,410,84320,688,5166,2073,6928,285161,F
781063476,162,62,7290,688,1476,414,5600,284804,T
610091466,1206,101,61506,688,1897,1243,3409,284917,F
226230392,262,17,20174,688,1910,829,6878,284843,T
531201702,1120,97,50400,688,955,1243,5331,284994,F
522989462,2151,391,215100,688,751,414,6591,285308,T
506190194,1897,382,60704,688,603,2073,3311,285341,F
570615149,1041,101,90567,688,687,414,5321,285202,F
901347298,1234,139,56764,688,936,1243,7051,285041,T
380762215,2101,415,102949,688,917,1243,4006,284732,T
295986965,1110,97,78810,688,1641,414,3951,284618,F
692829814,333,21,30303,688,4428,829,7077,285119,T
920458371,2043,438,77634,688,5263,2073,3830,284787,F
509433539,1108,105,66480,688,1799,2073,7337,284733,T
452815493,1929,424,55941,688,596,2073,4312,284633,F
