userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
807656292,858,94,108108,45,230,2412,3977,21102,T
030867729,556,69,53376,45,230,964,5952,21321,T
534669289,1976,196,414960,45,235,964,5939,21065,T
601714126,1828,219,438720,45,347,2412,6288,21287,F
369214112,1751,171,257397,45,1709,2412,5839,21483,F
992036859,977,131,123102,45,1578,964,4244,20865,T
520401214,1841,286,430794,45,512,1929,8553,21192,T
150499804,1827,195,197316,45,621,2412,8420,21069,F
427811129,404,73,65448,45,379,964,4024,21276,T
143761554,393,69,97857,45,310,2412,4341,20981,T
745608668,935,153,172975,45,284,964,6235,21653,T
615679557,2003,280,102153,45,2279,1929,6410,20971,F
162873585,149,1,26373,45,281,964,4184,21209,T
188616121,426,32,44304,45,1709,964,6002,21183,T
981175587,506,83,107272,45,512,1929,6569,21050,T
026741534,1789,192,177111,45,366,1447,7866,21531,T
536882450,2012,284,179068,45,789,1929,4371,21142,F
562801248,1847,283,258580,45,1079,1447,7696,21231,T
008182996,1764,300,375732,45,387,1929,4161,21287,T
350765102,844,160,177240,45,1465,964,4493,20919,T
702197644,19,11,3477,45,288,482,8141,21152,T
812975698,981,144,130473,45,418,964,4284,20799,T
511927672,1739,287,429533,45,379,1447,7938,20854,T
334198710,87,25,6177,45,297,2412,8053,21647,F
756793564,884,133,163540,45,325,1447,6008,21777,T
372956698,86,1,6450,45,1079,1929,7750,21227,F
800355230,1709,267,297366,45,621,1929,7970,21501,T
029078760,731,140,122808,45,3419,482,4578,21026,T
305190887,1719,267,67041,45,1864,1929,8686,21694,F
110514747,1949,199,204645,45,402,1447,4212,21252,T
936194122,1936,173,106480,45,387,964,8149,21293,T
030238269,1872,160,196560,45,661,1447,7965,21776,T
225045046,448,29,33152,45,336,482,7767,21496,T
559631838,1676,254,402240,45,235,482,6480,20807,T
881688055,468,61,16380,45,569,1447,7771,21254,T
768463578,1824,277,284544,45,455,2412,5828,21400,F
810815584,318,47,28938,45,205,482,6733,21331,T
640877145,1727,205,326403,45,2051,964,6189,21193,T
222987552,387,48,79335,45,347,1929,6392,21763,T
915248658,731,109,159358,45,320,964,4600,21215,T
158622375,929,145,179297,45,586,1929,7986,21600,T
384098245,862,110,73270,45,253,964,8695,21361,T
635833538,796,152,171936,45,366,2412,4735,21063,T
480048889,1838,276,73520,45,220,1447,8659,21617,T
513315175,888,118,143856,45,330,482,8545,21338,T
791759384,1933,259,342141,45,603,482,8178,21134,T
124151807,1710,185,331740,45,306,1447,4359,20918,T
925893396,818,105,96524,45,238,2412,4388,21551,T
093331970,1820,258,116480,45,1367,1929,4265,20868,F
087092366,17,2,2108,11,30,392,1943,2157,T
108098620,829,114,165800,45,436,1929,4390,20971,T
936347547,1883,178,64022,45,387,1929,6446,21584,T
372939758,1830,228,276330,45,526,482,5957,21395,T
393164227,1849,166,421572,45,288,2412,4018,20781,F
095901358,1895,290,238770,45,336,2412,8140,21646,T
522351926,1946,258,145950,45,347,2412,4081,20833,F
450852156,460,29,77280,45,284,1447,5847,21092,T
343643308,41,41,1476,45,2564,482,7674,21382,T
960738792,725,159,84825,45,250,1447,4340,21252,T
280242465,930,111,201810,45,225,2412,4051,21285,T
041212986,1849,161,36980,45,539,1929,7920,21378,T
105887012,1951,244,136570,45,218,964,7777,21666,T
454653190,55,27,6655,45,488,482,8206,21652,T
625061700,458,50,86562,389,1236,229,1833,89095,F
346446002,1983,257,53541,45,732,1929,7810,21190,F
142365861,1815,212,136125,45,273,1447,4219,21144,T
695372598,712,111,94696,45,244,1929,6602,21123,T
615626655,915,159,219600,45,320,964,6399,21538,T
303742502,725,134,16675,45,3419,482,7770,21619,T
468051853,1970,291,468860,45,341,482,6619,21447,T
816104656,1834,298,201740,45,359,964,5964,21368,T
535699451,1784,246,126664,45,500,482,8334,21605,T
392299277,756,93,163296,45,1709,1447,7708,21640,T
138598367,355,50,13135,45,277,1929,8237,21750,T
538810871,846,126,177660,45,230,964,6324,21213,T
480033882,825,98,44550,45,310,2412,6286,21303,T
035929907,1772,298,326048,45,554,482,6501,21244,T
803296161,1841,273,335062,45,310,2412,7994,21102,T
811895315,301,48,74949,45,218,482,8640,21643,T
666975671,1873,288,391457,45,1465,1929,3870,21748,T
969751393,561,23,123981,45,233,482,4849,20803,T
997605826,320,52,51200,45,259,2412,8387,21614,T
891940913,1793,171,80685,45,310,482,4067,21443,T
652464947,1868,291,427772,45,306,482,4092,21032,T
768210369,10,35,1490,45,1079,1447,7748,21343,T
751464727,939,124,10329,45,1367,1447,8082,21323,T
744225054,603,59,127836,45,4102,482,6588,20901,T
870412215,1850,159,419950,45,1025,1929,7949,21479,T
872076314,90,27,4770,45,235,2412,6105,21285,F
942529337,58,24,8236,45,820,964,4752,20827,T
