userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
108946537,1758,193,126576,45,67,1447,8365,21523,T
968506091,1843,268,71877,45,55,1929,6217,21283,F
330481775,459,64,19737,45,68,482,3843,20827,T
330365581,6,1,294,45,61,2412,6514,21473,F
917695999,1800,207,37800,45,1079,964,6253,21305,T
242111391,82,1,4920,45,128,1929,4756,21157,F
934353060,1814,205,112468,45,173,964,8556,21546,T
706899109,1989,174,105417,45,47,2412,6557,21131,F
421852080,1762,249,102196,45,154,2412,8209,20916,F
086148340,833,137,17493,45,41,964,7930,21644,T
205572419,494,54,32604,45,123,2412,6162,21333,T
552392201,1765,306,49420,45,41,1929,7681,21059,F
810090285,414,36,33120,45,197,1447,8531,21200,T
638642099,32,1,2496,45,56,2412,8312,21171,F
171486950,555,52,51615,45,95,482,4702,21389,T
959138019,185,1,3700,45,1578,2412,8521,21663,F
613831999,795,134,50085,45,115,2412,6575,21158,T
453471537,1911,201,82173,45,47,2412,7867,20985,F
282287680,737,152,67067,45,59,1929,8105,21780,T
023124598,109,22,9483,45,241,2412,4545,20843,F
758732040,83,1,2656,45,105,964,6486,21524,T
311687183,13,1,1209,45,151,1929,6381,21737,F
526063873,501,42,31563,45,112,964,5939,21482,T
582741375,1961,258,92167,45,330,2412,7982,21358,F
368770805,1911,220,107016,45,119,1929,7698,20787,T
251042553,1920,218,132480,45,50,2412,6431,20985,F
176661982,538,26,33894,45,94,1447,6013,21487,T
582860666,1715,293,84035,45,394,1929,3964,21594,F
345493913,764,102,46604,45,64,964,6022,20795,T
083088727,81,48,6885,45,55,1929,3944,21550,F
091136352,1998,306,195804,45,211,1929,4830,21247,F
498211206,410,52,29520,45,71,964,7720,21670,T
002993473,2007,304,48168,45,47,964,8098,20895,T
969710018,105,1,5460,45,63,2412,7781,21651,F
371751356,170,3,16150,45,45,1929,6506,21197,F
133472954,1715,198,77175,45,58,1929,7763,21479,T
887614483,1948,168,85712,45,186,482,8113,20777,T
054362977,107,12,8453,45,71,2412,6571,20907,F
886128594,1766,292,54746,45,141,1447,8163,21141,T
920147184,6,26,444,45,71,1929,4748,21781,F
565810459,1998,303,149850,45,293,482,6387,21466,T
410666359,200,1,13200,45,71,1929,4447,21468,F
811738220,912,92,61104,45,148,964,6712,20918,T
899182378,1707,202,102420,45,61,2412,8077,21437,F
053256623,726,155,44286,45,147,1447,8375,21465,T
833200004,1879,184,114619,45,97,2412,5823,21505,F
055975797,844,107,19412,45,44,482,6554,21713,T
612866685,5,25,250,45,78,2412,7942,20962,F
811990881,1807,192,164437,45,46,2412,7948,20906,F
506460683,1741,284,174100,45,144,1929,4070,21000,T
598483150,718,108,65338,45,320,2412,4850,21167,T
441388072,1880,187,73320,45,402,2412,7961,20838,F
749845825,1883,284,103565,45,215,2412,8192,20985,F
169565708,378,76,32886,45,46,1447,4380,21466,T
294501215,876,98,49932,45,51,964,8599,21662,T
346537334,1952,279,117120,45,88,2412,3882,20918,F
120546376,1728,279,148608,45,142,964,8307,21240,T
922009831,1911,207,101283,45,80,2412,6511,21260,F
917360309,9,1,792,45,418,1929,3829,21572,F
245691126,827,102,48793,45,53,964,4300,21778,T
407145213,817,142,43301,45,189,1929,4032,21006,T
284072568,1879,307,50733,45,250,1929,8005,20951,F
139736206,529,62,28037,45,49,482,6606,21377,T
031289265,1731,254,88281,45,70,1929,6453,21577,F
755757009,754,161,27898,45,143,1447,6197,21514,T
167830556,1828,229,51184,45,51,2412,8123,21468,F
823540097,1943,187,136010,45,52,1447,3855,21221,T
313485412,1800,226,84600,45,455,2412,6545,21072,F
157081980,825,118,46200,45,42,1929,8566,21448,T
478342427,96,5,3936,45,45,2412,5861,21166,F
939545728,789,127,31560,45,372,482,4370,21446,T
643285635,1778,279,115570,45,46,1929,4210,21324,F
063928400,937,95,22488,45,1079,1447,8009,21537,T
838877372,1986,284,123132,45,455,1929,6507,21044,F
550207772,292,79,16060,45,41,964,8662,21094,T
650991165,1759,262,63324,45,54,2412,4416,21278,F
133717892,421,51,41258,45,86,482,4805,20825,T
010206458,1815,226,166980,45,89,2412,4219,21521,F
968806006,385,22,8855,45,115,482,6522,21527,T
425811491,1756,250,115896,45,60,1929,4546,21477,F
689485568,295,61,17405,45,65,964,4325,21005,T
564817837,1856,195,48256,45,259,2412,7751,21170,F
864086364,537,53,24702,45,53,2412,6438,21610,T
451786318,2,26,178,45,59,2412,7818,20840,F
377481695,345,45,8625,45,199,482,7775,20882,T
622094464,1890,304,149310,45,107,2412,4647,21198,F
925338635,817,142,44118,45,74,482,4252,21286,T
464194462,104,18,8320,45,78,1929,6433,21078,F
213302396,15,1,570,45,1282,1447,7685,21772,T
286868948,1933,287,102449,45,1709,1929,8413,21576,F
956055564,956,106,74568,45,82,482,7809,20815,T
682295214,1803,222,86544,45,1025,2412,6733,21248,F
960568385,1844,283,99576,45,69,964,4562,20883,T
749929115,1799,192,116935,45,85,2412,3965,21525,F
906029307,865,127,83905,45,45,964,8170,21422,T
775518825,1836,282,60588,45,48,1929,6391,21391,F
219948227,326,67,32274,45,181,1929,4315,20994,T
642027200,20,49,420,45,43,1929,6011,21499,F
486839211,852,142,64752,45,70,1447,8172,21317,T
813909209,1950,210,40950,45,266,2412,3933,21786,F
