userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
939105477,108,10,4644,511,6033,2263,2283,289457,T
498982686,1430,182,313170,511,3585,2829,2612,289176,F
964587801,1433,215,295198,511,2473,1697,1639,289120,T
075752787,423,36,10998,511,2876,1697,2145,289916,T
427553169,340,105,23460,511,6685,2829,1873,289891,T
054791503,1661,286,139524,511,24738,2263,2622,290051,F
161874419,730,86,133590,511,5890,2263,1217,289571,F
710692580,1580,299,241740,511,16492,2829,1195,289451,F
285804162,17,1,2414,511,3990,565,1686,289913,T
296071991,925,73,92500,511,3092,2829,1702,289410,F
115156222,1611,303,82161,511,2843,1697,3005,289677,T
584740198,698,58,27920,511,5622,1131,1590,289792,T
622487249,12,33,2484,511,2779,2829,1275,290058,T
605523703,968,90,27104,511,3748,1131,3103,289866,T
078962981,1537,202,16907,511,3585,565,2556,289768,T
111230835,1490,233,47680,511,3054,2829,2212,289760,F
712572694,1409,234,219804,511,9514,1697,2393,289267,T
839541956,852,77,192552,511,7980,2263,1928,290097,F
687015293,810,88,34020,511,13020,1697,2089,289723,T
921166299,898,87,55676,511,3016,2829,1577,290026,F
903108777,1468,185,201116,511,7730,1131,2702,289934,T
458599557,19,1,817,511,3054,1131,2107,289800,T
032760685,1432,214,312176,511,2980,565,1157,290093,T
264562704,304,48,55632,511,11244,2263,2530,289759,T
671401649,743,73,178320,511,4417,565,1992,289251,T
669827475,689,92,64766,511,7730,2829,1771,289577,F
883506354,976,59,128832,511,7980,2829,1191,289419,F
283770313,1415,209,48110,511,6871,1131,2327,289588,T
849340247,1745,259,179735,511,6184,2263,2518,289265,F
564126093,828,127,57132,511,2576,565,2348,289702,T
960884371,427,65,52094,511,5890,1131,1319,290110,T
522959311,1591,240,335701,511,6184,1697,2284,289540,T
718664263,523,56,28765,511,3748,1697,3260,289131,T
226549314,1612,263,386880,511,8246,1131,3079,289515,T
771641735,19,44,2907,511,3016,565,2815,289692,T
693104675,1654,287,205096,511,24738,2829,2366,289449,F
700917499,45,1,2205,511,13743,1131,1305,289123,T
949171824,542,61,24390,511,6343,2263,2655,289758,T
148276160,1571,202,43988,511,6343,1697,1920,289223,T
062426261,67,1,5159,511,4340,565,3201,290015,T
423713598,1438,221,106412,511,3534,565,2646,289361,T
151320859,919,90,226074,511,2779,565,2322,290118,T
257188226,1505,190,216720,511,8835,2263,2976,289454,T
232507888,1403,212,127673,511,3092,2829,1655,289816,F
636077913,698,108,171010,511,35340,2263,2637,289546,F
555909223,1610,311,177100,511,2631,1131,1646,289404,T
463884388,1354,236,304650,511,4417,565,2033,289235,T
358909598,1480,242,287120,511,2718,2829,1322,289782,F
278036976,1428,208,135660,511,4340,1131,2747,289404,T
829793683,1332,190,57276,511,12369,2263,2017,289554,T
584108743,98,1,21462,511,2576,565,2392,289989,T
421815242,104,1,23400,511,9162,1697,2587,289818,T
518677378,90,36,6030,511,3748,2263,2727,289643,T
431213911,11,31,330,511,13020,2829,1752,289522,T
740294210,901,99,217141,511,2550,1131,2586,289606,T
287929272,53,1,3445,511,2550,2263,1968,289650,T
444176308,1491,212,277326,511,3342,565,1440,289505,T
737722725,403,103,35464,511,3484,565,2524,289548,T
160070471,9,13,639,511,11244,2829,2857,289954,T
870956706,914,91,120648,511,8246,2829,3048,289893,F
138090850,832,113,139776,511,14551,2829,2741,289974,F
864264818,490,51,9310,511,3388,565,2264,289332,T
151756419,725,117,59450,511,6871,565,1737,289300,T
293743816,1747,271,47169,511,7980,1697,3239,289481,T
000103287,739,64,96809,511,15461,1131,2076,289762,T
773696573,57,7,10659,511,3748,565,3076,289262,T
434230138,891,112,97119,511,6184,1131,1278,289673,T
672029440,379,57,52302,511,3298,2263,1486,290045,T
369414072,866,108,28578,511,3748,2263,3098,289255,F
411684311,564,94,18048,511,41230,2829,1426,289937,T
509296444,851,79,129352,511,2811,565,1554,289412,T
245982316,711,93,151443,511,17670,565,1083,289465,T
070884356,40,25,8480,511,4417,2263,1611,289186,T
507842977,967,61,61888,511,7496,565,2651,289239,T
121645663,365,42,50370,511,3131,1131,1609,289139,T
