userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
501537887,1594,222,141866,511,555,2263,3201,289307,T
954043756,849,111,56034,511,4192,2263,2390,290115,F
920512911,923,66,53534,511,800,2263,2659,289375,F
687013948,23,1,2047,511,573,1697,2924,289273,T
031940721,97,1,2425,511,2945,2829,1373,289866,T
564254491,1465,220,39555,511,940,2829,2296,289444,F
671797070,15,44,345,511,2718,2263,1949,290074,T
679173367,957,86,29667,511,3388,2829,2334,289962,F
066605291,937,101,81519,511,582,1697,1509,290102,T
772203774,1611,265,64440,511,800,2263,1223,289568,F
474284486,1522,265,106540,511,9162,1131,1706,289460,T
994479566,1629,300,131949,511,719,2263,1267,289369,F
290358248,3,16,207,511,570,2829,1926,289946,T
355699943,1310,203,124450,511,1330,2829,3152,289764,F
982298537,1411,201,139689,511,770,2263,2525,289323,T
466519619,941,89,24466,511,893,2829,1164,289992,F
937011467,1373,239,35698,511,3054,1131,2268,289208,T
074866448,1627,275,79723,511,4581,2263,3020,289811,F
686061142,732,100,38064,511,1005,1697,2344,289243,T
635467582,692,107,63664,511,805,2829,2451,289371,F
210451483,560,35,38640,511,1013,1131,2473,289913,T
894206196,796,72,62884,511,989,2263,2493,289922,F
136291988,609,46,19488,511,1627,2263,1854,289268,T
881647807,787,77,30693,511,642,2829,2241,290078,F
423803345,899,81,89001,511,1429,565,2222,289776,T
932925507,1553,233,83862,511,544,2829,1629,289126,F
858757613,791,60,60116,511,944,1697,2976,289980,T
316097511,948,65,63516,511,973,2263,2259,289858,F
759300930,808,90,67064,511,1249,2263,2577,289760,F
129168252,1573,250,130559,511,1075,2263,2383,290049,T
431089062,528,42,52272,511,868,2829,1966,289527,T
266572142,880,103,64240,511,2011,2829,2599,289648,F
711922556,411,41,15618,511,550,1131,1831,289565,T
836002426,842,104,84200,511,944,2829,3184,289204,F
572584479,751,69,67590,511,576,565,2030,290014,T
392490482,787,100,43285,511,2061,2829,2335,289159,F
992636858,881,89,44050,511,1995,2829,1921,289205,F
014983510,1519,212,31899,511,3990,1131,1659,289244,T
188690463,707,117,61509,511,944,565,1247,289475,T
133555794,841,67,27753,511,5263,2263,1568,289650,F
364703032,1601,303,81651,511,580,2263,2785,289226,F
535178754,4,25,320,511,1429,2263,2316,290093,T
690879916,1577,279,70965,511,2311,565,2086,289290,T
534573265,1408,214,60544,511,1344,2829,2638,289269,F
835307045,430,47,20210,511,1389,1131,3058,290094,T
098361219,696,112,28536,511,594,2263,1287,289283,F
659499726,873,107,46269,511,647,565,2287,290113,T
138246665,1550,259,89900,511,6871,2263,1815,289663,F
319475763,386,69,14282,511,1351,2263,2526,289883,T
449039402,869,112,74734,511,1249,2263,1472,289899,F
147982725,131,21,3799,511,1315,1131,2240,289262,T
621274177,840,100,43680,511,1438,2263,2328,289308,F
415237499,1673,272,103726,511,564,2829,1657,289291,F
960931155,731,101,35088,511,1888,565,2562,289707,T
895140776,703,106,57646,511,1018,565,3107,289532,T
236109867,1738,306,161634,511,515,2829,3051,290058,F
578462564,394,97,16548,511,853,565,2428,289625,T
375199920,690,65,44160,511,1104,2829,1819,289486,F
632555567,1648,280,72512,511,3926,1131,2032,289836,T
595206924,812,96,55216,511,685,2263,1736,289210,F
356060871,144,1,13536,511,1124,565,1904,289230,T
244734057,1600,185,60800,511,548,2829,2404,289953,F
744902632,478,79,27724,511,1616,565,2618,289969,T
653708219,1673,290,153916,511,6685,2263,2970,289472,F
315231151,1593,204,43011,511,824,2829,2075,289323,F
913021198,1541,185,107870,511,1846,1697,2341,289183,T
455924949,785,118,70650,511,5497,1697,1842,289691,T
341067048,1791,302,91341,511,702,2263,2214,290110,F
183665559,1431,223,75843,511,2311,565,1612,289639,T
122654373,1331,188,107811,511,1145,2829,2239,289217,F
830829215,888,107,47952,511,566,1697,2613,289135,T
451865859,942,109,43332,511,691,2829,2838,289248,F
398674535,1616,269,32320,511,1145,565,2191,289223,T
210256446,717,119,30831,511,708,2263,1373,290045,F
423114892,1398,199,96462,511,517,2263,2083,289122,T
070438958,784,113,58016,511,663,2829,2505,289451,F
308285047,16,30,800,511,4340,2829,3041,289517,T
877905298,748,117,31416,511,687,2263,2523,289431,F
047178975,1404,236,49140,511,5497,2829,2435,289992,F
043470477,498,85,25398,511,1846,2829,1352,289502,T
319090872,1378,186,128154,511,2688,1697,2986,289854,T
716715988,832,127,75712,511,691,2263,1771,289135,F
501250033,413,70,15694,511,505,1697,2880,289318,T
703063060,895,92,23270,511,855,2263,2843,289860,F
772706407,409,47,16360,511,775,1131,1988,289342,T
818599131,875,79,84875,511,1499,2829,1884,289323,F
369370255,761,102,41094,511,2718,1131,1819,289459,T
788048055,938,87,90986,511,3637,2263,1414,289587,F
656712876,793,93,67405,511,2980,1697,2608,289816,T
471518658,1382,204,134054,511,2631,2829,2438,289551,F
398879593,16,36,416,511,1729,1697,3234,289187,T
995951360,1307,207,92797,511,706,2829,1551,289231,F
975210808,1700,265,47600,511,1302,2829,1840,289528,F
505791395,375,75,36000,511,505,565,2787,290080,T
322985510,1490,208,71520,511,521,1697,2147,289635,T
850855559,1612,281,106392,511,740,2829,2685,290060,F
111250829,1588,253,122276,511,12369,2829,2233,289112,F
077954259,375,41,34875,511,19029,1697,2821,289748,T
421313612,9,40,243,511,3388,1131,2134,289678,T
487425103,871,90,87100,511,1124,2263,3244,289940,F
