userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
753023562,388,88,27936,816,24221,1561,10798,424919,T
311567521,322,66,9982,816,5676,1041,7894,425406,T
131049469,2145,294,117975,816,10685,2603,6025,425373,F
244638558,1513,148,335886,816,22707,1561,5508,425210,T
834226135,172,72,37668,816,7898,1041,7904,424760,T
426641632,1156,225,15028,816,3992,520,10692,424997,T
148609867,820,163,117260,816,5422,1561,5910,425516,T
821578056,1638,133,106470,816,5676,2082,8777,424786,T
364041684,139,5,4726,816,4780,1561,8675,424921,T
532241913,210,18,39480,816,4036,1041,5881,425054,T
319035981,1356,194,44748,816,11009,2082,8480,425148,T
426734482,428,68,31244,816,4325,1041,11198,425494,T
074432344,1151,199,14963,816,8257,1561,5317,424793,T
344302781,704,187,107008,816,4718,2603,6138,425073,T
346492926,1682,140,176610,816,33029,2082,10425,425170,T
339574526,163,38,24613,816,9819,2082,8488,424834,T
748817071,211,7,33549,816,19122,1561,7930,424959,T
802688763,429,32,14586,816,51903,1561,5157,425016,T
818455481,1623,141,137955,816,4128,2603,5956,425120,T
205483567,781,197,67947,816,4224,2082,8707,424769,T
613018166,2122,245,180370,816,8073,520,6177,425647,T
437109888,1474,143,151822,816,6487,520,8111,425090,T
770848746,1109,200,188530,816,3949,1561,11116,424869,T
808584881,1694,177,355740,816,9083,1561,7901,425467,T
995081939,816,193,8976,816,5117,520,11374,424828,T
533039285,830,145,41500,816,5046,2603,8266,424738,T
728191556,1197,207,117306,816,6605,1561,10805,425292,T
615388373,1209,192,85839,816,5860,2082,10445,425080,T
388688074,204,35,35700,816,13973,1561,8735,425226,T
587313338,692,200,15224,816,3992,1561,10911,425056,T
132726294,926,161,65746,816,18166,1041,7787,425674,T
421486752,1531,138,283235,816,13973,1041,10792,425540,T
977712354,271,37,19783,816,5190,520,5167,424768,T
018253832,1778,215,439166,816,3865,2082,5645,425338,T
018353074,1640,143,90200,816,6986,520,5750,425023,T
976606905,1088,173,212160,816,7730,2603,10794,425182,T
430265697,383,84,36385,816,5956,1041,5233,424901,T
765403439,216,40,15120,816,6374,2603,5158,424782,T
215188622,1360,197,217600,816,3745,2603,10670,424972,T
157187159,1358,222,32592,816,8073,1041,5777,425507,T
381802790,204,69,7956,816,4377,520,8740,424917,T
099838134,1520,166,34960,816,18166,2603,11081,425174,T
216267636,1273,190,19095,816,15796,1561,10869,425021,T
384263928,710,198,64610,816,5342,1561,11154,425082,T
522265248,263,7,12098,816,4224,2082,10789,425204,T
670523943,827,145,125704,816,6487,520,11342,425019,T
351327126,1107,211,38745,816,4082,1041,8358,425687,T
725546642,1702,225,30636,816,40369,520,5187,424695,T
058055886,1073,212,231768,816,25951,2603,5620,425073,T
702721682,105,26,13545,816,5676,1041,11226,424733,T
