userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
013034272,119,16,10234,816,879,2082,10696,425066,T
962055258,1321,132,50198,816,2256,2082,10804,425026,F
238882524,2061,291,51525,816,953,2082,8188,425147,F
094331882,2070,275,60030,816,2752,1041,10419,424708,T
382245733,153,56,14688,816,4718,2082,5734,425496,T
702192526,1381,111,73193,816,1755,2082,10422,425505,F
055706555,1911,294,139503,816,4274,520,6151,425551,T
857564842,2002,253,52052,816,5767,2082,11343,425334,F
990849049,114,27,5130,816,2344,2603,11390,425411,T
464212172,2115,288,103635,816,5422,2082,10484,424701,F
481786070,402,86,22512,816,894,2603,8107,424924,T
068593906,1172,114,53912,816,3302,2603,5516,424997,F
392037096,2057,268,84337,816,3187,1561,5316,425018,T
111340943,2174,253,143484,816,749,2082,11256,424737,F
945403602,1548,152,147060,816,1922,1041,8698,424768,T
440008514,1885,280,114985,816,2794,2082,8591,425162,F
611916513,785,179,32970,816,820,1041,5300,424950,T
018486848,1323,119,56889,816,1621,2082,8210,425038,F
308650008,1124,201,70812,816,1078,1041,10412,425235,T
650632403,2074,279,58072,816,1094,2082,8467,425265,F
402638007,1353,195,132594,816,2816,2603,6140,424758,T
804042479,2150,243,111800,816,2576,2603,5431,425194,F
339935062,318,28,8268,816,2906,2603,11109,425460,T
920275352,1908,292,89676,816,4082,2082,6105,425488,F
744500845,802,160,47318,816,3159,1041,11320,425077,T
625248138,1941,232,151398,816,4274,2603,8024,424756,F
613064970,1273,208,70015,816,2242,1561,10528,425667,T
805109006,1927,230,121401,816,1325,2603,5450,424971,F
526698903,123,50,9840,816,1191,1041,5387,424776,T
341175514,1988,277,117292,816,1713,2603,8724,424747,F
220646017,489,80,18093,816,13456,2082,10839,425263,T
592409671,1921,270,145996,816,1513,2082,11371,424681,F
486162559,1214,210,106832,816,3302,1561,8288,424883,T
909875698,1947,297,38940,816,869,2082,11249,425617,F
095553029,1592,131,93928,816,8650,520,5765,425394,T
490519535,2046,238,55242,816,3364,2603,10881,424897,F
804330336,294,17,11760,816,877,1041,5660,425437,T
715062142,2056,270,158312,816,5190,2082,5431,425033,F
088330151,193,47,17370,816,1012,1561,8117,425684,T
086248291,2123,275,44583,816,933,2082,10462,424868,F
787247537,1649,138,95642,816,3633,1561,8088,425676,T
027472367,1998,292,183816,816,1211,2603,8751,424849,F
383280473,893,180,50008,816,1124,1561,10911,424787,T
447637215,2182,237,58914,816,2359,2603,10712,425614,F
396611301,282,27,14382,816,4274,2082,11250,424891,T
946215814,2029,292,48696,816,6264,2603,11131,425225,F
375972915,1334,223,101384,816,11720,1041,5798,425463,T
266833452,1186,107,34394,816,1419,2603,8714,424912,F
820607924,1458,195,88938,816,36332,1041,10484,425050,T
569112578,2038,289,122280,816,860,2603,8567,425484,F
627848973,699,152,36348,816,738,1041,5583,425055,T
037908368,2038,294,118204,816,771,2603,6041,425218,F
894262963,730,138,70810,816,3105,1561,10479,424809,T
653499095,2031,255,85302,816,1520,2082,8687,425258,F
010243594,2172,250,182448,816,831,1041,7894,425411,T
909746344,1385,133,78945,816,1087,2603,5482,424794,F
658034877,2053,292,166293,816,1065,2082,10902,425514,F
646499661,181,32,4163,816,908,2082,8761,425336,T
408996051,1411,142,64906,816,1219,520,5508,425261,T
671615080,1887,281,83028,816,841,2082,5677,425350,F
765023352,453,92,19932,816,846,2603,6195,424865,T
416193385,2053,232,88279,816,1056,2603,10947,424825,F
026023494,2108,237,90644,816,946,1041,8178,424984,T
709601800,1237,128,49480,816,739,2082,5599,425622,F
629774913,1905,265,148590,816,1614,2603,7945,425472,F
806605156,122,20,5002,816,1081,2082,8606,424843,T
533907565,803,139,18469,816,2711,520,8063,425165,T
525516044,2054,275,184860,816,2100,2082,11266,424986,F
743085352,279,34,27621,816,15138,2082,8732,425655,T
326050425,1986,262,45678,816,1044,2082,5569,425040,F
476324716,1325,207,90100,816,2359,520,8321,425369,T
150002564,1977,238,168045,816,2149,2603,6051,425195,F
455224161,1341,214,85824,816,7266,2603,8325,425616,T
641098298,2109,228,103341,816,2299,2603,5200,424753,F
677128791,1105,178,93925,816,1056,2603,10435,425154,T
548906891,2015,273,143065,816,2215,2082,8160,424718,F
936828754,1302,239,57288,816,11009,2603,10507,425674,T
037968838,1215,128,55890,816,1963,2603,11051,425239,F
908419196,1082,211,38952,816,5767,2082,10907,424825,T
402150527,1939,275,104706,816,3865,2082,10838,425106,F
490691254,402,70,34974,816,846,2603,5278,424931,T
923371971,2168,258,138752,816,2406,2082,11311,424891,F
119859809,454,85,40860,816,1789,2603,11058,425657,T
691487205,1935,276,168345,816,2651,2082,11149,425548,F
072706659,141,66,7614,816,791,520,5829,425168,T
539531416,2169,241,136647,816,2149,2603,8616,424685,F
711289684,864,162,55296,816,13973,1041,5425,425478,T
702358068,2142,273,64260,816,1674,2082,7911,425032,F
286653369,2138,293,70554,816,7898,1561,8789,425039,T
982895136,2184,229,157248,816,1381,2082,8168,424690,F
048270312,693,172,54747,816,1183,2082,5276,425382,T
368410784,1397,111,53086,816,825,2082,11390,425339,F
227270933,530,68,25970,816,24221,1561,8165,424926,T
936153149,1365,149,43680,816,736,2603,11241,425294,F
857982502,1116,189,78120,816,741,1041,11195,425110,T
586842732,1163,112,33727,816,835,2082,11067,425663,F
237094271,1229,236,76198,816,1495,2082,10956,424706,T
832807957,2161,277,45381,816,2794,2082,5890,425461,F
370884458,1958,285,58740,816,2540,1561,10793,424846,T
651725373,1310,144,52400,816,829,2082,8800,424812,F
