userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
044672549,1188,126,84348,349,2567,510,2372,177739,T
041773170,491,96,10311,349,1939,1020,2607,177966,T
300748747,2,5,38,349,3423,1020,1762,178171,T
917454301,620,117,48980,349,4849,1020,2857,177802,T
268654947,236,12,32568,349,4364,2040,2937,177369,T
028941092,575,127,10925,349,2128,2550,1993,177478,F
789364835,567,126,44226,349,29095,1530,2931,177668,T
680304658,1135,172,158900,349,5290,1530,1471,178114,T
038215097,9,30,1809,349,2297,1530,1272,177775,T
007358980,1103,129,30884,349,11638,1530,2322,177244,T
946755189,1438,261,48892,349,4476,2550,1783,178225,F
889472838,1634,222,42484,349,5631,1020,2805,178140,T
037373677,1324,158,316436,349,2424,2040,2085,177348,F
630714422,568,86,41464,349,1918,510,1585,177661,T
786811332,1257,185,94275,349,2567,2550,1798,177302,F
938436770,8,46,392,349,2053,510,1932,177579,T
447791364,1133,141,196009,349,1799,1530,2942,178127,T
469815398,1514,226,48448,349,1745,1530,1154,178138,T
949092764,1542,203,24672,349,21821,1530,1901,178063,T
176816397,1315,166,43395,349,3357,2550,2850,178003,F
712105445,1074,136,172914,349,2327,1020,1638,178061,T
793715141,744,88,90024,349,2605,510,2529,177695,T
463599549,1642,266,133002,349,1877,510,1308,178067,T
438030772,1444,210,25992,349,2861,1020,1320,177318,T
171557461,624,107,98592,349,34914,1530,1678,177805,T
164464035,1259,165,207735,349,2359,2550,1494,178007,F
593192448,1105,165,28730,349,2771,1530,2668,177515,T
353797231,160,1,15520,349,2053,2550,1427,177659,T
942102252,1104,179,124752,349,2359,2550,1415,177996,F
971468267,1312,151,278144,349,3879,2550,2323,177646,F
756954987,231,9,19866,349,1818,1020,2693,178084,T
803703479,639,74,107991,349,3174,510,1287,177998,T
892497299,88,36,9240,349,24939,2040,1894,177926,T
028388546,1688,214,162048,349,6019,1530,2199,177672,T
723314749,29,50,3422,349,1837,2550,1230,177359,T
218414324,1192,180,287272,349,1857,2550,1551,178173,F
