userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
560939460,1085,191,33635,349,868,1530,2028,177610,T
617323546,1482,240,32604,349,422,2040,2170,177693,F
430127311,1451,229,69648,349,377,1530,1702,177617,T
377747234,460,96,33120,349,1171,2550,1452,177993,F
125265239,77,1,6083,349,396,510,1675,177789,T
671621006,1041,185,71829,349,572,2040,1748,177252,F
636009916,742,101,15582,349,1694,1530,1576,178017,T
944724369,1095,174,89790,349,953,2040,1649,177356,F
610950516,605,59,41140,349,529,510,1487,177923,T
423112095,1599,205,103935,349,469,2040,1827,177691,F
968619319,655,94,49125,349,392,510,2685,177942,T
319527935,481,102,42328,349,10269,2550,2646,177487,F
856006614,1071,131,23562,349,535,1020,1503,177600,T
679621359,1329,156,99675,349,1781,2550,1311,177606,F
030681058,1599,215,78351,349,359,2040,1646,177949,F
166548498,130,1,11310,349,8728,2040,2581,177948,T
865358913,635,64,29210,349,877,510,1869,177583,T
193921425,1653,208,99180,349,411,2040,1110,177603,F
590382998,693,108,24255,349,440,1530,2009,178027,T
326716148,1318,132,93578,349,396,2550,1387,177812,F
285533275,1330,158,49210,349,555,2550,1718,178023,F
793153225,1534,239,39884,349,1203,1530,1228,177253,T
553657208,1669,207,140196,349,360,2040,1563,177496,F
946370806,625,83,33125,349,1342,1020,1932,178139,T
973650161,10,9,320,349,2567,1020,2070,178128,T
860217837,1607,199,138202,349,373,2550,2118,177530,F
240268894,1128,177,81216,349,913,510,2036,177956,T
140455006,1335,151,126825,349,456,2550,1263,177282,F
263201662,1237,130,102671,349,446,2550,2490,177458,F
830109463,742,101,69748,349,2359,1020,2257,178059,T
189452936,1279,177,74182,349,579,2040,1943,177994,F
780449892,1663,253,66520,349,1039,1530,2695,177852,T
002285163,616,71,12320,349,1003,1020,1225,177338,T
567825656,743,105,46809,349,21821,2550,1206,178027,F
914922792,1693,255,72799,349,899,510,2319,178083,T
213968577,1683,226,58905,349,441,2040,2045,177624,F
149122864,10,15,830,349,1837,1020,1355,177571,T
465608802,1251,182,25020,349,370,2550,1843,177553,F
796221571,1260,179,112140,349,938,1530,1875,177884,T
970400803,1564,219,103224,349,3562,2550,2349,178055,F
032398187,1638,231,99918,349,449,2040,2364,177743,F
867880921,1468,250,113036,349,373,510,1098,177892,T
679295167,75,52,6900,349,1694,510,2977,177444,T
270577631,1062,142,54162,349,765,2550,2129,177346,F
045193099,1662,200,86424,349,498,510,2334,177553,T
322372372,451,110,15334,349,362,2550,2006,178241,F
478860062,1457,228,138415,349,1255,510,2311,177365,T
631837549,1127,166,36064,349,634,2550,2553,177806,F
248622965,696,118,52896,349,639,1530,1262,178140,T
077887800,1337,186,123004,349,487,2040,2122,177968,F
348784266,1078,127,106722,349,3293,1530,1731,177522,T
839220064,1174,140,29350,349,397,2550,1551,178249,F
803206392,1540,226,129360,349,14547,1020,2938,177551,T
735270151,1438,219,113602,349,3357,2550,1221,177989,F
288632184,1415,265,90560,349,489,1530,1393,177958,T
910357076,1181,160,42516,349,676,2550,2078,178041,F
045698538,514,65,47288,349,701,2550,3040,177712,F
520338207,1641,231,78768,349,661,1020,3000,177943,T
476081510,731,115,46784,349,815,510,2346,177826,T
934301838,460,102,23920,349,6465,2550,2227,177607,F
780366791,1664,216,78208,349,2605,510,2465,177623,T
630993492,1561,230,146734,349,823,2550,1961,177533,F
454390258,47,11,1833,349,4594,2040,2138,177541,T
227582532,697,113,37638,349,414,2550,2654,178102,F
908221693,1583,242,115559,349,494,510,1671,177345,T
379194232,706,104,31770,349,1293,2550,1315,178197,F
893152858,554,94,17174,349,676,510,1694,178016,T
398432679,1274,154,31850,349,431,2040,1385,177626,F
711757703,5,37,290,349,2029,1530,1881,178074,T
576204102,1664,223,59904,349,4476,2550,2996,177244,F
757824635,544,90,42976,349,1091,1530,2632,177610,T
643502144,1320,175,71280,349,470,2550,2394,177964,F
447210893,60,31,2040,349,4849,2550,1233,177402,T
860311981,1452,240,140844,349,1187,2550,1686,178078,F
047461514,1639,256,113091,349,10910,1020,1580,177802,T
105487108,1325,166,82150,349,648,2040,2172,177538,F
346895169,1177,142,67089,349,797,1530,1614,178210,T
125211090,1195,166,103965,349,608,2040,2452,177748,F
041639755,1249,146,26229,349,500,1530,1457,177627,T
333011903,1318,131,88306,349,2103,2550,1249,177713,F
270655846,1572,219,110040,349,646,2550,2058,178117,F
744261955,1184,183,63936,349,1694,510,1556,178202,T
277594670,10,1,620,349,1454,2550,2885,177398,T
485155011,1050,171,75600,349,736,2550,1440,178178,F
493052914,1135,145,102150,349,1818,2040,2472,177977,F
776967184,1068,152,104664,349,661,1530,2365,177370,T
692196531,1272,189,127200,349,1419,2550,2339,178149,F
118719405,1486,217,63898,349,372,510,1753,177451,T
060393932,585,112,12870,349,632,2040,1311,177871,T
028834266,1512,249,42336,349,414,2550,2348,177684,F
847899121,1092,123,70980,349,593,1530,2131,177753,T
824476367,572,66,15444,349,362,2550,2220,177959,F
083707699,153,43,4896,349,4476,510,2301,177449,T
757586147,1240,129,110360,349,918,2550,1686,177557,F
491982765,699,62,63609,349,14547,1530,2522,178015,T
907820818,1598,244,105468,349,975,2550,2159,177908,F
824331616,1442,235,118244,349,579,2040,1885,177518,F
866487223,8,1,512,349,396,1530,2206,177662,T
664336380,238,7,5474,349,831,510,1981,177827,T
856541915,1631,240,91336,349,392,2550,2860,177653,F
