userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
200291934,1045,140,45980,803,11193,877,7565,352314,T
546775465,2001,222,42021,803,4819,2193,5573,352225,F
462516851,1845,237,25830,803,4130,1316,7460,352539,T
404048000,1139,141,60367,803,5421,1755,5764,353016,F
282179139,1002,137,59118,803,3505,438,5825,353171,T
937110974,1868,253,22416,803,7229,2193,7635,353142,F
559690990,1435,164,276955,803,8463,438,5371,352699,T
702127177,1096,117,66856,803,13880,2193,6030,352652,F
746172484,1519,205,186837,803,5783,1755,7230,352552,T
995197242,1350,197,249750,803,5102,877,7728,352824,T
592578515,917,145,89866,803,7711,1755,7725,352906,T
535135456,1873,192,44952,803,7711,877,5258,352969,T
216230183,865,112,73525,803,4034,1755,7200,352265,T
485287991,1621,181,296643,803,26692,1755,7102,352213,T
879137184,1499,155,208361,803,5102,1316,7590,352898,T
849654463,1568,155,56448,803,8675,1316,3814,352619,T
116992213,1480,160,324120,803,7081,877,4179,352305,T
518101226,815,113,123880,803,6425,877,7593,352198,T
742522107,1438,212,310608,803,49571,877,7273,352821,T
633971041,1314,211,93294,803,3470,438,7639,352769,T
273494786,1326,155,84864,803,6425,1755,5631,352711,T
896323050,1872,249,160992,803,4753,2193,6202,352779,F
320541210,1801,189,36020,803,18263,877,7952,352998,T
129381071,1000,154,54000,803,5688,1755,5215,352221,F
373981347,1463,218,346731,803,11193,2193,5948,352569,T
862726799,1291,163,258200,803,3731,438,3733,352967,T
399990397,1853,209,224213,803,4130,1316,4239,352986,T
177906816,852,158,72420,803,21687,438,3847,352915,T
804428397,1365,217,244335,803,3771,877,6110,353173,T
276808369,840,160,61320,803,11193,2193,3709,352785,T
101386313,1403,183,300242,803,7229,2193,3566,352215,T
859208724,2050,218,90200,803,10843,1316,6255,352931,T
391425588,798,113,23940,803,4957,2193,3709,352970,T
633849649,1461,154,68667,803,5688,877,5543,352236,T
184856133,953,133,104830,803,4957,2193,6972,352706,T
867488981,885,113,69915,803,19277,877,4058,352467,T
563766973,879,151,47466,803,28916,1755,3737,352805,T
188078379,1311,190,115368,803,8897,1755,7214,352510,T
581518655,1979,191,180089,803,15772,877,7608,352612,T
752405832,1832,214,89768,803,11965,2193,7431,352426,F
819586168,1352,179,169000,803,4130,1316,3754,352659,T
609802788,939,130,89205,803,8897,877,5261,352419,T
218751993,1423,206,120955,803,4392,2193,4454,352595,T
013675410,1848,251,44352,803,4957,1755,6141,352864,F
461799406,1773,226,90423,803,19277,438,7547,352438,T
556511276,1426,214,313720,803,7382,877,7672,352490,T
838547591,1614,168,185610,803,23133,2193,5488,352271,F
755035247,1032,130,58824,803,5507,1316,7122,352962,F
395826142,1577,197,178201,803,5179,2193,6238,352805,T
426132094,2049,197,204900,803,4887,1316,4107,352882,T
