userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
828640227,1372,168,58996,803,5596,877,4485,352491,T
855955110,1062,178,63720,803,715,1755,5898,352588,F
577996859,984,121,95448,803,892,2193,3595,352624,T
641909038,1032,135,47472,803,863,1316,6249,353059,F
369474353,970,133,85360,803,4337,438,5283,353042,T
882585572,1844,190,106952,803,1145,1755,7049,353021,F
618392562,1562,160,140580,803,5338,1755,5273,352433,T
645255166,1975,217,98750,803,1196,1755,5499,352768,F
125115954,1344,175,48384,803,5596,2193,7962,353077,T
087800267,1931,226,110067,803,3898,1755,5255,352318,F
404540406,1434,209,34416,803,1152,438,6001,352849,T
705118180,1799,196,115136,803,917,2193,6097,352632,F
661623276,1412,170,101664,803,4689,438,5243,352733,T
429489849,2044,240,145124,803,2628,1755,5721,352281,F
908882313,1361,171,108880,803,34700,877,4438,352319,T
199965537,1117,124,75956,803,3435,1755,6237,352524,F
370843257,845,119,53235,803,3505,1755,3975,353013,T
095389275,1934,233,56086,803,6309,1755,7034,353025,F
955246899,1292,194,100776,803,3855,2193,7422,352769,T
387874857,1255,119,48945,803,725,1316,7111,352694,F
738096064,949,153,94900,803,1319,1316,4005,352495,T
784033101,1849,241,90601,803,1294,1755,6091,353146,F
327938170,1865,222,100710,803,43375,1755,6988,352812,F
274271284,882,138,18522,803,1542,1316,7167,352229,T
624027751,833,163,43316,803,1726,877,6001,352481,T
480852711,1864,228,108112,803,1077,1755,7746,352895,F
194961587,1339,214,112476,803,766,1755,6026,352769,T
638366973,1812,229,65232,803,1339,2193,3805,352735,F
664429863,1845,255,75645,803,1108,877,5816,353117,T
272439252,1068,125,88644,803,1464,2193,5250,353102,F
795401686,1109,142,45469,803,7543,1755,4100,353179,F
464857134,905,133,40725,803,2168,2193,4320,352624,T
100790741,823,161,42796,803,1404,1316,6149,352259,T
517736512,1801,218,109861,803,2065,2193,5585,352859,F
265003935,1351,203,70252,803,858,2193,3460,352580,T
493292014,1182,117,62646,803,4565,2193,6040,352298,F
804670794,1289,208,67028,803,935,877,5233,352534,T
388860066,1067,174,42680,803,10843,1755,7536,353101,F
535186353,989,157,79120,803,1164,1316,5797,352693,T
988627506,1582,163,132888,803,16523,2193,5799,352382,F
712888243,1470,183,69090,803,2053,1755,7946,353071,T
900209598,1971,202,191187,803,9378,2193,5777,352560,F
596482195,812,128,22736,803,69400,877,5309,352479,T
352985798,1078,117,42042,803,850,1755,4374,352407,F
078142601,1081,115,92966,803,1556,2193,3811,352485,F
256947034,1325,165,42400,803,5783,1755,5633,353180,T
546780292,1764,249,142884,803,728,877,3893,352530,T
706514755,2048,221,124928,803,889,2193,5358,353019,F
525549752,1854,196,87138,803,874,2193,7366,352244,F
989692960,949,154,91104,803,910,1316,3989,352933,T
829938391,860,162,59340,803,719,1316,3519,352971,T
341641319,2002,219,56056,803,7382,1755,6042,353031,F
852807498,1408,155,112640,803,2628,877,5650,352931,T
203284063,1065,127,55380,803,2443,2193,5935,352644,F
517898911,1406,156,70300,803,1137,1755,5907,352755,T
482932204,1752,197,150672,803,13346,1755,3742,352823,F
421153463,1047,172,27222,803,2915,1755,6128,352972,F
057535388,1080,129,96120,803,1684,877,7896,352252,T
801432479,1805,214,133570,803,57833,2193,5972,353132,F
150275281,948,144,92904,803,937,2193,4286,352689,T
594422899,1310,210,91700,803,1054,1316,6998,352341,T
966782561,2051,250,43071,803,7711,1755,7720,352233,F
605394184,1392,159,68208,803,6940,1755,5669,352445,T
155472282,1083,113,70395,803,2224,1316,7624,353112,F
539169250,1940,205,143560,803,1521,438,7047,352639,T
999011903,1089,113,89298,803,1770,1316,4438,352409,F
827135624,1050,166,30450,803,2005,438,3593,353083,T
223911865,1193,147,36983,803,11965,1755,5306,352670,F
338693487,2011,236,176968,803,1502,877,5494,353169,T
040503432,1882,234,139268,803,7543,1755,7102,352591,F
506924236,1072,150,32160,803,43375,2193,6087,353062,F
143968942,2001,186,188094,803,1188,877,7527,352999,T
678566697,885,123,61950,803,1149,877,5817,352387,T
860291340,1866,193,149280,803,7382,1755,7886,352424,F
244423274,1406,176,29526,803,2460,877,5590,352855,T
292797904,1195,125,33460,803,1115,2193,3723,352723,F
259556267,1442,198,106708,803,1061,438,4202,352940,T
655724035,1990,190,111440,803,1145,2193,3547,353184,F
129724343,1317,216,75069,803,1949,438,7131,352192,T
634063934,1953,199,134757,803,1017,1755,6116,353130,F
090425869,1393,192,72436,803,1020,2193,6235,352231,T
222259554,1782,202,169290,803,4753,2193,3824,352360,F
495621089,858,161,50622,803,3731,2193,5459,352680,T
515754769,1195,137,66920,803,11965,2193,3842,352855,F
896818661,1431,176,128790,803,1226,1316,4347,352965,T
443187647,1188,116,42768,803,1542,1316,5926,353145,F
978401809,2024,255,44528,803,1070,1316,7036,353193,T
966584652,998,171,22954,803,832,1755,7179,353044,F
989197901,1542,176,30840,803,1266,1316,4172,352840,T
590014692,1949,248,40929,803,11566,2193,7863,352551,F
911057295,840,125,39480,803,997,1755,5301,352374,T
107723782,1824,214,94848,803,950,2193,4261,353163,F
738723471,1863,223,55890,803,2669,438,5673,352273,T
970038808,1823,217,65628,803,856,1755,5423,352401,F
564309701,1801,194,133274,803,735,877,3951,352592,T
068947694,2043,196,138924,803,3540,1755,3971,352288,F
417696196,1418,194,104932,803,848,877,7973,352243,T
805515827,1028,153,70932,803,858,2193,3972,352628,F
594433209,1288,170,39928,803,1011,438,5893,352221,T
212811250,1073,139,28971,803,1289,1316,4160,352497,F
