userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
154896295,867,127,117045,240,619,442,2551,52943,T
889338598,182,23,42406,240,7434,663,3477,52947,T
789937766,669,84,44823,240,1734,221,4187,53494,T
683334383,793,124,63440,240,559,663,1904,53043,T
013732254,549,79,90036,240,743,663,2997,53193,T
354569646,59,1,2655,240,5782,442,4043,53246,T
689334400,6,40,594,240,963,1106,4104,53433,F
765209005,73,23,13797,240,571,442,4475,53484,T
521664378,519,60,106914,240,1084,1106,4223,52903,T
790291176,789,78,15780,240,525,221,3155,53417,T
431076934,121,28,30250,240,6505,663,4503,52932,T
968051342,583,62,106106,240,1156,442,2675,53019,T
904103230,927,133,18540,240,565,1106,1741,53547,T
911366629,194,13,9700,240,5204,221,2134,53764,T
761109848,103,12,23896,240,2168,221,3288,53746,T
752558575,788,96,115048,240,553,442,3942,53715,T
027405633,858,90,21450,240,565,442,2278,53055,T
419623665,728,98,92456,240,929,221,3497,53443,T
502427380,231,42,15708,240,525,442,2366,53561,T
142569508,904,105,143736,240,591,885,3934,53344,T
190432441,529,115,126960,240,1239,663,3029,53384,T
008615480,762,109,129540,240,963,1106,3558,53581,T
075704041,38,1,9500,240,4336,1106,3606,53485,F
874943709,80,9,3200,240,743,221,2689,53633,T
282288511,13,55,2301,240,1406,885,1913,53603,T
380947719,744,129,40176,240,703,442,2424,53591,T
378997621,838,138,21788,240,1626,1106,3974,53736,T
574529749,215,1,11395,240,853,442,2747,52797,T
817399859,895,74,114560,240,7434,663,3456,53137,T
496615836,6,14,438,240,913,221,3313,53146,T
657744272,664,128,102920,240,1210,663,1839,52870,T
725326136,13,7,2938,240,4336,663,3543,53294,T
762391272,129,1,18189,240,2602,221,3549,53156,T
488542118,124,41,3844,240,634,1106,4508,53187,F
424580336,195,22,20280,240,867,663,3910,53744,T
726632806,663,82,133263,240,882,663,4496,53295,T
171175733,608,75,142880,240,1084,885,4492,53473,T
005271523,729,119,79461,240,3061,221,4133,52902,T
128325888,202,50,13938,240,1334,442,3116,53015,T
124505380,126,44,13356,240,5782,442,2424,53021,T
529694364,222,33,18204,240,703,442,2407,53730,T
756363593,899,97,44950,240,1927,663,4033,53358,T
587625089,706,114,168028,240,634,663,3563,53272,T
427852817,13,1,585,240,981,1106,3555,53048,F
961797853,7,7,938,240,2478,221,2730,53583,T
836303540,20,9,3420,240,1131,221,2368,52895,T
037166881,516,71,108360,240,1486,1106,2465,53094,T
990750174,567,87,121338,240,867,885,2954,53340,T
098119299,680,141,94520,240,531,1106,3892,53008,T
372995542,140,30,22260,240,4731,885,2383,53728,F
794976039,113,1,4068,240,650,221,3896,52909,T
587018393,881,79,193820,240,1406,663,2651,52880,T
934216577,32,1,3680,240,591,442,1869,53195,T
961981494,15,11,360,240,4336,1106,4286,53074,F
447935864,174,52,19488,240,612,1106,3514,53002,F
816765593,3,56,741,240,667,885,2748,53043,T
137419801,787,102,83422,240,3717,1106,2884,53584,T
099966931,676,119,78416,240,531,663,4455,52930,T
740986560,218,17,24852,240,4003,221,2726,53724,T
739760283,743,76,112936,240,5782,221,2358,53566,T
618180139,124,7,16492,240,4731,885,2010,52946,F
480536523,77,1,12089,240,929,663,1830,53697,T
258323312,633,133,6963,240,981,1106,2691,53036,T
507524516,105,35,22680,240,703,885,3922,53246,F
567188716,54,10,9396,240,642,885,2872,52920,F
967248803,809,77,43686,240,559,885,3761,52875,T
754014435,25,1,4700,240,565,1106,3627,52909,F
004959660,930,72,193440,240,547,663,1904,53713,T
731926303,61,1,10858,240,946,663,2658,53119,T
240861423,142,1,29678,240,826,885,3611,53549,F
076401805,212,1,42400,240,559,221,3937,52901,T
403257384,861,102,210945,240,981,1106,3546,53464,T
134616288,764,72,16044,240,946,221,4000,53781,T
237760965,111,12,26085,240,578,663,2729,53092,T
163186133,13,1,208,240,765,221,3057,53681,T
295965015,863,82,149299,240,776,1106,3118,53791,T
392778161,673,63,148733,240,650,663,2541,53759,T
426151988,784,131,104272,240,1182,442,2173,53049,T
332139224,6,51,1488,240,1794,1106,4228,53120,F
035530591,531,101,128502,240,1084,663,2260,53529,T
756401959,780,124,119340,240,1577,1106,3918,53403,T
031011145,158,27,11850,240,5782,1106,3986,52853,F
881024840,150,5,31950,240,754,885,3247,53411,F
508686663,16,9,3168,240,642,663,3236,53355,T
444939512,795,85,73935,240,1131,1106,2716,53225,T
158113105,10,26,750,240,853,663,2739,53564,T
048292208,888,126,15984,240,800,221,3804,53774,T
088956975,536,69,71824,240,553,885,2590,53064,T
270363945,215,1,49450,240,584,442,4268,52884,T
151945563,8,32,1672,240,4731,663,3906,53569,T
637408244,590,81,128030,240,605,221,2732,53395,T
192384172,149,25,13112,240,1182,221,3818,53303,T
800541753,19,35,1330,240,4731,663,3583,52912,T
432856288,692,79,133556,240,684,885,3302,53003,T
376314377,849,133,114615,240,882,1106,2315,53198,T
349701809,14,1,1932,240,4003,1106,1844,53384,F
578940480,85,36,17085,240,1210,885,2002,52862,F
039710184,73,51,15038,240,703,221,4467,53434,T
017410190,10,46,410,240,7434,442,2012,53747,T
484954103,136,40,26384,240,2168,221,4024,52885,T
036364649,845,99,167310,240,776,885,2640,53310,T
808195040,619,67,147941,240,591,1106,3404,53226,T
630344648,531,99,129033,240,619,1106,4202,53787,T
202149070,70,5,4200,240,542,663,3591,52836,T
586666392,61,3,3782,240,6505,663,2718,53263,T
346909602,124,49,13640,240,913,885,1826,53177,F
460913127,736,113,62560,240,584,885,4279,53572,T
370980585,677,106,92749,240,3252,221,2437,52918,T
920540536,212,34,13356,240,1040,885,3947,53205,F
936068611,836,141,60192,240,2168,1106,1951,53579,T
048659402,154,1,19712,240,1239,1106,3276,53451,F
565906923,238,11,8568,240,8673,885,4027,53276,F
797674944,12,32,528,240,1182,442,2705,53486,T
961745103,848,81,73776,240,675,885,2698,53279,T
562975393,41,5,5822,240,963,663,3168,53736,T
022068873,886,139,174542,240,4003,663,2743,53319,T
082931671,670,125,83750,240,1334,442,3834,53413,T
785251075,719,108,143800,240,754,1106,2700,53240,T
891678485,921,76,86574,240,3252,1106,2688,53427,T
204006537,36,50,6624,240,1734,885,1896,53540,T
312538842,123,20,17466,240,2001,221,2891,53289,T
403518627,832,140,82368,240,2262,885,2392,52924,T
701219447,894,99,30396,240,963,221,2744,53000,T
891745582,573,108,99702,240,1626,663,3568,52819,T
122645550,16,41,416,240,642,442,3651,53186,T
807659611,161,24,4830,240,733,885,3522,53280,F
775913240,921,93,33156,240,981,442,3015,52803,T
276867467,58,55,10556,240,1107,663,3397,53369,T
328617312,18,13,486,240,1334,221,3227,52912,T
387662740,795,129,93015,240,642,442,4131,53025,T
370317905,859,107,134004,240,839,663,2607,52972,T
015529925,520,101,92560,240,1084,221,3433,53425,T
941317832,802,107,33684,240,598,221,2607,52966,T
697596074,229,2,46258,240,684,663,3565,53034,T
506177124,115,43,25070,240,2478,663,2626,53319,T
575150652,71,5,1136,240,542,1106,3565,53620,F
935740663,188,1,46624,240,542,885,2443,53575,F
420988704,803,111,159797,240,882,663,3405,53084,T
771978638,873,111,201663,240,1020,663,2238,52799,T
315415882,12,1,1968,240,8673,1106,2652,53601,F
250500910,560,66,73360,240,520,442,3817,52929,T
262719648,924,102,205128,240,5782,221,2607,53394,T
276620242,634,100,58962,240,788,221,2913,53343,T
627007301,734,116,91016,240,3469,221,3966,53521,T
736224309,800,130,90400,240,1040,1106,3246,53160,T
990297431,824,118,190344,240,2168,442,2715,53030,T
077689625,53,1,3816,240,642,885,3313,53324,F
997553125,766,109,165456,240,1000,885,1808,53791,T
491879566,607,64,83159,240,525,1106,3493,53435,T
591852190,570,124,114570,240,667,663,2874,53229,T
582151532,68,1,15232,240,4731,663,3313,53021,T
078335269,12,54,2316,240,712,1106,2724,53080,F
731555421,688,121,165120,240,531,663,1799,52870,T
136000829,6,41,1014,240,536,221,4250,52827,T
897208537,673,74,109699,240,1577,885,2671,52941,T
507465072,102,1,23562,240,897,1106,1754,52837,F
489771198,694,134,100630,240,536,442,4371,52829,T
243661557,157,25,15072,240,4003,885,2669,53339,F
179403529,770,125,72380,240,642,663,3568,53400,T
260396324,760,139,176320,240,1269,663,2631,53704,T
124497085,826,97,172634,240,981,442,2526,53441,T
732194589,109,26,11663,240,693,1106,1775,53197,F
445531516,918,82,194616,240,3061,1106,2226,53071,T
206830173,15,6,945,240,765,885,1983,53610,T
591203419,543,99,96654,240,1406,885,2752,53368,T
762514024,177,51,31152,240,5204,663,3223,52849,T
619051499,582,55,94866,240,1858,1106,3852,53346,T
077197134,802,94,182054,240,675,221,4295,53365,T
949770026,648,77,47952,240,1486,1106,3954,53080,T
898805762,562,89,111276,240,1577,442,3633,53765,T
800113969,838,138,85476,240,634,1106,3981,53486,T
030251084,775,88,160425,240,675,1106,2544,53061,T
835204419,679,125,44135,240,2262,1106,4188,53052,T
859334876,188,7,10152,240,591,1106,3593,52840,F
700815014,517,107,90992,240,627,442,3765,53733,T
883965278,560,58,138320,240,6505,221,3653,53307,T
