userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
760552233,924,133,34188,240,213,1106,3459,53579,T
148264202,7,30,329,240,244,1106,3529,52887,F
538885960,781,81,51546,240,110,1106,2419,53157,T
529742884,57,35,3021,240,382,885,2525,53650,F
040828870,4,1,264,240,1062,442,4239,53632,T
631570500,231,4,11781,240,315,1106,4075,53350,F
026022049,244,1,16348,240,1107,1106,4185,53510,F
284748155,704,90,23936,240,319,221,4167,53355,T
500832173,881,118,57265,240,108,885,2731,53624,T
438058209,145,40,10295,240,162,885,2780,53784,F
782930538,680,113,30600,240,340,1106,4322,52943,T
165857110,152,23,13224,240,4336,1106,2906,53563,F
328756467,697,73,43214,240,565,885,4118,53324,T
464521736,182,39,4732,240,157,1106,3185,53154,F
104333179,109,37,6540,240,433,663,2845,53729,T
777872504,228,35,14364,240,2891,1106,2682,53406,F
655748187,94,12,5452,240,309,221,3539,53121,T
391359616,202,31,17574,240,181,1106,3546,53601,F
385114573,752,136,48128,240,194,442,2757,53163,T
284117540,163,25,5542,240,243,885,4145,53588,F
931956935,173,1,8304,240,120,663,3196,53528,T
874985819,137,27,3699,240,323,885,2168,53157,F
893569510,123,17,7380,240,340,885,2692,52808,F
711564651,67,7,6432,240,813,442,2357,53004,T
741966222,228,43,11856,240,128,221,2424,53023,T
072032111,15,28,1380,240,354,1106,1864,52815,F
917443263,26,19,2496,240,136,885,3087,53476,T
276883769,235,43,10575,240,222,885,3151,53252,F
428425735,218,29,11336,240,131,885,3491,53764,F
570449631,826,133,30562,240,177,663,2271,52993,T
629380992,890,107,29370,240,430,663,3535,53727,T
271168385,90,12,6300,240,164,885,3590,53549,F
340760230,803,71,57816,240,634,442,3471,53751,T
192196812,170,6,4420,240,416,885,2634,53294,F
271608757,238,20,11186,240,115,663,3349,52931,T
044733050,47,41,2444,240,142,1106,2773,53079,F
054629822,142,49,10508,240,5204,885,1871,53297,F
211383203,839,106,30204,240,309,885,2732,53027,T
119169397,866,126,66682,240,323,221,3913,53673,T
606476636,45,1,2565,240,276,1106,3459,53126,F
072452281,227,6,5675,240,146,663,4012,53309,T
661508884,196,53,10584,240,209,885,2678,52807,F
817972104,920,141,61640,240,627,442,2857,53753,T
571963713,97,9,3395,240,200,1106,2777,53749,F
887322314,755,102,64930,240,126,885,2761,53707,T
603733971,127,39,3048,240,385,1106,2590,53403,F
929438928,78,1,5928,240,133,221,3698,53250,T
601713650,105,19,5670,240,754,885,2308,53781,F
903036044,19,46,1729,240,113,221,3080,53708,T
534017212,247,13,8892,240,121,885,3934,52894,F
561442645,221,2,16796,240,129,1106,3590,53709,F
267565123,4,1,156,240,105,885,3509,52933,T
654819639,789,117,75744,240,452,885,4359,53420,T
179252637,43,1,2408,240,170,885,1955,53014,F
326247005,235,45,18565,240,409,885,4398,53007,F
080790552,65,1,3575,240,177,663,2728,52848,T
985839085,880,111,80080,240,229,221,2070,52868,T
596674458,115,5,10120,240,495,1106,2914,53115,F
986204318,722,113,46208,240,206,1106,2661,53137,T
424013088,47,19,2679,240,174,1106,3250,53486,F
657414013,815,113,35860,240,136,442,1925,52889,T
114856564,81,34,4617,240,167,885,4004,53186,F
262750613,751,78,31542,240,486,663,2342,52900,T
395550837,94,11,8460,240,230,1106,1947,52850,F
119182360,803,79,69058,240,143,442,3514,53327,T
937065141,143,49,7007,240,182,1106,4037,52947,F
348786053,634,78,38040,240,1734,885,3760,53667,T
582140907,58,39,1508,240,132,885,4090,53785,F
731727606,16,27,480,240,5782,221,4483,53228,T
485753832,26,30,546,240,159,1106,4426,53329,F
584895368,148,46,9324,240,194,221,2694,53463,T
188454870,29,1,2291,240,276,1106,2341,53489,F
591851938,816,124,77520,240,177,1106,2995,53488,T
368009239,9,1,261,240,105,1106,4437,53021,F
744205544,225,1,9450,240,124,885,2716,52996,F
450597806,797,141,28692,240,211,221,3596,53161,T
283412537,196,50,11564,240,125,663,1969,53556,T
252850803,9,5,639,240,155,1106,2870,53513,F
779901823,30,1,2910,240,164,1106,3527,53092,F
046393528,853,128,60563,240,121,221,4227,53174,T
489644768,11,29,1100,240,215,442,2732,52932,T
655274145,110,2,6050,240,125,885,3754,53485,F
470147313,92,39,2852,240,132,1106,2755,53640,F
394177928,16,50,400,240,441,663,2635,53581,T
110452109,125,21,12000,240,192,442,4469,53757,T
822469070,178,51,6942,240,385,1106,2986,53194,F
036350561,913,108,20999,240,2602,885,3602,53590,T
414684961,168,48,7392,240,115,1106,2957,53717,F
530519390,220,1,15180,240,547,221,2860,53782,T
852894646,149,43,8046,240,413,885,3846,53070,F
305264241,36,4,1620,240,105,221,3936,52892,T
370480959,3,23,78,240,468,1106,2125,53704,F
669002462,96,20,6240,240,146,1106,3847,53217,F
162897000,19,34,703,240,146,442,2702,53601,T
304451524,881,104,66956,240,1445,885,3805,53637,T
954830194,74,1,7252,240,127,1106,2820,52918,F
888747161,176,27,10032,240,658,663,2847,53779,T
192483731,113,36,10735,240,743,1106,2427,52975,F
609296606,634,136,36138,240,426,663,1762,53308,T
896995661,218,23,19184,240,137,1106,4494,53092,F
