userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
515653636,1760,310,177760,262,1225,1660,1813,108414,T
234229335,1242,203,111780,262,1300,2075,1532,108260,T
380216998,695,107,75755,262,1285,415,1479,108346,T
334752249,1097,166,149192,262,1616,830,1845,108568,T
956768925,563,66,113726,262,2601,830,1853,108735,T
526200222,488,83,14152,262,2734,1660,1907,108747,T
020250593,1214,170,276792,262,1385,830,1202,108345,T
263067009,522,76,52722,262,1720,1660,1815,108977,T
973086198,458,90,103966,262,1481,830,1634,108423,T
693828768,399,108,46683,262,1225,1245,1680,108739,T
215947541,1662,268,184482,262,1523,2075,1670,108896,F
899317941,349,56,46417,262,15237,2075,1691,108796,T
903858767,974,192,10714,262,5332,830,962,109186,T
379207923,1852,327,266688,262,1240,2075,794,108869,F
872204782,1302,184,74214,262,1502,1245,900,108681,T
511831258,458,44,109462,262,1172,415,864,109104,T
579502296,975,245,17550,262,2012,2075,1322,108594,T
330004239,1214,206,112902,262,1975,1660,2550,109077,T
882482675,1823,320,311733,262,2480,1245,1546,108559,T
159485648,1354,131,200392,262,4266,415,1601,108640,T
158177289,1054,205,219232,262,1693,415,1799,108278,T
380741282,1736,305,133672,262,6274,830,1756,108961,T
614474742,932,231,15844,262,1904,1245,2088,108794,T
372598063,1171,197,44498,262,2480,2075,1453,108454,T
950079761,541,62,122807,262,1422,1245,2199,108972,T
264509160,542,90,88888,262,1904,1660,1518,108659,T
512999226,1226,173,245200,262,10665,2075,1607,108511,T
221967534,580,142,49880,262,3950,415,1562,109019,T
681609742,584,125,76504,262,1461,1245,1826,108983,T
917667778,1098,147,266814,262,2133,830,976,108637,T
721677227,1289,143,177882,653,9362,288,1913,188565,T
319784047,691,122,118852,262,1807,1245,1665,108688,T
091879744,403,114,58032,262,1904,830,1329,109220,T
254415203,1842,269,29472,262,5332,415,1845,108949,T
614601616,1227,166,104295,262,1077,1245,1863,108393,T
039149722,391,58,86411,262,5332,1660,2311,108298,T
338180622,1184,149,40256,262,3809,2075,1830,109253,T
799620924,574,46,130298,262,2962,415,2610,108997,T
998330393,1870,269,321640,262,1198,1245,1440,108826,T
883877387,455,63,87815,262,7110,1245,1283,109241,T
020592519,407,98,63492,262,1367,830,2283,109016,T
272654583,1810,328,340280,262,9696,830,841,108754,T
826354692,1820,286,138320,262,3555,1245,1677,109251,T
308587742,587,44,103899,262,15237,2075,2643,109178,T
157371423,438,88,18396,262,1300,1660,1540,108327,T
382070245,407,105,51282,262,1066,1660,1754,109183,T
096269573,616,74,97944,262,2370,830,1359,109172,T
797957819,1227,196,201228,262,5925,415,1609,109170,T
313470681,1174,168,280586,262,1088,1660,1347,109203,T
453122763,1735,262,57255,262,2962,415,2197,108932,T
498148745,637,168,85995,262,1198,830,1098,108357,T
008795108,614,131,149202,262,2601,1660,1632,108766,T
875842874,737,105,88440,262,1099,830,2544,108940,T
763425183,1127,159,264845,262,1545,830,1784,108620,T
015015265,1604,263,351276,262,1367,415,1698,108672,T
086741587,631,66,78875,262,1285,830,2563,108736,T
668600210,1773,272,42552,262,2734,830,1797,108559,T
963512098,1730,310,41520,262,1422,2075,1853,108990,F
375090685,1893,294,130617,262,1441,830,1583,108870,T
654424749,1783,329,246054,262,15237,1660,2125,108464,T
398115326,959,236,20139,262,1523,830,1613,108286,T
166175336,465,110,69285,262,10665,415,1793,108791,T
320310277,1335,151,133500,262,1481,1660,1600,108606,T
101256382,1848,295,282744,262,1077,1245,1678,108300,T
299709398,1603,270,381514,262,1748,1245,2062,108608,T
274460512,436,89,96356,262,1099,1660,2012,108546,T
938877840,1865,293,55950,262,2539,830,1891,108587,T
719015807,1236,190,232368,262,5079,2075,1709,108454,T
229961511,400,84,46400,262,1066,415,1768,108725,T
201120001,539,69,52822,262,1225,415,2245,108839,T
912904679,1890,327,32130,262,2666,2075,1903,108614,F
630791856,780,120,56940,262,10665,415,1726,108380,T
933959429,462,65,97020,262,1066,830,1254,108951,T
