userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
676175050,1238,198,110182,262,978,1245,1630,109122,T
114026214,539,157,11319,262,735,2075,893,108961,F
473147684,567,153,43092,262,230,1245,968,109190,T
188984948,738,146,46494,262,1640,2075,2062,108267,F
784658327,1709,298,169191,262,784,830,2128,109092,T
360728211,778,138,44346,262,720,2075,2012,108837,F
944676014,1242,190,113022,262,263,2075,1769,109116,T
939318094,738,141,47232,262,217,2075,1366,109068,F
116575844,1176,245,45864,262,650,1660,2097,109146,T
503942027,649,157,29205,262,239,2075,2246,109176,F
523984667,526,63,39976,262,286,415,1670,108662,T
646170468,781,106,35926,262,767,2075,1680,108561,F
727217435,1671,294,160416,262,308,1245,1195,109090,T
480160272,1733,310,150771,262,459,2075,1244,108989,F
048380191,731,105,55556,262,215,2075,2150,108510,F
883480863,732,162,16104,262,1225,830,1770,108709,T
411971303,1616,272,66256,262,881,830,1288,108804,T
318158618,752,166,70688,262,290,2075,1455,108347,F
979441924,1332,169,79920,262,1502,1660,1975,108534,T
228187903,566,161,52072,262,294,2075,1927,109193,F
102195969,952,237,27608,262,360,830,1244,108749,T
201790270,1730,280,76120,262,833,2075,2231,108494,F
888295808,1884,328,97968,262,493,1660,2149,108568,T
378454973,548,139,34524,262,272,2075,983,108437,F
071708564,397,51,21438,262,435,1660,1211,109059,T
517022551,1839,328,163671,262,421,2075,1369,108285,F
399523881,1642,300,162558,262,2051,2075,863,108589,F
678825428,1639,312,78672,262,440,1660,1510,108920,T
590363900,1292,188,82688,262,250,1660,2121,108635,T
269428133,1638,323,63882,262,701,2075,1635,109131,F
093598018,488,45,36600,262,390,830,2172,109128,T
091913187,628,151,55892,262,221,2075,2222,109152,F
953700244,722,161,42598,262,911,2075,1817,108391,F
477942151,1703,286,95368,262,1185,830,1748,109219,T
656000808,1594,282,146648,262,352,1245,2595,108738,T
794388766,656,159,27552,262,1035,2075,2408,108809,F
982684000,529,71,12167,262,500,1245,967,108743,T
933190330,1820,324,172900,262,234,2075,1762,108558,F
061395447,477,58,29097,262,257,1660,1644,108875,T
960445540,742,142,73458,262,285,2075,1607,108833,F
490006323,818,154,71166,262,283,830,2314,108499,T
318793488,605,116,16940,262,1333,2075,922,108304,F
924406910,1127,200,29302,262,1025,1245,809,109131,T
554215816,1653,262,34713,262,1198,2075,1628,108366,F
395853505,600,170,46800,262,379,2075,2304,108507,F
161030831,1870,313,142120,262,627,1660,985,108604,T
483379803,522,78,38628,262,246,1245,2614,109043,T
750244279,1828,308,129788,262,960,2075,2069,108333,F
791140251,713,126,39928,262,397,830,2251,108568,T
936190461,1645,294,123375,262,459,2075,1875,109017,F
569691700,804,146,37788,262,3333,1660,1239,108996,T
257097976,697,165,21607,262,244,2075,1325,108576,F
477398486,1124,147,71936,262,505,415,2269,108322,T
893115610,590,166,27140,262,602,2075,2066,108791,F
833456869,1337,179,132363,262,312,830,1235,109169,T
114809468,1644,267,41100,262,576,2075,2500,108523,F
113960574,1259,153,81835,262,226,1245,2655,108694,T
327919766,1675,289,164150,262,419,2075,1625,108710,F
965169824,1126,162,111474,262,290,830,2003,108586,T
732037075,1839,286,182061,262,225,2075,1702,108272,F
865853518,667,163,66033,262,1545,830,1728,108387,T
180438155,1708,329,122976,262,2133,2075,1750,108764,F
317234838,375,65,24750,262,935,2075,1780,108855,T
303159817,764,137,38200,262,274,2075,2635,108947,F
187644476,998,231,45908,262,679,830,2034,108846,T
432936612,1641,292,119793,262,706,2075,1552,108493,F
739397348,798,150,63042,262,579,415,1623,108406,T
349757093,1798,303,37758,262,969,2075,1660,109251,F
017863252,1657,323,160729,262,222,1660,944,109188,T
848443999,1679,314,122567,262,268,2075,2374,108625,F
826397738,971,242,95158,262,715,2075,2298,108990,T
615730419,1753,300,50837,262,692,2075,1508,108938,F
839815681,1235,178,76570,262,1591,415,1965,108758,T
102262353,673,151,32977,262,310,2075,1808,108842,F
813889880,448,91,21504,262,374,415,1561,109085,T
677659527,1769,265,37149,262,340,2075,2224,108405,F
550244390,1061,187,48806,262,240,1660,1655,108369,T
278246076,1874,329,54346,262,272,2075,1065,108619,F
955654219,919,237,28489,262,270,2075,1992,108512,T
181581070,1728,303,172800,262,2318,2075,973,108349,F
494801801,1780,290,51620,262,223,2075,1483,108507,F
821219536,939,217,24414,262,256,830,2333,109110,T
119588246,773,105,56429,262,2222,1660,1935,108780,T
745417405,711,157,49770,262,1025,2075,1541,109228,F
336671923,1768,323,76024,262,522,2075,1483,109022,F
276360703,530,124,33390,262,344,830,2016,108385,T
690089975,986,227,29580,262,3440,2075,2091,108713,T
440044610,1822,325,174912,262,1025,2075,1931,109063,F
937639085,587,145,12327,262,291,1660,2273,108416,T
287311058,1771,276,63756,262,334,2075,1788,109246,F
612923146,611,163,60489,262,761,1660,1901,108969,T
519910811,1753,272,82391,262,386,2075,2468,108971,F
521663918,618,64,54384,262,224,830,2554,109184,T
922287530,767,125,47554,262,265,2075,2119,108394,F
625555361,1163,228,67454,262,430,1245,1697,109197,T
391301207,800,138,63200,262,808,2075,908,109154,F
556630495,681,135,64014,262,282,830,1503,109069,T
460520223,1826,328,56606,262,715,2075,1603,108840,F
505185097,1212,153,59388,262,285,2075,1990,108343,T
259799594,1885,263,114985,262,405,2075,2295,108825,F
