userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
241738508,909,107,119079,647,7058,964,1318,208344,T
092166868,2036,254,107908,647,13647,964,1380,208401,T
430182851,1276,216,269236,647,2693,321,1751,207767,T
856013232,7,7,819,647,7581,321,1088,207518,T
265119862,245,44,19110,647,2924,964,1194,207494,T
550939756,2033,253,298851,647,9305,1286,1343,208371,F
822395480,1121,158,107616,647,8529,321,1209,208122,T
558220056,1155,140,120120,647,2558,321,1678,208044,T
853816335,324,61,4212,647,10774,643,1401,208114,T
626667975,440,68,8800,647,2466,643,1606,207780,T
139339107,754,124,188500,647,11372,1608,1422,207481,F
271062259,114,11,10146,647,4094,643,2162,207766,T
735977241,1943,216,439118,647,3591,1608,1562,207680,F
546294732,72,47,11376,647,2067,964,1610,207488,T
190276569,1925,215,113575,647,3101,1608,1150,207699,F
087153486,19,1,4541,647,2766,1286,1933,207836,F
239723300,267,17,10680,647,3411,643,2021,208397,T
242493755,1209,167,83421,647,3249,321,922,208207,T
566047341,718,105,112726,647,3411,1286,1585,208296,T
846473799,848,73,180624,647,2766,321,2245,207902,T
693817360,747,72,56772,647,3198,1608,1021,208018,F
665314561,979,125,50908,647,3655,964,1050,207813,T
001914046,862,80,55168,647,5387,1286,1145,208179,T
117463590,15,5,2895,647,4760,643,2085,207533,T
712977241,699,99,32853,647,2496,1286,1276,207990,T
280170105,1257,208,268998,647,2693,964,1697,208212,T
674130979,842,102,53888,647,2352,1286,876,208098,T
278329951,328,32,12464,30,519,888,3390,13323,F
248203923,959,70,141932,647,2274,1608,1635,207472,F
458798417,1161,98,262386,647,2437,964,1333,207911,T
174928816,862,118,27584,647,10235,964,1337,207488,T
593471104,1812,212,50736,647,10235,964,1215,207810,T
546094910,1627,259,45556,647,34118,321,1477,208215,T
585508083,1819,267,356524,647,2924,1286,1513,207567,F
926090193,18,45,2736,647,2558,321,1624,208074,T
960326212,85,1,6205,647,7581,1608,1986,207454,F
193166681,797,100,28692,647,3722,321,1862,207468,T
760961461,1993,216,388635,647,15746,643,1931,208171,T
301574258,1769,236,173362,647,3055,1608,1670,208297,F
571589955,881,114,197344,647,4177,643,1518,207763,T
131027113,1761,272,42264,647,17059,964,1548,207730,T
047548125,1877,261,152037,647,2132,1608,1270,208411,F
136583662,2024,253,141680,647,25588,1608,1403,208151,F
887406275,863,90,67314,647,2249,321,1001,208320,T
370616041,1152,218,238464,647,4013,1608,2128,207548,T
620237084,742,118,13356,647,2966,1608,959,207473,F
653098593,271,12,28455,647,3411,964,1262,207447,F
061601218,1127,132,23667,647,5686,1608,1924,207980,T
266953598,1813,234,291893,647,12041,1286,1585,207884,F
987255126,441,50,59094,647,2591,1608,1717,207536,T
251562672,1110,129,13320,647,2527,643,1427,207517,T
714619099,729,127,166212,647,4450,964,1805,208441,T
770892204,230,19,27600,647,2274,1608,893,208298,T
696709091,8,1,216,647,4652,964,1399,207779,F
071838936,1513,254,37825,647,18610,643,1326,208183,T
549363002,1006,164,137822,647,34118,964,738,208026,T
090365960,1916,254,90052,647,4094,321,969,207540,T
519846551,12,1,2160,647,2729,1608,731,207822,F
489747557,1166,156,68794,647,12794,643,1478,207816,T
705190269,952,107,186592,647,2558,643,958,207635,T
945815573,1080,113,116640,647,5532,643,836,208266,T
405583198,802,100,114686,647,22745,964,1098,207940,T
484893459,973,144,221844,647,3301,1608,1125,208277,T
956993578,1809,260,204417,647,2843,1608,1027,208182,F
152164594,1250,143,63750,647,2110,643,1960,208322,T
234233083,19,23,722,647,4013,1608,1804,207649,T
259174269,729,129,119556,647,25588,643,1533,208034,T
100336972,1886,265,98072,647,2804,964,1255,208425,T
097318691,747,129,108315,647,2201,964,1470,208117,T
971279084,1034,140,144760,647,8529,643,1634,207749,T
576786187,1938,213,217056,647,34118,1286,1821,207856,F
404109039,867,105,103173,647,9305,1608,1285,208153,F
040368113,945,75,208845,647,2843,1608,1500,208206,F
635396523,1813,278,119658,647,2110,643,1782,208117,T
866195779,1984,248,224192,647,2496,643,886,207455,T
791074296,7,6,693,647,6020,321,1272,208178,T
351199178,319,54,55506,647,2591,1608,1411,208272,T
556232074,977,164,181722,647,10774,964,1249,207845,T
106877635,1148,191,268632,1484,4070,370,799,274734,F
145574465,940,99,98700,647,6020,643,1376,207808,T
018509206,1204,154,219128,647,5117,964,2168,208085,T
299626507,968,67,79376,647,2380,321,1368,207832,T
157966292,331,112,31445,647,5686,643,871,207733,T
340095607,763,113,153363,647,2966,643,1656,208163,T
937927432,11,47,253,647,2352,643,1129,208204,T
472517934,1815,223,166980,647,4549,321,832,207673,T
513970081,414,70,6624,647,3862,1286,723,208282,T
422095813,1086,97,237834,647,2883,321,770,207697,T
637779752,825,114,32175,647,6397,1286,934,207886,T
170030794,783,87,68121,647,2326,1608,1449,207824,F
986158641,947,110,189400,647,2352,643,1612,207542,T
186802618,1151,113,217539,647,2766,321,948,208006,T
977931054,1818,230,225432,647,4094,1608,1856,207932,F
673688237,1628,280,16280,647,2624,321,1095,208231,T
754533692,1122,159,34782,647,22745,1286,1769,207785,T
482460032,1,25,209,647,6020,1608,1677,208285,T
334333265,1147,164,94054,647,3591,964,764,208311,T
224095060,1922,240,161448,647,4094,1608,1774,207619,F
559367565,453,66,23556,647,4450,1286,1313,208084,T
768136559,904,118,67800,647,5532,964,1364,208389,T
122311796,1917,272,414072,647,2177,964,2267,207596,T
190196368,13,22,247,647,3198,964,1029,207707,T
586825338,52,1,4420,647,2693,1608,1569,208233,F
022324131,168,1,12768,647,12794,321,1385,207659,F
369046960,1858,265,48308,647,4355,1608,2047,207509,F
496187824,1768,267,102544,647,6397,964,1855,207684,T
676857993,341,56,57970,647,3591,964,1461,208415,T
985674824,1240,155,197160,647,6020,964,1136,207891,T
303468572,1872,262,67392,647,2883,964,1663,208214,T
456999491,2001,262,50025,647,4264,1608,1814,207799,F
638440554,1782,269,294030,647,34118,321,797,207811,T
714055667,1569,293,42363,647,2274,643,1831,207732,T
911052225,400,68,50800,647,2110,643,1993,208368,T
443764151,1058,118,142830,647,12794,321,1680,207704,T
